name,inst,root,pitch,octave,inversion,quality,quality_idx,bpm
AcousticGrandPiano-c4-major7_inv0,AcousticGrandPiano,c4,c,4,0,major7,0,60
AcousticGrandPiano-c4-major7_inv1,AcousticGrandPiano,c4,c,4,1,major7,0,60
AcousticGrandPiano-c3-major7_inv2,AcousticGrandPiano,c3,c,3,2,major7,0,60
AcousticGrandPiano-c3-major7_inv3,AcousticGrandPiano,c3,c,3,3,major7,0,60
AcousticGrandPiano-cs4-major7_inv0,AcousticGrandPiano,cs4,cs,4,0,major7,0,60
AcousticGrandPiano-cs4-major7_inv1,AcousticGrandPiano,cs4,cs,4,1,major7,0,60
AcousticGrandPiano-cs3-major7_inv2,AcousticGrandPiano,cs3,cs,3,2,major7,0,60
AcousticGrandPiano-cs3-major7_inv3,AcousticGrandPiano,cs3,cs,3,3,major7,0,60
AcousticGrandPiano-d4-major7_inv0,AcousticGrandPiano,d4,d,4,0,major7,0,60
AcousticGrandPiano-d3-major7_inv1,AcousticGrandPiano,d3,d,3,1,major7,0,60
AcousticGrandPiano-d3-major7_inv2,AcousticGrandPiano,d3,d,3,2,major7,0,60
AcousticGrandPiano-d3-major7_inv3,AcousticGrandPiano,d3,d,3,3,major7,0,60
AcousticGrandPiano-ds4-major7_inv0,AcousticGrandPiano,ds4,ds,4,0,major7,0,60
AcousticGrandPiano-ds3-major7_inv1,AcousticGrandPiano,ds3,ds,3,1,major7,0,60
AcousticGrandPiano-ds3-major7_inv2,AcousticGrandPiano,ds3,ds,3,2,major7,0,60
AcousticGrandPiano-ds3-major7_inv3,AcousticGrandPiano,ds3,ds,3,3,major7,0,60
AcousticGrandPiano-e4-major7_inv0,AcousticGrandPiano,e4,e,4,0,major7,0,60
AcousticGrandPiano-e3-major7_inv1,AcousticGrandPiano,e3,e,3,1,major7,0,60
AcousticGrandPiano-e3-major7_inv2,AcousticGrandPiano,e3,e,3,2,major7,0,60
AcousticGrandPiano-e3-major7_inv3,AcousticGrandPiano,e3,e,3,3,major7,0,60
AcousticGrandPiano-f4-major7_inv0,AcousticGrandPiano,f4,f,4,0,major7,0,60
AcousticGrandPiano-f3-major7_inv1,AcousticGrandPiano,f3,f,3,1,major7,0,60
AcousticGrandPiano-f3-major7_inv2,AcousticGrandPiano,f3,f,3,2,major7,0,60
AcousticGrandPiano-f3-major7_inv3,AcousticGrandPiano,f3,f,3,3,major7,0,60
AcousticGrandPiano-fs3-major7_inv0,AcousticGrandPiano,fs3,fs,3,0,major7,0,60
AcousticGrandPiano-fs3-major7_inv1,AcousticGrandPiano,fs3,fs,3,1,major7,0,60
AcousticGrandPiano-fs3-major7_inv2,AcousticGrandPiano,fs3,fs,3,2,major7,0,60
AcousticGrandPiano-fs3-major7_inv3,AcousticGrandPiano,fs3,fs,3,3,major7,0,60
AcousticGrandPiano-g3-major7_inv0,AcousticGrandPiano,g3,g,3,0,major7,0,60
AcousticGrandPiano-g3-major7_inv1,AcousticGrandPiano,g3,g,3,1,major7,0,60
AcousticGrandPiano-g3-major7_inv2,AcousticGrandPiano,g3,g,3,2,major7,0,60
AcousticGrandPiano-g3-major7_inv3,AcousticGrandPiano,g3,g,3,3,major7,0,60
AcousticGrandPiano-gs3-major7_inv0,AcousticGrandPiano,gs3,gs,3,0,major7,0,60
AcousticGrandPiano-gs3-major7_inv1,AcousticGrandPiano,gs3,gs,3,1,major7,0,60
AcousticGrandPiano-gs3-major7_inv2,AcousticGrandPiano,gs3,gs,3,2,major7,0,60
AcousticGrandPiano-gs3-major7_inv3,AcousticGrandPiano,gs3,gs,3,3,major7,0,60
AcousticGrandPiano-a3-major7_inv0,AcousticGrandPiano,a3,a,3,0,major7,0,60
AcousticGrandPiano-a3-major7_inv1,AcousticGrandPiano,a3,a,3,1,major7,0,60
AcousticGrandPiano-a3-major7_inv2,AcousticGrandPiano,a3,a,3,2,major7,0,60
AcousticGrandPiano-a3-major7_inv3,AcousticGrandPiano,a3,a,3,3,major7,0,60
AcousticGrandPiano-as3-major7_inv0,AcousticGrandPiano,as3,as,3,0,major7,0,60
AcousticGrandPiano-as3-major7_inv1,AcousticGrandPiano,as3,as,3,1,major7,0,60
AcousticGrandPiano-as3-major7_inv2,AcousticGrandPiano,as3,as,3,2,major7,0,60
AcousticGrandPiano-as3-major7_inv3,AcousticGrandPiano,as3,as,3,3,major7,0,60
AcousticGrandPiano-b3-major7_inv0,AcousticGrandPiano,b3,b,3,0,major7,0,60
AcousticGrandPiano-b3-major7_inv1,AcousticGrandPiano,b3,b,3,1,major7,0,60
AcousticGrandPiano-b3-major7_inv2,AcousticGrandPiano,b3,b,3,2,major7,0,60
AcousticGrandPiano-b3-major7_inv3,AcousticGrandPiano,b3,b,3,3,major7,0,60
AcousticGrandPiano-c4-minor7_inv0,AcousticGrandPiano,c4,c,4,0,minor7,1,60
AcousticGrandPiano-c4-minor7_inv1,AcousticGrandPiano,c4,c,4,1,minor7,1,60
AcousticGrandPiano-c3-minor7_inv2,AcousticGrandPiano,c3,c,3,2,minor7,1,60
AcousticGrandPiano-c3-minor7_inv3,AcousticGrandPiano,c3,c,3,3,minor7,1,60
AcousticGrandPiano-cs4-minor7_inv0,AcousticGrandPiano,cs4,cs,4,0,minor7,1,60
AcousticGrandPiano-cs4-minor7_inv1,AcousticGrandPiano,cs4,cs,4,1,minor7,1,60
AcousticGrandPiano-cs3-minor7_inv2,AcousticGrandPiano,cs3,cs,3,2,minor7,1,60
AcousticGrandPiano-cs3-minor7_inv3,AcousticGrandPiano,cs3,cs,3,3,minor7,1,60
AcousticGrandPiano-d4-minor7_inv0,AcousticGrandPiano,d4,d,4,0,minor7,1,60
AcousticGrandPiano-d4-minor7_inv1,AcousticGrandPiano,d4,d,4,1,minor7,1,60
AcousticGrandPiano-d3-minor7_inv2,AcousticGrandPiano,d3,d,3,2,minor7,1,60
AcousticGrandPiano-d3-minor7_inv3,AcousticGrandPiano,d3,d,3,3,minor7,1,60
AcousticGrandPiano-ds4-minor7_inv0,AcousticGrandPiano,ds4,ds,4,0,minor7,1,60
AcousticGrandPiano-ds3-minor7_inv1,AcousticGrandPiano,ds3,ds,3,1,minor7,1,60
AcousticGrandPiano-ds3-minor7_inv2,AcousticGrandPiano,ds3,ds,3,2,minor7,1,60
AcousticGrandPiano-ds3-minor7_inv3,AcousticGrandPiano,ds3,ds,3,3,minor7,1,60
AcousticGrandPiano-e4-minor7_inv0,AcousticGrandPiano,e4,e,4,0,minor7,1,60
AcousticGrandPiano-e3-minor7_inv1,AcousticGrandPiano,e3,e,3,1,minor7,1,60
AcousticGrandPiano-e3-minor7_inv2,AcousticGrandPiano,e3,e,3,2,minor7,1,60
AcousticGrandPiano-e3-minor7_inv3,AcousticGrandPiano,e3,e,3,3,minor7,1,60
AcousticGrandPiano-f4-minor7_inv0,AcousticGrandPiano,f4,f,4,0,minor7,1,60
AcousticGrandPiano-f3-minor7_inv1,AcousticGrandPiano,f3,f,3,1,minor7,1,60
AcousticGrandPiano-f3-minor7_inv2,AcousticGrandPiano,f3,f,3,2,minor7,1,60
AcousticGrandPiano-f3-minor7_inv3,AcousticGrandPiano,f3,f,3,3,minor7,1,60
AcousticGrandPiano-fs3-minor7_inv0,AcousticGrandPiano,fs3,fs,3,0,minor7,1,60
AcousticGrandPiano-fs3-minor7_inv1,AcousticGrandPiano,fs3,fs,3,1,minor7,1,60
