fold,fold_count,inversion,count,proportion
1,1767,0,476,0.2693831352574986
1,1767,1,432,0.24448217317487267
1,1767,2,426,0.24108658743633277
1,1767,3,433,0.245048104131296
2,1767,0,403,0.2280701754385965
2,1767,1,472,0.26711941143180534
2,1767,2,449,0.25410299943406905
2,1767,3,443,0.2507074136955292
3,1767,0,449,0.25410299943406905
3,1767,1,420,0.2376910016977929
3,1767,2,442,0.25014148273910586
3,1767,3,456,0.25806451612903225
4,1767,0,438,0.24787775891341257
4,1767,1,433,0.245048104131296
4,1767,2,449,0.25410299943406905
4,1767,3,447,0.2529711375212224
5,1767,0,442,0.25014148273910586
5,1767,1,456,0.25806451612903225
5,1767,2,432,0.24448217317487267
5,1767,3,437,0.24731182795698925
6,1767,0,474,0.268251273344652
6,1767,1,457,0.2586304470854556
6,1767,2,397,0.2246745897000566
6,1767,3,439,0.2484436898698359
7,1767,0,473,0.26768534238822866
7,1767,1,435,0.24617996604414263
7,1767,2,430,0.24335031126202605
7,1767,3,429,0.24278438030560273
8,1767,0,486,0.27504244482173174
8,1767,1,427,0.2416525183927561
8,1767,2,438,0.24787775891341257
8,1767,3,416,0.2354272778720996
9,1766,0,469,0.26557191392978485
9,1766,1,429,0.24292185730464327
9,1766,2,459,0.25990939977349947
9,1766,3,409,0.23159682899207248
10,1766,0,446,0.25254813137032844
10,1766,1,447,0.253114382785957
10,1766,2,423,0.23952434881087203
10,1766,3,450,0.2548131370328426
11,1766,0,419,0.2372593431483579
11,1766,1,467,0.26443941109852775
11,1766,2,434,0.24575311438278596
11,1766,3,446,0.25254813137032844
12,1766,0,426,0.24122310305775765
12,1766,1,475,0.2689694224235561
12,1766,2,458,0.2593431483578709
12,1766,3,407,0.2304643261608154
13,1766,0,428,0.24235560588901475
13,1766,1,434,0.24575311438278596
13,1766,2,437,0.24745186862967158
13,1766,3,467,0.26443941109852775
14,1766,0,448,0.25368063420158554
14,1766,1,430,0.24348810872027182
14,1766,2,413,0.23386183465458665
14,1766,3,475,0.2689694224235561
15,1766,0,423,0.23952434881087203
15,1766,1,460,0.26047565118912797
15,1766,2,502,0.28425821064552664
15,1766,3,381,0.2157417893544734
16,1766,0,453,0.25651189127972823
16,1766,1,438,0.24801812004530013
16,1766,2,452,0.2559456398640997
16,1766,3,423,0.23952434881087203
17,1766,0,414,0.2344280860702152
17,1766,1,427,0.2417893544733862
17,1766,2,480,0.2718006795016988
17,1766,3,445,0.2519818799546999
18,1766,0,436,0.24688561721404306
18,1766,1,454,0.2570781426953568
18,1766,2,420,0.23782559456398641
18,1766,3,456,0.2582106455266138
19,1766,0,405,0.22933182332955834
19,1766,1,429,0.24292185730464327
19,1766,2,446,0.25254813137032844
19,1766,3,486,0.27519818799547
20,1766,0,424,0.24009060022650058
20,1766,1,410,0.23216308040770103
20,1766,2,445,0.2519818799546999
20,1766,3,487,0.27576443941109857
