set_type,set_type_count,inversion,count,proportion
test,5298,0,1265,0.2387693469233673
test,5298,1,1293,0.24405436013590034
test,5298,2,1311,0.24745186862967156
test,5298,3,1429,0.26972442431106075
train,24732,0,6277,0.25380074397541647
train,24732,1,6214,0.2512534368429565
train,24732,2,6087,0.24611838913148956
train,24732,3,6154,0.2488274300501375
valid,5298,0,1290,0.2434881087202718
valid,5298,1,1325,0.2500943752359381
valid,5298,2,1434,0.2706681766704417
valid,5298,3,1249,0.23574933937334844
