fold,fold_count,pitch,count,proportion
1,1767,a,153,0.0865874363327674
1,1767,as,131,0.07413695529145445
1,1767,b,144,0.08149405772495756
1,1767,c,152,0.08602150537634409
1,1767,cs,163,0.09224674589700058
1,1767,d,136,0.07696661007357103
1,1767,ds,135,0.07640067911714771
1,1767,e,169,0.09564233163554046
1,1767,f,145,0.08205998868138087
1,1767,fs,157,0.08885116015846067
1,1767,g,133,0.07526881720430108
1,1767,gs,149,0.08432371250707414
2,1767,a,157,0.08885116015846067
2,1767,as,145,0.08205998868138087
2,1767,b,136,0.07696661007357103
2,1767,c,161,0.09111488398415393
2,1767,cs,142,0.08036219581211093
2,1767,d,142,0.08036219581211093
2,1767,ds,163,0.09224674589700058
2,1767,e,146,0.08262591963780419
2,1767,f,132,0.07470288624787776
2,1767,fs,135,0.07640067911714771
2,1767,g,152,0.08602150537634409
2,1767,gs,156,0.08828522920203735
3,1767,a,136,0.07696661007357103
3,1767,as,158,0.089417091114884
3,1767,b,139,0.07866440294284098
3,1767,c,135,0.07640067911714771
3,1767,cs,169,0.09564233163554046
3,1767,d,152,0.08602150537634409
3,1767,ds,133,0.07526881720430108
3,1767,e,165,0.0933786078098472
3,1767,f,145,0.08205998868138087
3,1767,fs,142,0.08036219581211093
3,1767,g,157,0.08885116015846067
3,1767,gs,136,0.07696661007357103
4,1767,a,132,0.07470288624787776
4,1767,as,151,0.08545557441992077
4,1767,b,164,0.09281267685342388
4,1767,c,138,0.07809847198641766
4,1767,cs,140,0.07923033389926429
4,1767,d,172,0.09734012450481042
4,1767,ds,147,0.08319185059422751
4,1767,e,154,0.08715336728919072
4,1767,f,144,0.08149405772495756
4,1767,fs,129,0.07300509337860782
4,1767,g,163,0.09224674589700058
4,1767,gs,133,0.07526881720430108
5,1767,a,143,0.08092812676853424
5,1767,as,146,0.08262591963780419
5,1767,b,136,0.07696661007357103
5,1767,c,149,0.08432371250707414
5,1767,cs,128,0.0724391624221845
5,1767,d,148,0.08375778155065082
5,1767,ds,119,0.06734578381437464
5,1767,e,146,0.08262591963780419
5,1767,f,163,0.09224674589700058
5,1767,fs,157,0.08885116015846067
5,1767,g,171,0.09677419354838711
5,1767,gs,161,0.09111488398415393
6,1767,a,144,0.08149405772495756
6,1767,as,152,0.08602150537634409
6,1767,b,148,0.08375778155065082
6,1767,c,135,0.07640067911714771
6,1767,cs,159,0.0899830220713073
6,1767,d,162,0.09168081494057725
6,1767,ds,143,0.08092812676853424
6,1767,e,128,0.0724391624221845
6,1767,f,150,0.08488964346349746
6,1767,fs,152,0.08602150537634409
6,1767,g,139,0.07866440294284098
6,1767,gs,155,0.08771929824561404
7,1767,a,141,0.07979626485568761
7,1767,as,163,0.09224674589700058
7,1767,b,147,0.08319185059422751
7,1767,c,160,0.09054895302773062
7,1767,cs,147,0.08319185059422751
7,1767,d,145,0.08205998868138087
7,1767,ds,160,0.09054895302773062
7,1767,e,159,0.0899830220713073
7,1767,f,132,0.07470288624787776
7,1767,fs,130,0.07357102433503113
7,1767,g,128,0.0724391624221845
7,1767,gs,155,0.08771929824561404
8,1767,a,133,0.07526881720430108
8,1767,as,148,0.08375778155065082
8,1767,b,163,0.09224674589700058
8,1767,c,142,0.08036219581211093
8,1767,cs,159,0.0899830220713073
8,1767,d,153,0.0865874363327674
8,1767,ds,143,0.08092812676853424
8,1767,e,155,0.08771929824561404
8,1767,f,151,0.08545557441992077
8,1767,fs,133,0.07526881720430108
8,1767,g,139,0.07866440294284098
8,1767,gs,148,0.08375778155065082
9,1766,a,150,0.08493771234428087
9,1766,as,133,0.0753114382785957
9,1766,b,146,0.08267270668176671
9,1766,c,148,0.08380520951302378
9,1766,cs,152,0.08607021517553795
9,1766,d,144,0.08154020385050963
9,1766,ds,144,0.08154020385050963
9,1766,e,144,0.08154020385050963
9,1766,f,145,0.08210645526613818
9,1766,fs,151,0.0855039637599094
9,1766,g,158,0.08946772366930918
9,1766,gs,151,0.0855039637599094
10,1766,a,144,0.08154020385050963
10,1766,as,126,0.07134767836919592
10,1766,b,144,0.08154020385050963
10,1766,c,163,0.09229898074745188
10,1766,cs,151,0.0855039637599094
10,1766,d,167,0.09456398640996604
10,1766,ds,152,0.08607021517553795
10,1766,e,144,0.08154020385050963
10,1766,f,147,0.08323895809739525
10,1766,fs,148,0.08380520951302378
10,1766,g,139,0.07870894677236694
10,1766,gs,141,0.07984144960362402
11,1766,a,146,0.08267270668176671
11,1766,as,142,0.08040770101925256
11,1766,b,156,0.0883352208380521
11,1766,c,151,0.0855039637599094
11,1766,cs,134,0.07587768969422425
11,1766,d,147,0.08323895809739525
11,1766,ds,143,0.08097395243488109
11,1766,e,153,0.08663646659116649
11,1766,f,149,0.08437146092865233
11,1766,fs,159,0.09003397508493771
11,1766,g,155,0.08776896942242356
11,1766,gs,131,0.07417893544733863
12,1766,a,166,0.09399773499433749
12,1766,as,143,0.08097395243488109
12,1766,b,148,0.08380520951302378
12,1766,c,131,0.07417893544733863
12,1766,cs,130,0.07361268403171009
12,1766,d,151,0.0855039637599094
12,1766,ds,149,0.08437146092865233
12,1766,e,134,0.07587768969422425
12,1766,f,158,0.08946772366930918
12,1766,fs,148,0.08380520951302378
12,1766,g,152,0.08607021517553795
12,1766,gs,156,0.0883352208380521
13,1766,a,157,0.08890147225368064
13,1766,as,163,0.09229898074745188
13,1766,b,154,0.08720271800679502
13,1766,c,130,0.07361268403171009
13,1766,cs,149,0.08437146092865233
13,1766,d,139,0.07870894677236694
13,1766,ds,167,0.09456398640996604
13,1766,e,154,0.08720271800679502
13,1766,f,142,0.08040770101925256
13,1766,fs,134,0.07587768969422425
13,1766,g,137,0.07757644394110985
13,1766,gs,140,0.07927519818799547
14,1766,a,135,0.07644394110985278
14,1766,as,138,0.0781426953567384
14,1766,b,137,0.07757644394110985
14,1766,c,166,0.09399773499433749
14,1766,cs,136,0.07701019252548132
14,1766,d,145,0.08210645526613818
14,1766,ds,151,0.0855039637599094
14,1766,e,155,0.08776896942242356
14,1766,f,133,0.0753114382785957
14,1766,fs,167,0.09456398640996604
14,1766,g,145,0.08210645526613818
14,1766,gs,158,0.08946772366930918
15,1766,a,141,0.07984144960362402
15,1766,as,144,0.08154020385050963
15,1766,b,139,0.07870894677236694
15,1766,c,146,0.08267270668176671
15,1766,cs,122,0.06908267270668177
15,1766,d,146,0.08267270668176671
15,1766,ds,142,0.08040770101925256
15,1766,e,144,0.08154020385050963
15,1766,f,165,0.09343148357870895
15,1766,fs,155,0.08776896942242356
15,1766,g,167,0.09456398640996604
15,1766,gs,155,0.08776896942242356
16,1766,a,150,0.08493771234428087
16,1766,as,162,0.09173272933182333
16,1766,b,158,0.08946772366930918
16,1766,c,145,0.08210645526613818
16,1766,cs,141,0.07984144960362402
16,1766,d,142,0.08040770101925256
16,1766,ds,150,0.08493771234428087
16,1766,e,149,0.08437146092865233
16,1766,f,133,0.0753114382785957
16,1766,fs,138,0.0781426953567384
16,1766,g,151,0.0855039637599094
16,1766,gs,147,0.08323895809739525
17,1766,a,167,0.09456398640996604
17,1766,as,140,0.07927519818799547
17,1766,b,151,0.0855039637599094
17,1766,c,152,0.08607021517553795
17,1766,cs,157,0.08890147225368064
17,1766,d,141,0.07984144960362402
17,1766,ds,135,0.07644394110985278
17,1766,e,137,0.07757644394110985
17,1766,f,157,0.08890147225368064
17,1766,fs,149,0.08437146092865233
17,1766,g,145,0.08210645526613818
17,1766,gs,135,0.07644394110985278
18,1766,a,160,0.09060022650056626
18,1766,as,143,0.08097395243488109
18,1766,b,155,0.08776896942242356
18,1766,c,151,0.0855039637599094
18,1766,cs,157,0.08890147225368064
18,1766,d,122,0.06908267270668177
18,1766,ds,145,0.08210645526613818
18,1766,e,141,0.07984144960362402
18,1766,f,148,0.08380520951302378
18,1766,fs,164,0.09286523216308042
18,1766,g,129,0.07304643261608154
18,1766,gs,151,0.0855039637599094
19,1766,a,155,0.08776896942242356
19,1766,as,160,0.09060022650056626
19,1766,b,131,0.07417893544733863
19,1766,c,136,0.07701019252548132
19,1766,cs,175,0.09909399773499435
19,1766,d,144,0.08154020385050963
19,1766,ds,154,0.08720271800679502
19,1766,e,132,0.07474518686296716
19,1766,f,147,0.08323895809739525
19,1766,fs,158,0.08946772366930918
19,1766,g,138,0.0781426953567384
19,1766,gs,136,0.07701019252548132
20,1766,a,134,0.07587768969422425
20,1766,as,156,0.0883352208380521
20,1766,b,148,0.08380520951302378
20,1766,c,153,0.08663646659116649
20,1766,cs,133,0.0753114382785957
