set_type,set_type_count,pitch,count,proportion
test,5298,a,449,0.08474896187240467
test,5298,as,459,0.08663646659116647
test,5298,b,434,0.08191770479426198
test,5298,c,440,0.08305020762551907
test,5298,cs,465,0.08776896942242356
test,5298,d,412,0.07776519441298603
test,5298,ds,468,0.08833522083805209
test,5298,e,408,0.07701019252548132
test,5298,f,453,0.0855039637599094
test,5298,fs,460,0.08682521706304265
test,5298,g,413,0.07795394488486221
test,5298,gs,437,0.08248395620989052
train,24732,a,2037,0.08236293061620573
train,24732,as,2039,0.0824437975092997
train,24732,b,2062,0.08337376677988032
train,24732,c,2061,0.08333333333333334
train,24732,cs,2059,0.08325246644023937
train,24732,d,2103,0.08503153808830664
train,24732,ds,2049,0.08284813197476953
train,24732,e,2106,0.0851528384279476
train,24732,f,2036,0.08232249716965874
train,24732,fs,2042,0.08256509784894064
train,24732,g,2068,0.08361636745916222
train,24732,gs,2070,0.08369723435225619
valid,5298,a,458,0.0864477161192903
valid,5298,as,446,0.08418271045677614
valid,5298,b,448,0.0845602114005285
valid,5298,c,443,0.0836164590411476
valid,5298,cs,420,0.07927519818799547
valid,5298,d,429,0.08097395243488109
valid,5298,ds,427,0.08059645149112872
valid,5298,e,430,0.08116270290675727
valid,5298,f,455,0.08588146470366176
valid,5298,fs,442,0.08342770856927142
valid,5298,g,463,0.0873914684786712
valid,5298,gs,437,0.08248395620989052
