set_type,set_type_count,quality_idx,count,proportion
test,5298,0,660,0.12457531143827859
test,5298,1,663,0.12514156285390712
test,5298,2,663,0.12514156285390712
test,5298,3,663,0.12514156285390712
test,5298,4,663,0.12514156285390712
test,5298,5,660,0.12457531143827859
test,5298,6,663,0.12514156285390712
test,5298,7,663,0.12514156285390712
train,24732,0,3094,0.12510108361636746
train,24732,1,3092,0.1250202167232735
train,24732,2,3090,0.12493934983017953
train,24732,3,3090,0.12493934983017953
train,24732,4,3090,0.12493934983017953
train,24732,5,3094,0.12510108361636746
train,24732,6,3092,0.1250202167232735
train,24732,7,3090,0.12493934983017953
valid,5298,0,662,0.12495281238203094
valid,5298,1,661,0.12476406191015477
valid,5298,2,663,0.12514156285390712
valid,5298,3,663,0.12514156285390712
valid,5298,4,663,0.12514156285390712
valid,5298,5,662,0.12495281238203094
valid,5298,6,661,0.12476406191015477
valid,5298,7,663,0.12514156285390712
