set_type,set_type_count,beat_subdiv,count,proportion
test,6237,2,897,0.14381914381914382
test,6237,3,894,0.14333814333814335
test,6237,4,908,0.14558281224947892
test,6237,5,865,0.13868847202180537
test,6237,6,877,0.14061247394580728
test,6237,7,873,0.13997113997113997
test,6237,8,923,0.14798781465448133
train,29106,2,4126,0.1417577131862846
train,29106,3,4155,0.1427540713254999
train,29106,4,4130,0.1418951418951419
train,29106,5,4218,0.14491857349000206
train,29106,6,4158,0.14285714285714285
train,29106,7,4169,0.14323507180650039
train,29106,8,4150,0.1425822854394283
valid,6237,2,917,0.14702581369248036
valid,6237,3,891,0.14285714285714285
valid,6237,4,902,0.14462081128747795
valid,6237,5,857,0.13740580407247074
valid,6237,6,905,0.14510181176847844
valid,6237,7,898,0.14397947731281066
valid,6237,8,867,0.13900913900913903
