fold,fold_count,dyn2,count,proportion
1,2079,f,697,0.33525733525733525
1,2079,ff,665,0.31986531986531985
1,2079,mf,667,0.32082732082732085
1,2079,mp,17,0.008177008177008177
1,2079,p,17,0.008177008177008177
1,2079,pp,16,0.007696007696007696
2,2079,f,700,0.3367003367003367
2,2079,ff,668,0.3213083213083213
2,2079,mf,658,0.3164983164983165
2,2079,mp,16,0.007696007696007696
2,2079,p,17,0.008177008177008177
2,2079,pp,20,0.00962000962000962
3,2079,f,661,0.31794131794131797
3,2079,ff,667,0.32082732082732085
3,2079,mf,710,0.34151034151034154
3,2079,mp,18,0.008658008658008658
3,2079,p,14,0.006734006734006735
3,2079,pp,9,0.004329004329004329
4,2079,f,636,0.3059163059163059
4,2079,ff,678,0.32611832611832614
4,2079,mf,717,0.3448773448773449
4,2079,mp,18,0.008658008658008658
4,2079,p,12,0.005772005772005772
4,2079,pp,18,0.008658008658008658
5,2079,f,684,0.329004329004329
5,2079,ff,675,0.3246753246753247
5,2079,mf,671,0.3227513227513228
5,2079,mp,16,0.007696007696007696
5,2079,p,15,0.007215007215007215
5,2079,pp,18,0.008658008658008658
6,2079,f,658,0.3164983164983165
6,2079,ff,685,0.3294853294853295
6,2079,mf,691,0.3323713323713324
6,2079,mp,17,0.008177008177008177
6,2079,p,14,0.006734006734006735
6,2079,pp,14,0.006734006734006735
7,2079,f,679,0.3265993265993266
7,2079,ff,672,0.32323232323232326
7,2079,mf,682,0.3280423280423281
7,2079,mp,12,0.005772005772005772
7,2079,p,16,0.007696007696007696
7,2079,pp,18,0.008658008658008658
8,2079,f,652,0.3136123136123136
8,2079,ff,706,0.3395863395863396
8,2079,mf,666,0.3203463203463204
8,2079,mp,14,0.006734006734006735
8,2079,p,27,0.012987012987012988
8,2079,pp,14,0.006734006734006735
9,2079,f,682,0.3280423280423281
9,2079,ff,702,0.33766233766233766
9,2079,mf,647,0.3112073112073112
9,2079,mp,18,0.008658008658008658
9,2079,p,14,0.006734006734006735
9,2079,pp,16,0.007696007696007696
10,2079,f,722,0.3472823472823473
10,2079,ff,681,0.32756132756132755
10,2079,mf,625,0.30062530062530063
10,2079,mp,11,0.005291005291005292
10,2079,p,22,0.010582010582010583
10,2079,pp,18,0.008658008658008658
11,2079,f,659,0.31697931697931697
11,2079,ff,687,0.33044733044733043
11,2079,mf,691,0.3323713323713324
11,2079,mp,16,0.007696007696007696
11,2079,p,12,0.005772005772005772
11,2079,pp,14,0.006734006734006735
12,2079,f,698,0.3357383357383357
12,2079,ff,695,0.3342953342953343
12,2079,mf,641,0.30832130832130833
12,2079,mp,17,0.008177008177008177
12,2079,p,15,0.007215007215007215
12,2079,pp,13,0.006253006253006253
13,2079,f,659,0.31697931697931697
13,2079,ff,666,0.3203463203463204
13,2079,mf,714,0.3434343434343434
13,2079,mp,13,0.006253006253006253
13,2079,p,11,0.005291005291005292
13,2079,pp,16,0.007696007696007696
14,2079,f,704,0.33862433862433866
14,2079,ff,649,0.3121693121693122
14,2079,mf,678,0.32611832611832614
14,2079,mp,11,0.005291005291005292
14,2079,p,18,0.008658008658008658
14,2079,pp,19,0.00913900913900914
15,2079,f,676,0.32515632515632514
15,2079,ff,672,0.32323232323232326
15,2079,mf,681,0.32756132756132755
15,2079,mp,16,0.007696007696007696
15,2079,p,19,0.00913900913900914
15,2079,pp,15,0.007215007215007215
16,2079,f,652,0.3136123136123136
16,2079,ff,701,0.3371813371813372
16,2079,mf,687,0.33044733044733043
16,2079,mp,16,0.007696007696007696
16,2079,p,11,0.005291005291005292
16,2079,pp,12,0.005772005772005772
17,2079,f,690,0.3318903318903319
17,2079,ff,674,0.3241943241943242
17,2079,mf,668,0.3213083213083213
17,2079,mp,17,0.008177008177008177
17,2079,p,13,0.006253006253006253
17,2079,pp,17,0.008177008177008177
18,2079,f,689,0.33140933140933143
18,2079,ff,688,0.33092833092833096
18,2079,mf,658,0.3164983164983165
18,2079,mp,13,0.006253006253006253
18,2079,p,14,0.006734006734006735
18,2079,pp,17,0.008177008177008177
19,2079,f,674,0.3241943241943242
19,2079,ff,646,0.31072631072631074
19,2079,mf,702,0.33766233766233766
19,2079,mp,23,0.011063011063011063
19,2079,p,19,0.00913900913900914
19,2079,pp,15,0.007215007215007215
20,2079,f,673,0.32371332371332373
20,2079,ff,668,0.3213083213083213
20,2079,mf,691,0.3323713323713324
20,2079,mp,16,0.007696007696007696
20,2079,p,15,0.007215007215007215
20,2079,pp,16,0.007696007696007696
