set_type,set_type_count,dyn_category,count,proportion
test,6237,cresc,426,0.06830206830206831
test,6237,decresc,426,0.06830206830206831
test,6237,flat,282,0.04521404521404521
test,6237,hairpin,1275,0.20442520442520443
test,6237,revhairpin,1275,0.20442520442520443
test,6237,subf,1278,0.20490620490620493
test,6237,subp,1275,0.20442520442520443
train,29106,cresc,1983,0.0681302824159967
train,29106,decresc,1983,0.0681302824159967
train,29106,flat,1326,0.04555761698618842
train,29106,hairpin,5955,0.20459699031127604
train,29106,revhairpin,5955,0.20459699031127604
train,29106,subf,5950,0.20442520442520443
train,29106,subp,5954,0.2045626331340617
valid,6237,cresc,426,0.06830206830206831
valid,6237,decresc,426,0.06830206830206831
valid,6237,flat,282,0.04521404521404521
valid,6237,hairpin,1275,0.20442520442520443
valid,6237,revhairpin,1275,0.20442520442520443
valid,6237,subf,1277,0.20474587141253808
valid,6237,subp,1276,0.20458553791887127
