set_type,set_type_count,dyn_pair,count,proportion
test,6804,f-f,131,0.019253380364491476
test,6804,ff-ff,143,0.021017048794826573
test,6804,mf-mf,154,0.02263374485596708
test,6804,mp-f,617,0.0906819517930629
test,6804,mp-ff,678,0.09964726631393298
test,6804,mp-mf,700,0.102880658436214
test,6804,mp-mp,126,0.018518518518518517
test,6804,p-f,662,0.09729570840681952
test,6804,p-ff,676,0.0993533215755438
test,6804,p-mf,663,0.0974426807760141
test,6804,p-p,144,0.021164021164021163
test,6804,pp-f,663,0.0974426807760141
test,6804,pp-ff,652,0.09582598471487361
test,6804,pp-mf,644,0.09465020576131687
test,6804,pp-pp,151,0.022192827748383305
train,31752,f-f,677,0.0213214915595868
train,31752,ff-ff,662,0.0208490803728899
train,31752,mf-mf,654,0.020597127739984886
train,31752,mp-f,3150,0.09920634920634921
train,31752,mp-ff,3068,0.09662383471907282
train,31752,mp-mf,3050,0.09605694129503654
train,31752,mp-mp,664,0.020912068531116153
train,31752,p-f,3082,0.0970647518266566
train,31752,p-ff,3121,0.09829302091206854
train,31752,p-mf,3038,0.09567901234567902
train,31752,p-p,661,0.020817586293776773
train,31752,pp-f,3053,0.09615142353237592
train,31752,pp-ff,3093,0.09741118669690099
train,31752,pp-mf,3125,0.09841899722852104
train,31752,pp-pp,654,0.020597127739984886
valid,6804,f-f,137,0.020135214579659024
valid,6804,ff-ff,140,0.0205761316872428
valid,6804,mf-mf,137,0.020135214579659024
valid,6804,mp-f,643,0.09450323339212229
valid,6804,mp-ff,664,0.0975896531452087
valid,6804,mp-mf,660,0.09700176366843033
valid,6804,mp-mp,155,0.02278071722516167
valid,6804,p-f,666,0.09788359788359788
valid,6804,p-ff,613,0.09009406231628454
valid,6804,p-mf,709,0.10420340975896532
valid,6804,p-p,140,0.0205761316872428
valid,6804,pp-f,694,0.10199882422104645
valid,6804,pp-ff,665,0.09773662551440329
valid,6804,pp-mf,641,0.0942092886537331
valid,6804,pp-pp,140,0.0205761316872428
