set_type,set_type_count,dyn_subcategory,count,proportion
test,6804,cresc,426,0.06261022927689594
test,6804,decresc,426,0.06261022927689594
test,6804,flat,849,0.12477954144620812
test,6804,hairpin-1,423,0.06216931216931217
test,6804,hairpin-2,426,0.06261022927689594
test,6804,hairpin-3,426,0.06261022927689594
test,6804,revhairpin-1,426,0.06261022927689594
test,6804,revhairpin-2,423,0.06216931216931217
test,6804,revhairpin-3,426,0.06261022927689594
test,6804,subf-1,426,0.06261022927689594
test,6804,subf-2,426,0.06261022927689594
test,6804,subf-3,426,0.06261022927689594
test,6804,subp-1,426,0.06261022927689594
test,6804,subp-2,426,0.06261022927689594
test,6804,subp-3,423,0.06216931216931217
train,31752,cresc,1983,0.06245275888133032
train,31752,decresc,1983,0.06245275888133032
train,31752,flat,3972,0.1250944822373394
train,31752,hairpin-1,1988,0.06261022927689595
train,31752,hairpin-2,1984,0.062484252960443444
train,31752,hairpin-3,1983,0.06245275888133032
train,31752,revhairpin-1,1983,0.06245275888133032
train,31752,revhairpin-2,1988,0.06261022927689595
train,31752,revhairpin-3,1984,0.062484252960443444
train,31752,subf-1,1984,0.062484252960443444
train,31752,subf-2,1983,0.06245275888133032
train,31752,subf-3,1983,0.06245275888133032
train,31752,subp-1,1983,0.06245275888133032
train,31752,subp-2,1983,0.06245275888133032
train,31752,subp-3,1988,0.06261022927689595
valid,6804,cresc,426,0.06261022927689594
valid,6804,decresc,426,0.06261022927689594
valid,6804,flat,849,0.12477954144620812
valid,6804,hairpin-1,424,0.06231628453850676
valid,6804,hairpin-2,425,0.06246325690770135
valid,6804,hairpin-3,426,0.06261022927689594
valid,6804,revhairpin-1,426,0.06261022927689594
valid,6804,revhairpin-2,424,0.06231628453850676
valid,6804,revhairpin-3,425,0.06246325690770135
valid,6804,subf-1,425,0.06246325690770135
valid,6804,subf-2,426,0.06261022927689594
valid,6804,subf-3,426,0.06261022927689594
valid,6804,subp-1,426,0.06261022927689594
valid,6804,subp-2,426,0.06261022927689594
valid,6804,subp-3,424,0.06231628453850676
