fold,fold_count,inflection_point,count,proportion
1,2079,0,378,0.18181818181818182
1,2079,1,567,0.27272727272727276
1,2079,2,567,0.27272727272727276
1,2079,3,567,0.27272727272727276
2,2079,0,378,0.18181818181818182
2,2079,1,567,0.27272727272727276
2,2079,2,567,0.27272727272727276
2,2079,3,567,0.27272727272727276
3,2079,0,378,0.18181818181818182
3,2079,1,567,0.27272727272727276
3,2079,2,567,0.27272727272727276
3,2079,3,567,0.27272727272727276
4,2079,0,378,0.18181818181818182
4,2079,1,567,0.27272727272727276
4,2079,2,567,0.27272727272727276
4,2079,3,567,0.27272727272727276
5,2079,0,378,0.18181818181818182
5,2079,1,567,0.27272727272727276
5,2079,2,567,0.27272727272727276
5,2079,3,567,0.27272727272727276
6,2079,0,378,0.18181818181818182
6,2079,1,567,0.27272727272727276
6,2079,2,567,0.27272727272727276
6,2079,3,567,0.27272727272727276
7,2079,0,378,0.18181818181818182
7,2079,1,567,0.27272727272727276
7,2079,2,567,0.27272727272727276
7,2079,3,567,0.27272727272727276
8,2079,0,378,0.18181818181818182
8,2079,1,567,0.27272727272727276
8,2079,2,567,0.27272727272727276
8,2079,3,567,0.27272727272727276
9,2079,0,378,0.18181818181818182
9,2079,1,567,0.27272727272727276
9,2079,2,567,0.27272727272727276
9,2079,3,567,0.27272727272727276
10,2079,0,378,0.18181818181818182
10,2079,1,567,0.27272727272727276
10,2079,2,567,0.27272727272727276
10,2079,3,567,0.27272727272727276
11,2079,0,378,0.18181818181818182
11,2079,1,567,0.27272727272727276
11,2079,2,567,0.27272727272727276
11,2079,3,567,0.27272727272727276
12,2079,0,378,0.18181818181818182
12,2079,1,567,0.27272727272727276
12,2079,2,567,0.27272727272727276
12,2079,3,567,0.27272727272727276
13,2079,0,378,0.18181818181818182
13,2079,1,567,0.27272727272727276
13,2079,2,567,0.27272727272727276
13,2079,3,567,0.27272727272727276
14,2079,0,378,0.18181818181818182
14,2079,1,567,0.27272727272727276
14,2079,2,567,0.27272727272727276
14,2079,3,567,0.27272727272727276
15,2079,0,378,0.18181818181818182
15,2079,1,567,0.27272727272727276
15,2079,2,567,0.27272727272727276
15,2079,3,567,0.27272727272727276
16,2079,0,378,0.18181818181818182
16,2079,1,567,0.27272727272727276
16,2079,2,567,0.27272727272727276
16,2079,3,567,0.27272727272727276
17,2079,0,378,0.18181818181818182
17,2079,1,567,0.27272727272727276
17,2079,2,567,0.27272727272727276
17,2079,3,567,0.27272727272727276
18,2079,0,378,0.18181818181818182
18,2079,1,567,0.27272727272727276
18,2079,2,567,0.27272727272727276
18,2079,3,567,0.27272727272727276
19,2079,0,378,0.18181818181818182
19,2079,1,567,0.27272727272727276
19,2079,2,567,0.27272727272727276
19,2079,3,567,0.27272727272727276
20,2079,0,378,0.18181818181818182
20,2079,1,567,0.27272727272727276
20,2079,2,567,0.27272727272727276
20,2079,3,567,0.27272727272727276
