set_type,set_type_count,inflection_point,count,proportion
test,6237,0,1134,0.18181818181818182
test,6237,1,1701,0.27272727272727276
test,6237,2,1701,0.27272727272727276
test,6237,3,1701,0.27272727272727276
train,29106,0,5292,0.18181818181818182
train,29106,1,7938,0.2727272727272727
train,29106,2,7938,0.2727272727272727
train,29106,3,7938,0.2727272727272727
valid,6237,0,1134,0.18181818181818182
valid,6237,1,1701,0.27272727272727276
valid,6237,2,1701,0.27272727272727276
valid,6237,3,1701,0.27272727272727276
