fold,fold_count,inst,count,proportion
1,2268,Agogo,450,0.1984126984126984
1,2268,D:SnareDrum1,453,0.1997354497354497
1,2268,MelodicTom,462,0.2037037037037037
1,2268,TaikoDrum,440,0.19400352733686066
1,2268,Woodblock,463,0.20414462081128748
2,2268,Agogo,459,0.20238095238095238
2,2268,D:SnareDrum1,455,0.2006172839506173
2,2268,MelodicTom,468,0.20634920634920634
2,2268,TaikoDrum,430,0.18959435626102292
2,2268,Woodblock,456,0.20105820105820105
3,2268,Agogo,454,0.2001763668430335
3,2268,D:SnareDrum1,493,0.21737213403880068
3,2268,MelodicTom,437,0.19268077601410932
3,2268,TaikoDrum,410,0.18077601410934743
3,2268,Woodblock,474,0.20899470899470898
4,2268,Agogo,462,0.2037037037037037
4,2268,D:SnareDrum1,482,0.21252204585537918
4,2268,MelodicTom,436,0.19223985890652556
4,2268,TaikoDrum,435,0.1917989417989418
4,2268,Woodblock,453,0.1997354497354497
5,2268,Agogo,481,0.2120811287477954
5,2268,D:SnareDrum1,445,0.19620811287477952
5,2268,MelodicTom,457,0.2014991181657848
5,2268,TaikoDrum,463,0.20414462081128748
5,2268,Woodblock,422,0.18606701940035272
6,2268,Agogo,455,0.2006172839506173
6,2268,D:SnareDrum1,462,0.2037037037037037
6,2268,MelodicTom,446,0.1966490299823633
6,2268,TaikoDrum,478,0.21075837742504408
6,2268,Woodblock,427,0.1882716049382716
7,2268,Agogo,483,0.21296296296296297
7,2268,D:SnareDrum1,438,0.1931216931216931
7,2268,MelodicTom,460,0.20282186948853614
7,2268,TaikoDrum,458,0.2019400352733686
7,2268,Woodblock,429,0.18915343915343913
8,2268,Agogo,500,0.2204585537918871
8,2268,D:SnareDrum1,405,0.17857142857142855
8,2268,MelodicTom,472,0.20811287477954143
8,2268,TaikoDrum,455,0.2006172839506173
8,2268,Woodblock,436,0.19223985890652556
9,2268,Agogo,431,0.1900352733686067
9,2268,D:SnareDrum1,457,0.2014991181657848
9,2268,MelodicTom,429,0.18915343915343913
9,2268,TaikoDrum,457,0.2014991181657848
9,2268,Woodblock,494,0.21781305114638447
10,2268,Agogo,467,0.20590828924162258
10,2268,D:SnareDrum1,426,0.18783068783068782
10,2268,MelodicTom,478,0.21075837742504408
10,2268,TaikoDrum,455,0.2006172839506173
10,2268,Woodblock,442,0.1948853615520282
11,2268,Agogo,457,0.2014991181657848
11,2268,D:SnareDrum1,458,0.2019400352733686
11,2268,MelodicTom,474,0.20899470899470898
11,2268,TaikoDrum,468,0.20634920634920634
11,2268,Woodblock,411,0.18121693121693122
12,2268,Agogo,423,0.1865079365079365
12,2268,D:SnareDrum1,471,0.20767195767195767
12,2268,MelodicTom,453,0.1997354497354497
12,2268,TaikoDrum,458,0.2019400352733686
12,2268,Woodblock,463,0.20414462081128748
13,2268,Agogo,460,0.20282186948853614
13,2268,D:SnareDrum1,475,0.20943562610229277
13,2268,MelodicTom,439,0.1935626102292769
13,2268,TaikoDrum,420,0.18518518518518517
13,2268,Woodblock,474,0.20899470899470898
14,2268,Agogo,432,0.19047619047619047
14,2268,D:SnareDrum1,470,0.2072310405643739
14,2268,MelodicTom,436,0.19223985890652556
14,2268,TaikoDrum,443,0.195326278659612
14,2268,Woodblock,487,0.21472663139329806
15,2268,Agogo,450,0.1984126984126984
15,2268,D:SnareDrum1,454,0.2001763668430335
15,2268,MelodicTom,441,0.19444444444444442
15,2268,TaikoDrum,462,0.2037037037037037
15,2268,Woodblock,461,0.2032627865961199
16,2268,Agogo,436,0.19223985890652556
16,2268,D:SnareDrum1,445,0.19620811287477952
16,2268,MelodicTom,460,0.20282186948853614
16,2268,TaikoDrum,472,0.20811287477954143
16,2268,Woodblock,455,0.2006172839506173
17,2268,Agogo,421,0.18562610229276894
17,2268,D:SnareDrum1,488,0.21516754850088182
17,2268,MelodicTom,448,0.19753086419753085
17,2268,TaikoDrum,466,0.2054673721340388
17,2268,Woodblock,445,0.19620811287477952
18,2268,Agogo,450,0.1984126984126984
18,2268,D:SnareDrum1,427,0.1882716049382716
18,2268,MelodicTom,475,0.20943562610229277
18,2268,TaikoDrum,470,0.2072310405643739
18,2268,Woodblock,446,0.1966490299823633
19,2268,Agogo,451,0.1988536155202822
19,2268,D:SnareDrum1,439,0.1935626102292769
19,2268,MelodicTom,465,0.205026455026455
19,2268,TaikoDrum,442,0.1948853615520282
19,2268,Woodblock,471,0.20767195767195767
20,2268,Agogo,450,0.1984126984126984
20,2268,D:SnareDrum1,429,0.18915343915343913
20,2268,MelodicTom,436,0.19223985890652556
20,2268,TaikoDrum,490,0.21604938271604937
20,2268,Woodblock,463,0.20414462081128748
