fold,fold_count,offset_ms,count,proportion
1,2268,0,797,0.35141093474426804
1,2268,264,738,0.32539682539682535
1,2268,431,733,0.3231922398589065
2,2268,0,775,0.34171075837742504
2,2268,264,738,0.32539682539682535
2,2268,431,755,0.33289241622574955
3,2268,0,763,0.33641975308641975
3,2268,264,770,0.3395061728395061
3,2268,431,735,0.32407407407407407
4,2268,0,744,0.328042328042328
4,2268,264,765,0.33730158730158727
4,2268,431,759,0.33465608465608465
5,2268,0,724,0.31922398589065254
5,2268,264,752,0.3315696649029982
5,2268,431,792,0.3492063492063492
6,2268,0,753,0.332010582010582
6,2268,264,737,0.3249559082892416
6,2268,431,778,0.3430335097001763
7,2268,0,782,0.3447971781305115
7,2268,264,736,0.32451499118165783
7,2268,431,750,0.3306878306878307
8,2268,0,733,0.3231922398589065
8,2268,264,779,0.34347442680776014
8,2268,431,756,0.3333333333333333
9,2268,0,762,0.33597883597883593
9,2268,264,757,0.3337742504409171
9,2268,431,749,0.3302469135802469
10,2268,0,764,0.3368606701940035
10,2268,264,706,0.3112874779541446
10,2268,431,798,0.35185185185185186
11,2268,0,780,0.3439153439153439
11,2268,264,741,0.3267195767195767
11,2268,431,747,0.32936507936507936
12,2268,0,784,0.345679012345679
12,2268,264,742,0.3271604938271605
12,2268,431,742,0.3271604938271605
13,2268,0,757,0.3337742504409171
13,2268,264,753,0.332010582010582
13,2268,431,758,0.3342151675485009
14,2268,0,753,0.332010582010582
14,2268,264,765,0.33730158730158727
14,2268,431,750,0.3306878306878307
15,2268,0,774,0.3412698412698413
15,2268,264,775,0.34171075837742504
15,2268,431,719,0.3170194003527337
16,2268,0,753,0.332010582010582
16,2268,264,768,0.3386243386243386
16,2268,431,747,0.32936507936507936
17,2268,0,745,0.3284832451499118
17,2268,264,765,0.33730158730158727
17,2268,431,758,0.3342151675485009
18,2268,0,724,0.31922398589065254
18,2268,264,829,0.3655202821869488
18,2268,431,715,0.3152557319223986
19,2268,0,702,0.30952380952380953
19,2268,264,763,0.33641975308641975
19,2268,431,803,0.3540564373897707
20,2268,0,751,0.33112874779541446
20,2268,264,741,0.3267195767195767
20,2268,431,776,0.3421516754850088
