fold,fold_count,key_center,count,proportion
1,994,a4,86,0.08651911468812878
1,994,as4,89,0.08953722334004025
1,994,b4,77,0.07746478873239437
1,994,c4,79,0.07947686116700202
1,994,cs4,87,0.0875251509054326
1,994,d4,87,0.0875251509054326
1,994,ds4,83,0.08350100603621731
1,994,e4,70,0.07042253521126761
1,994,f4,95,0.09557344064386318
1,994,fs4,66,0.06639839034205232
1,994,g4,96,0.09657947686116701
1,994,gs4,79,0.07947686116700202
2,994,a4,83,0.08350100603621731
2,994,as4,76,0.07645875251509054
2,994,b4,94,0.09456740442655936
2,994,c4,96,0.09657947686116701
2,994,cs4,67,0.06740442655935615
2,994,d4,69,0.0694164989939638
2,994,ds4,99,0.09959758551307848
2,994,e4,79,0.07947686116700202
2,994,f4,92,0.09255533199195172
2,994,fs4,81,0.08148893360160966
2,994,g4,68,0.06841046277665996
2,994,gs4,90,0.09054325955734407
3,994,a4,72,0.07243460764587525
3,994,as4,96,0.09657947686116701
3,994,b4,74,0.0744466800804829
3,994,c4,79,0.07947686116700202
3,994,cs4,87,0.0875251509054326
3,994,d4,89,0.08953722334004025
3,994,ds4,104,0.10462776659959759
3,994,e4,75,0.07545271629778673
3,994,f4,83,0.08350100603621731
3,994,fs4,84,0.08450704225352114
3,994,g4,77,0.07746478873239437
3,994,gs4,74,0.0744466800804829
4,994,a4,85,0.08551307847082495
4,994,as4,78,0.07847082494969819
4,994,b4,93,0.09356136820925554
4,994,c4,91,0.09154929577464789
4,994,cs4,77,0.07746478873239437
4,994,d4,65,0.0653923541247485
4,994,ds4,75,0.07545271629778673
4,994,e4,93,0.09356136820925554
4,994,f4,89,0.08953722334004025
4,994,fs4,85,0.08551307847082495
4,994,g4,79,0.07947686116700202
4,994,gs4,84,0.08450704225352114
5,994,a4,80,0.08048289738430583
5,994,as4,73,0.07344064386317908
5,994,b4,88,0.08853118712273643
5,994,c4,95,0.09557344064386318
5,994,cs4,77,0.07746478873239437
5,994,d4,87,0.0875251509054326
5,994,ds4,88,0.08853118712273643
5,994,e4,67,0.06740442655935615
5,994,f4,85,0.08551307847082495
5,994,fs4,75,0.07545271629778673
5,994,g4,86,0.08651911468812878
5,994,gs4,93,0.09356136820925554
6,994,a4,73,0.07344064386317908
6,994,as4,70,0.07042253521126761
6,994,b4,79,0.07947686116700202
6,994,c4,84,0.08450704225352114
6,994,cs4,85,0.08551307847082495
6,994,d4,96,0.09657947686116701
6,994,ds4,99,0.09959758551307848
6,994,e4,96,0.09657947686116701
6,994,f4,71,0.07142857142857144
6,994,fs4,86,0.08651911468812878
6,994,g4,80,0.08048289738430583
6,994,gs4,75,0.07545271629778673
7,994,a4,86,0.08651911468812878
7,994,as4,85,0.08551307847082495
7,994,b4,84,0.08450704225352114
7,994,c4,83,0.08350100603621731
7,994,cs4,85,0.08551307847082495
7,994,d4,76,0.07645875251509054
7,994,ds4,90,0.09054325955734407
7,994,e4,78,0.07847082494969819
7,994,f4,75,0.07545271629778673
7,994,fs4,70,0.07042253521126761
7,994,g4,96,0.09657947686116701
7,994,gs4,86,0.08651911468812878
8,994,a4,90,0.09054325955734407
8,994,as4,79,0.07947686116700202
8,994,b4,93,0.09356136820925554
8,994,c4,82,0.0824949698189135
8,994,cs4,68,0.06841046277665996
8,994,d4,86,0.08651911468812878
8,994,ds4,96,0.09657947686116701
8,994,e4,73,0.07344064386317908
8,994,f4,66,0.06639839034205232
8,994,fs4,83,0.08350100603621731
8,994,g4,84,0.08450704225352114
8,994,gs4,94,0.09456740442655936
9,994,a4,81,0.08148893360160966
9,994,as4,88,0.08853118712273643
9,994,b4,94,0.09456740442655936
9,994,c4,82,0.0824949698189135
9,994,cs4,88,0.08853118712273643
9,994,d4,98,0.09859154929577466
9,994,ds4,73,0.07344064386317908
9,994,e4,80,0.08048289738430583
9,994,f4,79,0.07947686116700202
9,994,fs4,78,0.07847082494969819
9,994,g4,72,0.07243460764587525
9,994,gs4,81,0.08148893360160966
10,994,a4,81,0.08148893360160966
10,994,as4,72,0.07243460764587525
10,994,b4,83,0.08350100603621731
10,994,c4,73,0.07344064386317908
10,994,cs4,95,0.09557344064386318
10,994,d4,85,0.08551307847082495
10,994,ds4,78,0.07847082494969819
10,994,e4,86,0.08651911468812878
10,994,f4,87,0.0875251509054326
10,994,fs4,82,0.0824949698189135
10,994,g4,76,0.07645875251509054
10,994,gs4,96,0.09657947686116701
11,994,a4,75,0.07545271629778673
11,994,as4,78,0.07847082494969819
11,994,b4,89,0.08953722334004025
11,994,c4,87,0.0875251509054326
11,994,cs4,73,0.07344064386317908
11,994,d4,92,0.09255533199195172
11,994,ds4,76,0.07645875251509054
11,994,e4,91,0.09154929577464789
11,994,f4,88,0.08853118712273643
11,994,fs4,79,0.07947686116700202
11,994,g4,90,0.09054325955734407
11,994,gs4,76,0.07645875251509054
12,994,a4,101,0.10160965794768613
12,994,as4,83,0.08350100603621731
12,994,b4,74,0.0744466800804829
12,994,c4,82,0.0824949698189135
12,994,cs4,78,0.07847082494969819
12,994,d4,86,0.08651911468812878
12,994,ds4,75,0.07545271629778673
