set_type,set_type_count,key_center,count,proportion
test,2979,a4,247,0.0829137294394092
test,2979,as4,248,0.08324941255454851
test,2979,b4,240,0.08056394763343404
test,2979,c4,243,0.08157099697885196
test,2979,cs4,269,0.09029875797247398
test,2979,d4,253,0.08492782813024505
test,2979,ds4,215,0.07217186975495132
test,2979,e4,265,0.08895602551191675
test,2979,f4,232,0.07787848271231956
test,2979,fs4,276,0.09264853977844914
test,2979,g4,266,0.08929170862705606
test,2979,gs4,225,0.0755287009063444
train,13914,a4,1148,0.08250682765559866
train,13914,as4,1141,0.08200373724306453
train,13914,b4,1185,0.08516601983613625
train,13914,c4,1189,0.08545350007187005
train,13914,cs4,1136,0.08164438694839729
train,13914,d4,1181,0.08487853960040247
train,13914,ds4,1186,0.08523788989506971
train,13914,e4,1135,0.08157251688946385
train,13914,f4,1162,0.08351300848066695
train,13914,fs4,1130,0.0812131665947966
train,13914,g4,1144,0.08221934741986488
train,13914,gs4,1177,0.08459105936466867
valid,2979,a4,261,0.08761329305135952
valid,2979,as4,267,0.08962739174219536
valid,2979,b4,231,0.07754279959718026
valid,2979,c4,224,0.0751930177912051
valid,2979,cs4,251,0.08425646189996643
valid,2979,d4,222,0.07452165156092648
valid,2979,ds4,255,0.08559919436052367
valid,2979,e4,256,0.08593487747566297
valid,2979,f4,262,0.08794897616649883
valid,2979,fs4,250,0.08392077878482712
valid,2979,g4,246,0.08257804632426989
valid,2979,gs4,254,0.08526351124538435
