set_type,set_type_count,sub_prog,count,proportion
test,2979,maj-1451,165,0.0553877139979859
test,2979,maj-1465,165,0.0553877139979859
test,2979,maj-1564,168,0.05639476334340383
test,2979,maj-1645,165,0.0553877139979859
test,2979,maj-2516,165,0.0553877139979859
test,2979,maj-4156,165,0.0553877139979859
test,2979,maj-5415,165,0.0553877139979859
test,2979,maj-5641,168,0.05639476334340383
test,2979,maj-6415,165,0.0553877139979859
test,2979,mm1-1451,165,0.0553877139979859
test,2979,mm1-1465,165,0.0553877139979859
test,2979,mm1-1564,165,0.0553877139979859
test,2979,mm1-1645,165,0.0553877139979859
test,2979,mm1-2516,168,0.05639476334340383
test,2979,mm1-4156,165,0.0553877139979859
test,2979,mm1-5415,165,0.0553877139979859
test,2979,mm1-5641,165,0.0553877139979859
test,2979,mm1-6415,165,0.0553877139979859
train,13914,maj-1451,774,0.055627425614488996
train,13914,maj-1465,774,0.055627425614488996
train,13914,maj-1564,770,0.05533994537875521
train,13914,maj-1645,774,0.055627425614488996
train,13914,maj-2516,772,0.0554836854966221
train,13914,maj-4156,774,0.055627425614488996
train,13914,maj-5415,774,0.055627425614488996
train,13914,maj-5641,770,0.05533994537875521
train,13914,maj-6415,774,0.055627425614488996
train,13914,mm1-1451,774,0.055627425614488996
train,13914,mm1-1465,772,0.0554836854966221
train,13914,mm1-1564,774,0.055627425614488996
train,13914,mm1-1645,774,0.055627425614488996
train,13914,mm1-2516,770,0.05533994537875521
train,13914,mm1-4156,774,0.055627425614488996
train,13914,mm1-5415,772,0.0554836854966221
train,13914,mm1-5641,774,0.055627425614488996
train,13914,mm1-6415,774,0.055627425614488996
valid,2979,maj-1451,165,0.0553877139979859
valid,2979,maj-1465,165,0.0553877139979859
valid,2979,maj-1564,166,0.05572339711312521
valid,2979,maj-1645,165,0.0553877139979859
valid,2979,maj-2516,167,0.056059080228264516
valid,2979,maj-4156,165,0.0553877139979859
valid,2979,maj-5415,165,0.0553877139979859
valid,2979,maj-5641,166,0.05572339711312521
valid,2979,maj-6415,165,0.0553877139979859
valid,2979,mm1-1451,165,0.0553877139979859
valid,2979,mm1-1465,167,0.056059080228264516
valid,2979,mm1-1564,165,0.0553877139979859
valid,2979,mm1-1645,165,0.0553877139979859
valid,2979,mm1-2516,166,0.05572339711312521
valid,2979,mm1-4156,165,0.0553877139979859
valid,2979,mm1-5415,167,0.056059080228264516
valid,2979,mm1-5641,165,0.0553877139979859
valid,2979,mm1-6415,165,0.0553877139979859
