set_type,set_type_count,inst2,count,proportion
test,4590,Agogo,899,0.19586056644880173
test,4590,D:SnareDrum1,939,0.2045751633986928
test,4590,MelodicTom,896,0.1952069716775599
test,4590,TaikoDrum,908,0.19782135076252721
test,4590,Woodblock,948,0.2065359477124183
train,21420,Agogo,4321,0.20172735760971053
train,21420,D:SnareDrum1,4230,0.19747899159663865
train,21420,MelodicTom,4317,0.20154061624649858
train,21420,TaikoDrum,4303,0.20088702147525675
train,21420,Woodblock,4249,0.19836601307189541
valid,4590,Agogo,900,0.19607843137254902
valid,4590,D:SnareDrum1,951,0.20718954248366012
valid,4590,MelodicTom,907,0.19760348583877996
valid,4590,TaikoDrum,909,0.1980392156862745
valid,4590,Woodblock,923,0.20108932461873638
