set_type,set_type_count,label_idx,count,proportion
test,4590,0,135,0.029411764705882353
test,4590,1,135,0.029411764705882353
test,4590,2,135,0.029411764705882353
test,4590,3,135,0.029411764705882353
test,4590,4,135,0.029411764705882353
test,4590,5,135,0.029411764705882353
test,4590,6,135,0.029411764705882353
test,4590,7,135,0.029411764705882353
test,4590,8,135,0.029411764705882353
test,4590,9,135,0.029411764705882353
test,4590,10,135,0.029411764705882353
test,4590,11,135,0.029411764705882353
test,4590,12,135,0.029411764705882353
test,4590,13,135,0.029411764705882353
test,4590,14,135,0.029411764705882353
test,4590,15,135,0.029411764705882353
test,4590,16,135,0.029411764705882353
test,4590,17,135,0.029411764705882353
test,4590,18,135,0.029411764705882353
test,4590,19,135,0.029411764705882353
test,4590,20,135,0.029411764705882353
test,4590,21,135,0.029411764705882353
test,4590,22,135,0.029411764705882353
test,4590,23,135,0.029411764705882353
test,4590,24,135,0.029411764705882353
test,4590,25,135,0.029411764705882353
test,4590,26,135,0.029411764705882353
test,4590,27,135,0.029411764705882353
test,4590,28,135,0.029411764705882353
test,4590,29,135,0.029411764705882353
test,4590,30,135,0.029411764705882353
test,4590,31,135,0.029411764705882353
test,4590,32,135,0.029411764705882353
test,4590,33,135,0.029411764705882353
train,21420,0,630,0.029411764705882353
train,21420,1,630,0.029411764705882353
train,21420,2,630,0.029411764705882353
train,21420,3,630,0.029411764705882353
train,21420,4,630,0.029411764705882353
train,21420,5,630,0.029411764705882353
train,21420,6,630,0.029411764705882353
train,21420,7,630,0.029411764705882353
train,21420,8,630,0.029411764705882353
train,21420,9,630,0.029411764705882353
train,21420,10,630,0.029411764705882353
train,21420,11,630,0.029411764705882353
train,21420,12,630,0.029411764705882353
train,21420,13,630,0.029411764705882353
train,21420,14,630,0.029411764705882353
train,21420,15,630,0.029411764705882353
train,21420,16,630,0.029411764705882353
train,21420,17,630,0.029411764705882353
train,21420,18,630,0.029411764705882353
train,21420,19,630,0.029411764705882353
train,21420,20,630,0.029411764705882353
train,21420,21,630,0.029411764705882353
train,21420,22,630,0.029411764705882353
train,21420,23,630,0.029411764705882353
train,21420,24,630,0.029411764705882353
train,21420,25,630,0.029411764705882353
train,21420,26,630,0.029411764705882353
train,21420,27,630,0.029411764705882353
train,21420,28,630,0.029411764705882353
train,21420,29,630,0.029411764705882353
train,21420,30,630,0.029411764705882353
train,21420,31,630,0.029411764705882353
train,21420,32,630,0.029411764705882353
train,21420,33,630,0.029411764705882353
valid,4590,0,135,0.029411764705882353
valid,4590,1,135,0.029411764705882353
valid,4590,2,135,0.029411764705882353
valid,4590,3,135,0.029411764705882353
valid,4590,4,135,0.029411764705882353
valid,4590,5,135,0.029411764705882353
valid,4590,6,135,0.029411764705882353
valid,4590,7,135,0.029411764705882353
valid,4590,8,135,0.029411764705882353
valid,4590,9,135,0.029411764705882353
valid,4590,10,135,0.029411764705882353
valid,4590,11,135,0.029411764705882353
valid,4590,12,135,0.029411764705882353
valid,4590,13,135,0.029411764705882353
valid,4590,14,135,0.029411764705882353
valid,4590,15,135,0.029411764705882353
valid,4590,16,135,0.029411764705882353
valid,4590,17,135,0.029411764705882353
valid,4590,18,135,0.029411764705882353
valid,4590,19,135,0.029411764705882353
valid,4590,20,135,0.029411764705882353
valid,4590,21,135,0.029411764705882353
valid,4590,22,135,0.029411764705882353
valid,4590,23,135,0.029411764705882353
valid,4590,24,135,0.029411764705882353
valid,4590,25,135,0.029411764705882353
valid,4590,26,135,0.029411764705882353
valid,4590,27,135,0.029411764705882353
valid,4590,28,135,0.029411764705882353
valid,4590,29,135,0.029411764705882353
valid,4590,30,135,0.029411764705882353
valid,4590,31,135,0.029411764705882353
valid,4590,32,135,0.029411764705882353
valid,4590,33,135,0.029411764705882353
