fold,fold_count,num_bars,count,proportion
1,1530,1,511,0.33398692810457514
1,1530,2,499,0.32614379084967315
1,1530,3,520,0.3398692810457516
2,1530,1,513,0.3352941176470588
2,1530,2,500,0.32679738562091504
2,1530,3,517,0.3379084967320261
3,1530,1,504,0.32941176470588235
3,1530,2,534,0.34901960784313724
3,1530,3,492,0.32156862745098036
4,1530,1,497,0.3248366013071895
4,1530,2,527,0.34444444444444444
4,1530,3,506,0.330718954248366
5,1530,1,492,0.32156862745098036
5,1530,2,526,0.3437908496732026
5,1530,3,512,0.33464052287581697
6,1530,1,534,0.34901960784313724
6,1530,2,487,0.3183006535947712
6,1530,3,509,0.3326797385620915
7,1530,1,496,0.32418300653594767
7,1530,2,539,0.3522875816993464
7,1530,3,495,0.32352941176470584
8,1530,1,499,0.32614379084967315
8,1530,2,514,0.3359477124183006
8,1530,3,517,0.3379084967320261
9,1530,1,495,0.32352941176470584
9,1530,2,516,0.3372549019607843
9,1530,3,519,0.33921568627450976
10,1530,1,502,0.3281045751633987
10,1530,2,510,0.3333333333333333
10,1530,3,518,0.33856209150326794
11,1530,1,508,0.33202614379084966
11,1530,2,514,0.3359477124183006
11,1530,3,508,0.33202614379084966
12,1530,1,528,0.34509803921568627
12,1530,2,480,0.3137254901960784
12,1530,3,522,0.34117647058823525
13,1530,1,521,0.3405228758169934
13,1530,2,516,0.3372549019607843
13,1530,3,493,0.3222222222222222
14,1530,1,502,0.3281045751633987
14,1530,2,503,0.3287581699346405
14,1530,3,525,0.3431372549019608
15,1530,1,533,0.3483660130718954
15,1530,2,512,0.33464052287581697
15,1530,3,485,0.31699346405228757
16,1530,1,502,0.3281045751633987
16,1530,2,501,0.32745098039215687
16,1530,3,527,0.34444444444444444
17,1530,1,518,0.33856209150326794
17,1530,2,520,0.3398692810457516
17,1530,3,492,0.32156862745098036
18,1530,1,497,0.3248366013071895
18,1530,2,508,0.33202614379084966
18,1530,3,525,0.3431372549019608
19,1530,1,531,0.34705882352941175
19,1530,2,490,0.3202614379084967
19,1530,3,509,0.3326797385620915
20,1530,1,517,0.3379084967320261
20,1530,2,504,0.32941176470588235
20,1530,3,509,0.3326797385620915
