set_type,set_type_count,offset_ms,count,proportion
test,4590,0,878,0.19128540305010894
test,4590,120,933,0.20326797385620915
test,4590,204,939,0.2045751633986928
test,4590,700,906,0.19738562091503267
test,4590,1067,934,0.20348583877995643
train,21420,0,4319,0.20163398692810455
train,21420,120,4268,0.19925303454715218
train,21420,204,4258,0.1987861811391223
train,21420,700,4283,0.199953314659197
train,21420,1067,4292,0.20037348272642388
valid,4590,0,923,0.20108932461873638
valid,4590,120,919,0.20021786492374727
valid,4590,204,923,0.20108932461873638
valid,4590,700,931,0.20283224400871458
valid,4590,1067,894,0.19477124183006536
