set_type,set_type_count,pair,count,proportion
test,4590,Agogo_D:SnareDrum1,462,0.10065359477124183
test,4590,Agogo_MelodicTom,479,0.10435729847494553
test,4590,Agogo_TaikoDrum,423,0.09215686274509803
test,4590,Agogo_Woodblock,470,0.10239651416122005
test,4590,D:SnareDrum1_MelodicTom,454,0.09891067538126361
test,4590,D:SnareDrum1_TaikoDrum,463,0.1008714596949891
test,4590,D:SnareDrum1_Woodblock,470,0.10239651416122005
test,4590,MelodicTom_TaikoDrum,419,0.09128540305010893
test,4590,MelodicTom_Woodblock,469,0.10217864923747276
test,4590,TaikoDrum_Woodblock,481,0.10479302832244008
train,21420,Agogo_D:SnareDrum1,2137,0.09976657329598505
train,21420,Agogo_MelodicTom,2154,0.10056022408963584
train,21420,Agogo_TaikoDrum,2172,0.10140056022408962
train,21420,Agogo_Woodblock,2138,0.09981325863678804
train,21420,D:SnareDrum1_MelodicTom,2117,0.0988328664799253
train,21420,D:SnareDrum1_TaikoDrum,2128,0.09934640522875816
train,21420,D:SnareDrum1_Woodblock,2129,0.09939309056956115
train,21420,MelodicTom_TaikoDrum,2184,0.10196078431372549
train,21420,MelodicTom_Woodblock,2140,0.09990662931839402
train,21420,TaikoDrum_Woodblock,2121,0.09901960784313725
valid,4590,Agogo_D:SnareDrum1,461,0.10043572984749455
valid,4590,Agogo_MelodicTom,427,0.09302832244008714
valid,4590,Agogo_TaikoDrum,465,0.10130718954248366
valid,4590,Agogo_Woodblock,452,0.09847494553376906
valid,4590,D:SnareDrum1_MelodicTom,489,0.1065359477124183
valid,4590,D:SnareDrum1_TaikoDrum,469,0.10217864923747276
valid,4590,D:SnareDrum1_Woodblock,461,0.10043572984749455
valid,4590,MelodicTom_TaikoDrum,457,0.09956427015250545
valid,4590,MelodicTom_Woodblock,451,0.09825708061002178
valid,4590,TaikoDrum_Woodblock,458,0.09978213507625272
