fold,fold_count,poly2,count,proportion
1,1530,3,45,0.029411764705882353
1,1530,4,45,0.029411764705882353
1,1530,5,135,0.08823529411764705
1,1530,6,45,0.029411764705882353
1,1530,7,225,0.14705882352941174
1,1530,8,135,0.08823529411764705
1,1530,9,225,0.14705882352941174
1,1530,10,135,0.08823529411764705
1,1530,11,405,0.2647058823529412
1,1530,12,135,0.08823529411764705
2,1530,3,45,0.029411764705882353
2,1530,4,45,0.029411764705882353
2,1530,5,135,0.08823529411764705
2,1530,6,45,0.029411764705882353
2,1530,7,225,0.14705882352941174
2,1530,8,135,0.08823529411764705
2,1530,9,225,0.14705882352941174
2,1530,10,135,0.08823529411764705
2,1530,11,405,0.2647058823529412
2,1530,12,135,0.08823529411764705
3,1530,3,45,0.029411764705882353
3,1530,4,45,0.029411764705882353
3,1530,5,135,0.08823529411764705
3,1530,6,45,0.029411764705882353
3,1530,7,225,0.14705882352941174
3,1530,8,135,0.08823529411764705
3,1530,9,225,0.14705882352941174
3,1530,10,135,0.08823529411764705
3,1530,11,405,0.2647058823529412
3,1530,12,135,0.08823529411764705
4,1530,3,45,0.029411764705882353
4,1530,4,45,0.029411764705882353
4,1530,5,135,0.08823529411764705
4,1530,6,45,0.029411764705882353
4,1530,7,225,0.14705882352941174
4,1530,8,135,0.08823529411764705
4,1530,9,225,0.14705882352941174
4,1530,10,135,0.08823529411764705
4,1530,11,405,0.2647058823529412
4,1530,12,135,0.08823529411764705
5,1530,3,45,0.029411764705882353
5,1530,4,45,0.029411764705882353
5,1530,5,135,0.08823529411764705
5,1530,6,45,0.029411764705882353
5,1530,7,225,0.14705882352941174
5,1530,8,135,0.08823529411764705
5,1530,9,225,0.14705882352941174
5,1530,10,135,0.08823529411764705
5,1530,11,405,0.2647058823529412
5,1530,12,135,0.08823529411764705
6,1530,3,45,0.029411764705882353
6,1530,4,45,0.029411764705882353
6,1530,5,135,0.08823529411764705
6,1530,6,45,0.029411764705882353
6,1530,7,225,0.14705882352941174
6,1530,8,135,0.08823529411764705
6,1530,9,225,0.14705882352941174
6,1530,10,135,0.08823529411764705
6,1530,11,405,0.2647058823529412
6,1530,12,135,0.08823529411764705
7,1530,3,45,0.029411764705882353
7,1530,4,45,0.029411764705882353
7,1530,5,135,0.08823529411764705
7,1530,6,45,0.029411764705882353
7,1530,7,225,0.14705882352941174
7,1530,8,135,0.08823529411764705
7,1530,9,225,0.14705882352941174
7,1530,10,135,0.08823529411764705
7,1530,11,405,0.2647058823529412
7,1530,12,135,0.08823529411764705
8,1530,3,45,0.029411764705882353
8,1530,4,45,0.029411764705882353
