set_type,set_type_count,poly2,count,proportion
test,4590,3,135,0.029411764705882353
test,4590,4,135,0.029411764705882353
test,4590,5,405,0.08823529411764705
test,4590,6,135,0.029411764705882353
test,4590,7,675,0.14705882352941177
test,4590,8,405,0.08823529411764705
test,4590,9,675,0.14705882352941177
test,4590,10,405,0.08823529411764705
test,4590,11,1215,0.2647058823529412
test,4590,12,405,0.08823529411764705
train,21420,3,630,0.029411764705882353
train,21420,4,630,0.029411764705882353
train,21420,5,1890,0.08823529411764705
train,21420,6,630,0.029411764705882353
train,21420,7,3150,0.14705882352941174
train,21420,8,1890,0.08823529411764705
train,21420,9,3150,0.14705882352941174
train,21420,10,1890,0.08823529411764705
train,21420,11,5670,0.2647058823529412
train,21420,12,1890,0.08823529411764705
valid,4590,3,135,0.029411764705882353
valid,4590,4,135,0.029411764705882353
valid,4590,5,405,0.08823529411764705
valid,4590,6,135,0.029411764705882353
valid,4590,7,675,0.14705882352941177
valid,4590,8,405,0.08823529411764705
valid,4590,9,675,0.14705882352941177
valid,4590,10,405,0.08823529411764705
valid,4590,11,1215,0.2647058823529412
valid,4590,12,405,0.08823529411764705
