fold,fold_count,polydist,count,proportion
1,1530,1,450,0.2941176470588235
1,1530,2,180,0.11764705882352941
1,1530,3,225,0.14705882352941174
1,1530,4,135,0.08823529411764705
1,1530,5,225,0.14705882352941174
1,1530,6,45,0.029411764705882353
1,1530,7,180,0.11764705882352941
1,1530,8,45,0.029411764705882353
1,1530,9,45,0.029411764705882353
2,1530,1,450,0.2941176470588235
2,1530,2,180,0.11764705882352941
2,1530,3,225,0.14705882352941174
2,1530,4,135,0.08823529411764705
2,1530,5,225,0.14705882352941174
2,1530,6,45,0.029411764705882353
2,1530,7,180,0.11764705882352941
2,1530,8,45,0.029411764705882353
2,1530,9,45,0.029411764705882353
3,1530,1,450,0.2941176470588235
3,1530,2,180,0.11764705882352941
3,1530,3,225,0.14705882352941174
3,1530,4,135,0.08823529411764705
3,1530,5,225,0.14705882352941174
3,1530,6,45,0.029411764705882353
3,1530,7,180,0.11764705882352941
3,1530,8,45,0.029411764705882353
3,1530,9,45,0.029411764705882353
4,1530,1,450,0.2941176470588235
4,1530,2,180,0.11764705882352941
4,1530,3,225,0.14705882352941174
4,1530,4,135,0.08823529411764705
4,1530,5,225,0.14705882352941174
4,1530,6,45,0.029411764705882353
4,1530,7,180,0.11764705882352941
4,1530,8,45,0.029411764705882353
4,1530,9,45,0.029411764705882353
5,1530,1,450,0.2941176470588235
5,1530,2,180,0.11764705882352941
5,1530,3,225,0.14705882352941174
5,1530,4,135,0.08823529411764705
5,1530,5,225,0.14705882352941174
5,1530,6,45,0.029411764705882353
5,1530,7,180,0.11764705882352941
5,1530,8,45,0.029411764705882353
5,1530,9,45,0.029411764705882353
6,1530,1,450,0.2941176470588235
6,1530,2,180,0.11764705882352941
6,1530,3,225,0.14705882352941174
6,1530,4,135,0.08823529411764705
6,1530,5,225,0.14705882352941174
6,1530,6,45,0.029411764705882353
6,1530,7,180,0.11764705882352941
6,1530,8,45,0.029411764705882353
6,1530,9,45,0.029411764705882353
7,1530,1,450,0.2941176470588235
7,1530,2,180,0.11764705882352941
7,1530,3,225,0.14705882352941174
7,1530,4,135,0.08823529411764705
7,1530,5,225,0.14705882352941174
7,1530,6,45,0.029411764705882353
7,1530,7,180,0.11764705882352941
7,1530,8,45,0.029411764705882353
7,1530,9,45,0.029411764705882353
8,1530,1,450,0.2941176470588235
8,1530,2,180,0.11764705882352941
8,1530,3,225,0.14705882352941174
8,1530,4,135,0.08823529411764705
8,1530,5,225,0.14705882352941174
8,1530,6,45,0.029411764705882353
8,1530,7,180,0.11764705882352941
8,1530,8,45,0.029411764705882353
8,1530,9,45,0.029411764705882353
9,1530,1,450,0.2941176470588235
9,1530,2,180,0.11764705882352941
9,1530,3,225,0.14705882352941174
9,1530,4,135,0.08823529411764705
9,1530,5,225,0.14705882352941174
9,1530,6,45,0.029411764705882353
9,1530,7,180,0.11764705882352941
9,1530,8,45,0.029411764705882353
9,1530,9,45,0.029411764705882353
10,1530,1,450,0.2941176470588235
10,1530,2,180,0.11764705882352941
10,1530,3,225,0.14705882352941174
10,1530,4,135,0.08823529411764705
10,1530,5,225,0.14705882352941174
10,1530,6,45,0.029411764705882353
10,1530,7,180,0.11764705882352941
10,1530,8,45,0.029411764705882353
10,1530,9,45,0.029411764705882353
11,1530,1,450,0.2941176470588235
11,1530,2,180,0.11764705882352941
11,1530,3,225,0.14705882352941174
11,1530,4,135,0.08823529411764705
11,1530,5,225,0.14705882352941174
11,1530,6,45,0.029411764705882353
11,1530,7,180,0.11764705882352941
11,1530,8,45,0.029411764705882353
11,1530,9,45,0.029411764705882353
12,1530,1,450,0.2941176470588235
12,1530,2,180,0.11764705882352941
12,1530,3,225,0.14705882352941174
12,1530,4,135,0.08823529411764705
12,1530,5,225,0.14705882352941174
12,1530,6,45,0.029411764705882353
12,1530,7,180,0.11764705882352941
12,1530,8,45,0.029411764705882353
12,1530,9,45,0.029411764705882353
13,1530,1,450,0.2941176470588235
13,1530,2,180,0.11764705882352941
13,1530,3,225,0.14705882352941174
13,1530,4,135,0.08823529411764705
13,1530,5,225,0.14705882352941174
13,1530,6,45,0.029411764705882353
13,1530,7,180,0.11764705882352941
13,1530,8,45,0.029411764705882353
13,1530,9,45,0.029411764705882353
14,1530,1,450,0.2941176470588235
14,1530,2,180,0.11764705882352941
14,1530,3,225,0.14705882352941174
14,1530,4,135,0.08823529411764705
14,1530,5,225,0.14705882352941174
14,1530,6,45,0.029411764705882353
14,1530,7,180,0.11764705882352941
14,1530,8,45,0.029411764705882353
14,1530,9,45,0.029411764705882353
15,1530,1,450,0.2941176470588235
15,1530,2,180,0.11764705882352941
15,1530,3,225,0.14705882352941174
15,1530,4,135,0.08823529411764705
15,1530,5,225,0.14705882352941174
15,1530,6,45,0.029411764705882353
15,1530,7,180,0.11764705882352941
15,1530,8,45,0.029411764705882353
15,1530,9,45,0.029411764705882353
16,1530,1,450,0.2941176470588235
16,1530,2,180,0.11764705882352941
16,1530,3,225,0.14705882352941174
16,1530,4,135,0.08823529411764705
16,1530,5,225,0.14705882352941174
16,1530,6,45,0.029411764705882353
16,1530,7,180,0.11764705882352941
16,1530,8,45,0.029411764705882353
16,1530,9,45,0.029411764705882353
17,1530,1,450,0.2941176470588235
17,1530,2,180,0.11764705882352941
17,1530,3,225,0.14705882352941174
17,1530,4,135,0.08823529411764705
17,1530,5,225,0.14705882352941174
17,1530,6,45,0.029411764705882353
17,1530,7,180,0.11764705882352941
17,1530,8,45,0.029411764705882353
17,1530,9,45,0.029411764705882353
18,1530,1,450,0.2941176470588235
18,1530,2,180,0.11764705882352941
18,1530,3,225,0.14705882352941174
18,1530,4,135,0.08823529411764705
18,1530,5,225,0.14705882352941174
18,1530,6,45,0.029411764705882353
18,1530,7,180,0.11764705882352941
18,1530,8,45,0.029411764705882353
18,1530,9,45,0.029411764705882353
19,1530,1,450,0.2941176470588235
19,1530,2,180,0.11764705882352941
19,1530,3,225,0.14705882352941174
19,1530,4,135,0.08823529411764705
19,1530,5,225,0.14705882352941174
19,1530,6,45,0.029411764705882353
19,1530,7,180,0.11764705882352941
19,1530,8,45,0.029411764705882353
19,1530,9,45,0.029411764705882353
20,1530,1,450,0.2941176470588235
20,1530,2,180,0.11764705882352941
20,1530,3,225,0.14705882352941174
20,1530,4,135,0.08823529411764705
20,1530,5,225,0.14705882352941174
20,1530,6,45,0.029411764705882353
20,1530,7,180,0.11764705882352941
20,1530,8,45,0.029411764705882353
20,1530,9,45,0.029411764705882353
