fold,fold_count,inst,count,proportion
1,1325,AcousticBass,18,0.013584905660377358
1,1325,AcousticGrandPiano,15,0.011320754716981131
1,1325,AcousticGuitar(nylon),11,0.00830188679245283
1,1325,AcousticGuitar(steel),22,0.01660377358490566
1,1325,AltoSax,14,0.010566037735849056
1,1325,Bagpipe,9,0.006792452830188679
1,1325,Banjo,11,0.00830188679245283
1,1325,BaritoneSax,9,0.006792452830188679
1,1325,Bassoon,16,0.012075471698113207
1,1325,BlownBottle,11,0.00830188679245283
1,1325,BrassSection,16,0.012075471698113207
1,1325,BrightAcousticPiano,14,0.010566037735849056
1,1325,Cello,11,0.00830188679245283
1,1325,ChoirAahs,13,0.00981132075471698
1,1325,ChurchOrgan,15,0.011320754716981131
1,1325,Clarinet,16,0.012075471698113207
1,1325,Clavinet,15,0.011320754716981131
1,1325,Contrabass,16,0.012075471698113207
1,1325,DistortionGuitar,14,0.010566037735849056
1,1325,DrawbarOrgan,15,0.011320754716981131
1,1325,Dulcimer,21,0.015849056603773583
1,1325,ElectricBass(finger),12,0.009056603773584904
1,1325,ElectricBass(pick),13,0.00981132075471698
1,1325,ElectricGrandPiano,12,0.009056603773584904
1,1325,ElectricGuitar(clean),18,0.013584905660377358
1,1325,ElectricGuitar(jazz),20,0.01509433962264151
1,1325,ElectricGuitar(muted),18,0.013584905660377358
1,1325,ElectricPiano1,10,0.007547169811320755
1,1325,ElectricPiano2,13,0.00981132075471698
1,1325,EnglishHorn,15,0.011320754716981131
1,1325,Fiddle,18,0.013584905660377358
1,1325,Flute,10,0.007547169811320755
1,1325,FrenchHorn,15,0.011320754716981131
1,1325,FretlessBass,15,0.011320754716981131
1,1325,Harpsichord,16,0.012075471698113207
1,1325,Honky-tonkPiano,15,0.011320754716981131
1,1325,Kalimba,16,0.012075471698113207
1,1325,Koto,11,0.00830188679245283
1,1325,Lead1(square),11,0.00830188679245283
1,1325,Lead2(sawtooth),15,0.011320754716981131
1,1325,Lead3(calliope),15,0.011320754716981131
1,1325,Lead4(chiff),19,0.014339622641509434
1,1325,Lead5(charang),15,0.011320754716981131
1,1325,Lead6(voice),10,0.007547169811320755
1,1325,Lead8(bass+lead),8,0.0060377358490566035
1,1325,Marimba,18,0.013584905660377358
1,1325,MusicBox,10,0.007547169811320755
1,1325,MutedTrumpet,17,0.012830188679245283
1,1325,Oboe,14,0.010566037735849056
1,1325,Ocarina,14,0.010566037735849056
1,1325,OrchestralHarp,16,0.012075471698113207
1,1325,OverdrivenGuitar,12,0.009056603773584904
1,1325,Pad1(newage),17,0.012830188679245283
1,1325,Pad2(warm),17,0.012830188679245283
1,1325,Pad3(polysynth),14,0.010566037735849056
1,1325,Pad4(choir),20,0.01509433962264151
1,1325,Pad5(bowed),16,0.012075471698113207
1,1325,Pad6(metallic),12,0.009056603773584904
1,1325,Pad7(halo),14,0.010566037735849056
1,1325,Pad8(sweep),17,0.012830188679245283
1,1325,PanFlute,19,0.014339622641509434
1,1325,PercussiveOrgan,11,0.00830188679245283
1,1325,Piccolo,15,0.011320754716981131
1,1325,PizzicatoStrings,18,0.013584905660377358
1,1325,Recorder,13,0.00981132075471698
1,1325,ReedOrgan,20,0.01509433962264151
1,1325,RockOrgan,11,0.00830188679245283
1,1325,Shamisen,16,0.012075471698113207
1,1325,Shanai,8,0.0060377358490566035
1,1325,Sitar,19,0.014339622641509434
1,1325,SlapBass1,12,0.009056603773584904
1,1325,SlapBass2,13,0.00981132075471698
1,1325,SopranoSax,12,0.009056603773584904
1,1325,StringEnsemble1,16,0.012075471698113207
1,1325,StringEnsemble2,20,0.01509433962264151
1,1325,SynthBass1,13,0.00981132075471698
1,1325,SynthBass2,9,0.006792452830188679
1,1325,SynthBrass1,14,0.010566037735849056
1,1325,SynthBrass2,11,0.00830188679245283
1,1325,SynthStrings1,19,0.014339622641509434
1,1325,SynthStrings2,21,0.015849056603773583
1,1325,SynthVoice,11,0.00830188679245283
1,1325,TenorSax,17,0.012830188679245283
1,1325,TremoloStrings,10,0.007547169811320755
1,1325,Trombone,14,0.010566037735849056
1,1325,Trumpet,15,0.011320754716981131
1,1325,Tuba,11,0.00830188679245283
1,1325,Vibraphone,16,0.012075471698113207
1,1325,Viola,17,0.012830188679245283
1,1325,Violin,10,0.007547169811320755
1,1325,VoiceOohs,11,0.00830188679245283
1,1325,Xylophone,13,0.00981132075471698
2,1325,AcousticBass,17,0.012830188679245283
2,1325,AcousticGrandPiano,17,0.012830188679245283
2,1325,AcousticGuitar(nylon),13,0.00981132075471698
2,1325,AcousticGuitar(steel),17,0.012830188679245283
2,1325,AltoSax,18,0.013584905660377358
2,1325,Bagpipe,11,0.00830188679245283
2,1325,Banjo,13,0.00981132075471698
2,1325,BaritoneSax,14,0.010566037735849056
2,1325,Bassoon,11,0.00830188679245283
2,1325,BlownBottle,10,0.007547169811320755
2,1325,BrassSection,10,0.007547169811320755
2,1325,BrightAcousticPiano,18,0.013584905660377358
2,1325,Cello,11,0.00830188679245283
2,1325,ChoirAahs,13,0.00981132075471698
2,1325,ChurchOrgan,12,0.009056603773584904
2,1325,Clarinet,12,0.009056603773584904
2,1325,Clavinet,11,0.00830188679245283
2,1325,Contrabass,10,0.007547169811320755
2,1325,DistortionGuitar,18,0.013584905660377358
2,1325,DrawbarOrgan,12,0.009056603773584904
2,1325,Dulcimer,5,0.0037735849056603774
2,1325,ElectricBass(finger),13,0.00981132075471698
2,1325,ElectricBass(pick),19,0.014339622641509434
2,1325,ElectricGrandPiano,12,0.009056603773584904
2,1325,ElectricGuitar(clean),14,0.010566037735849056
2,1325,ElectricGuitar(jazz),13,0.00981132075471698
2,1325,ElectricGuitar(muted),7,0.005283018867924528
2,1325,ElectricPiano1,18,0.013584905660377358
2,1325,ElectricPiano2,17,0.012830188679245283
2,1325,EnglishHorn,11,0.00830188679245283
2,1325,Fiddle,18,0.013584905660377358
2,1325,Flute,15,0.011320754716981131
2,1325,FrenchHorn,14,0.010566037735849056
2,1325,FretlessBass,20,0.01509433962264151
2,1325,Harpsichord,16,0.012075471698113207
2,1325,Honky-tonkPiano,9,0.006792452830188679
2,1325,Kalimba,19,0.014339622641509434
2,1325,Koto,13,0.00981132075471698
2,1325,Lead1(square),15,0.011320754716981131
2,1325,Lead2(sawtooth),11,0.00830188679245283
2,1325,Lead3(calliope),14,0.010566037735849056
2,1325,Lead4(chiff),16,0.012075471698113207
2,1325,Lead5(charang),19,0.014339622641509434
2,1325,Lead6(voice),13,0.00981132075471698
2,1325,Lead8(bass+lead),16,0.012075471698113207
2,1325,Marimba,21,0.015849056603773583
2,1325,MusicBox,19,0.014339622641509434
2,1325,MutedTrumpet,18,0.013584905660377358
2,1325,Oboe,11,0.00830188679245283
2,1325,Ocarina,20,0.01509433962264151
2,1325,OrchestralHarp,13,0.00981132075471698
2,1325,OverdrivenGuitar,11,0.00830188679245283
2,1325,Pad1(newage),8,0.0060377358490566035
2,1325,Pad2(warm),15,0.011320754716981131
2,1325,Pad3(polysynth),12,0.009056603773584904
2,1325,Pad4(choir),9,0.006792452830188679
2,1325,Pad5(bowed),15,0.011320754716981131
2,1325,Pad6(metallic),16,0.012075471698113207
2,1325,Pad7(halo),13,0.00981132075471698
2,1325,Pad8(sweep),13,0.00981132075471698
2,1325,PanFlute,23,0.017358490566037735
2,1325,PercussiveOrgan,20,0.01509433962264151
2,1325,Piccolo,13,0.00981132075471698
2,1325,PizzicatoStrings,15,0.011320754716981131
2,1325,Recorder,13,0.00981132075471698
2,1325,ReedOrgan,18,0.013584905660377358
2,1325,RockOrgan,16,0.012075471698113207
2,1325,Shamisen,15,0.011320754716981131
2,1325,Shanai,14,0.010566037735849056
2,1325,Sitar,15,0.011320754716981131
2,1325,SlapBass1,10,0.007547169811320755
2,1325,SlapBass2,19,0.014339622641509434
2,1325,SopranoSax,10,0.007547169811320755
2,1325,StringEnsemble1,16,0.012075471698113207
2,1325,StringEnsemble2,6,0.004528301886792452
2,1325,SynthBass1,13,0.00981132075471698
2,1325,SynthBass2,10,0.007547169811320755
2,1325,SynthBrass1,18,0.013584905660377358
2,1325,SynthBrass2,16,0.012075471698113207
