fold,fold_count,sub_type,count,proportion
1,1325,N,442,0.33358490566037735
1,1325,S,441,0.33283018867924524
1,1325,T,442,0.33358490566037735
2,1325,N,442,0.33358490566037735
2,1325,S,441,0.33283018867924524
2,1325,T,442,0.33358490566037735
3,1325,N,442,0.33358490566037735
3,1325,S,441,0.33283018867924524
3,1325,T,442,0.33358490566037735
4,1325,N,442,0.33358490566037735
4,1325,S,441,0.33283018867924524
4,1325,T,442,0.33358490566037735
5,1325,N,442,0.33358490566037735
5,1325,S,442,0.33358490566037735
5,1325,T,441,0.33283018867924524
6,1325,N,442,0.33358490566037735
6,1325,S,442,0.33358490566037735
6,1325,T,441,0.33283018867924524
7,1325,N,442,0.33358490566037735
7,1325,S,442,0.33358490566037735
7,1325,T,441,0.33283018867924524
8,1325,N,442,0.33358490566037735
8,1325,S,442,0.33358490566037735
8,1325,T,441,0.33283018867924524
9,1325,N,441,0.33283018867924524
9,1325,S,442,0.33358490566037735
9,1325,T,442,0.33358490566037735
10,1325,N,441,0.33283018867924524
10,1325,S,442,0.33358490566037735
10,1325,T,442,0.33358490566037735
11,1325,N,441,0.33283018867924524
11,1325,S,442,0.33358490566037735
11,1325,T,442,0.33358490566037735
12,1325,N,441,0.33283018867924524
12,1325,S,442,0.33358490566037735
12,1325,T,442,0.33358490566037735
13,1325,N,442,0.33358490566037735
13,1325,S,441,0.33283018867924524
13,1325,T,442,0.33358490566037735
14,1325,N,442,0.33358490566037735
14,1325,S,441,0.33283018867924524
14,1325,T,442,0.33358490566037735
15,1325,N,442,0.33358490566037735
15,1325,S,441,0.33283018867924524
15,1325,T,442,0.33358490566037735
16,1325,N,442,0.33358490566037735
16,1325,S,441,0.33283018867924524
16,1325,T,442,0.33358490566037735
17,1324,N,441,0.3330815709969788
17,1324,S,442,0.3338368580060423
17,1324,T,441,0.3330815709969788
18,1324,N,441,0.3330815709969788
18,1324,S,442,0.3338368580060423
18,1324,T,441,0.3330815709969788
19,1324,N,441,0.3330815709969788
19,1324,S,442,0.3338368580060423
19,1324,T,441,0.3330815709969788
20,1324,N,441,0.3330815709969788
20,1324,S,442,0.3338368580060423
20,1324,T,441,0.3330815709969788
