fold,fold_count,inversion,count,proportion
1,663,5,241,0.36349924585218707
1,663,6,213,0.3212669683257919
1,663,64,209,0.3152337858220211
2,663,5,222,0.33484162895927605
2,663,6,230,0.3469079939668175
2,663,64,211,0.3182503770739065
3,663,5,227,0.34238310708898945
3,663,6,201,0.30316742081447967
3,663,64,235,0.35444947209653094
4,663,5,195,0.29411764705882354
4,663,6,227,0.34238310708898945
4,663,64,241,0.36349924585218707
5,663,5,203,0.30618401206636503
5,663,6,250,0.3770739064856712
5,663,64,210,0.31674208144796384
6,663,5,222,0.33484162895927605
6,663,6,198,0.2986425339366516
6,663,64,243,0.36651583710407243
7,663,5,230,0.3469079939668175
7,663,6,216,0.3257918552036199
7,663,64,217,0.3273001508295626
8,663,5,235,0.35444947209653094
8,663,6,201,0.30316742081447967
8,663,64,227,0.34238310708898945
9,662,5,229,0.3459214501510574
9,662,6,228,0.34441087613293053
9,662,64,205,0.30966767371601206
10,662,5,228,0.34441087613293053
10,662,6,232,0.3504531722054381
10,662,64,202,0.30513595166163143
11,662,5,218,0.3293051359516616
11,662,6,224,0.338368580060423
11,662,64,220,0.3323262839879154
12,662,5,256,0.3867069486404834
12,662,6,186,0.2809667673716012
12,662,64,220,0.3323262839879154
13,662,5,208,0.31419939577039274
13,662,6,211,0.3187311178247734
13,662,64,243,0.36706948640483383
14,662,5,209,0.3157099697885196
14,662,6,231,0.34894259818731116
14,662,64,222,0.33534743202416917
15,662,5,205,0.30966767371601206
15,662,6,240,0.36253776435045315
15,662,64,217,0.32779456193353473
16,662,5,212,0.3202416918429003
16,662,6,238,0.3595166163141994
16,662,64,212,0.3202416918429003
17,662,5,212,0.3202416918429003
17,662,6,222,0.33534743202416917
17,662,64,228,0.34441087613293053
18,662,5,222,0.33534743202416917
18,662,6,233,0.35196374622356497
18,662,64,207,0.31268882175226587
19,662,5,218,0.3293051359516616
19,662,6,221,0.3338368580060423
19,662,64,223,0.3368580060422961
20,662,5,224,0.338368580060423
20,662,6,214,0.32326283987915405
20,662,64,224,0.338368580060423
