fold,fold_count,midi_category,count,proportion
1,663,Bass Timbres,49,0.07390648567119155
1,663,Brass Timbres,62,0.09351432880844646
1,663,Chromatic Percussion,33,0.0497737556561086
1,663,Ensemble Timbres,52,0.0784313725490196
1,663,Ethnic Timbres,50,0.07541478129713425
1,663,Guitar Timbres,59,0.0889894419306184
1,663,Organ Timbres,39,0.058823529411764705
1,663,Piano Timbres,60,0.09049773755656108
1,663,Pipe Timbres,41,0.06184012066365008
1,663,Reed Timbres,60,0.09049773755656108
1,663,String Timbres,48,0.07239819004524888
1,663,Synth Lead,52,0.0784313725490196
1,663,Synth Pad,58,0.08748114630467572
2,663,Bass Timbres,59,0.0889894419306184
2,663,Brass Timbres,48,0.07239819004524888
2,663,Chromatic Percussion,38,0.057315233785822026
2,663,Ensemble Timbres,60,0.09049773755656108
2,663,Ethnic Timbres,56,0.08446455505279035
2,663,Guitar Timbres,40,0.06033182503770739
2,663,Organ Timbres,38,0.057315233785822026
2,663,Piano Timbres,55,0.08295625942684766
2,663,Pipe Timbres,49,0.07390648567119155
2,663,Reed Timbres,62,0.09351432880844646
2,663,String Timbres,48,0.07239819004524888
2,663,Synth Lead,40,0.06033182503770739
2,663,Synth Pad,70,0.10558069381598793
3,663,Bass Timbres,53,0.0799396681749623
3,663,Brass Timbres,54,0.08144796380090498
3,663,Chromatic Percussion,37,0.05580693815987934
3,663,Ensemble Timbres,52,0.0784313725490196
3,663,Ethnic Timbres,62,0.09351432880844646
3,663,Guitar Timbres,46,0.0693815987933635
3,663,Organ Timbres,44,0.06636500754147813
3,663,Piano Timbres,55,0.08295625942684766
3,663,Pipe Timbres,54,0.08144796380090498
3,663,Reed Timbres,54,0.08144796380090498
3,663,String Timbres,43,0.06485671191553545
3,663,Synth Lead,54,0.08144796380090498
3,663,Synth Pad,55,0.08295625942684766
4,663,Bass Timbres,59,0.0889894419306184
4,663,Brass Timbres,57,0.08597285067873303
4,663,Chromatic Percussion,41,0.06184012066365008
4,663,Ensemble Timbres,58,0.08748114630467572
4,663,Ethnic Timbres,54,0.08144796380090498
4,663,Guitar Timbres,49,0.07390648567119155
4,663,Organ Timbres,35,0.05279034690799397
4,663,Piano Timbres,62,0.09351432880844646
4,663,Pipe Timbres,28,0.042232277526395176
4,663,Reed Timbres,63,0.09502262443438915
4,663,String Timbres,38,0.057315233785822026
4,663,Synth Lead,63,0.09502262443438915
4,663,Synth Pad,56,0.08446455505279035
5,663,Bass Timbres,56,0.08446455505279035
5,663,Brass Timbres,65,0.09803921568627451
5,663,Chromatic Percussion,32,0.048265460030165915
5,663,Ensemble Timbres,46,0.0693815987933635
5,663,Ethnic Timbres,68,0.10256410256410257
5,663,Guitar Timbres,53,0.0799396681749623
5,663,Organ Timbres,32,0.048265460030165915
5,663,Piano Timbres,65,0.09803921568627451
5,663,Pipe Timbres,50,0.07541478129713425
5,663,Reed Timbres,52,0.0784313725490196
5,663,String Timbres,51,0.07692307692307693
5,663,Synth Lead,45,0.06787330316742082
5,663,Synth Pad,48,0.07239819004524888
6,663,Bass Timbres,61,0.09200603318250378
6,663,Brass Timbres,50,0.07541478129713425
6,663,Chromatic Percussion,38,0.057315233785822026
6,663,Ensemble Timbres,45,0.06787330316742082
6,663,Ethnic Timbres,60,0.09049773755656108
6,663,Guitar Timbres,53,0.0799396681749623
6,663,Organ Timbres,40,0.06033182503770739
6,663,Piano Timbres,64,0.09653092006033183
6,663,Pipe Timbres,42,0.06334841628959276
6,663,Reed Timbres,58,0.08748114630467572
6,663,String Timbres,58,0.08748114630467572
6,663,Synth Lead,42,0.06334841628959276
6,663,Synth Pad,52,0.0784313725490196
7,663,Bass Timbres,53,0.0799396681749623
7,663,Brass Timbres,60,0.09049773755656108
7,663,Chromatic Percussion,43,0.06485671191553545
7,663,Ensemble Timbres,52,0.0784313725490196
7,663,Ethnic Timbres,61,0.09200603318250378
7,663,Guitar Timbres,47,0.07088989441930618
7,663,Organ Timbres,50,0.07541478129713425
7,663,Piano Timbres,46,0.0693815987933635
7,663,Pipe Timbres,44,0.06636500754147813
7,663,Reed Timbres,52,0.0784313725490196
7,663,String Timbres,55,0.08295625942684766
7,663,Synth Lead,43,0.06485671191553545
7,663,Synth Pad,57,0.08597285067873303
8,663,Bass Timbres,46,0.0693815987933635
8,663,Brass Timbres,53,0.0799396681749623
8,663,Chromatic Percussion,39,0.058823529411764705
8,663,Ensemble Timbres,43,0.06485671191553545
8,663,Ethnic Timbres,55,0.08295625942684766
8,663,Guitar Timbres,54,0.08144796380090498
8,663,Organ Timbres,34,0.05128205128205129
8,663,Piano Timbres,56,0.08446455505279035
8,663,Pipe Timbres,53,0.0799396681749623
8,663,Reed Timbres,64,0.09653092006033183
8,663,String Timbres,58,0.08748114630467572
8,663,Synth Lead,55,0.08295625942684766
8,663,Synth Pad,53,0.0799396681749623
9,662,Bass Timbres,45,0.06797583081570997
9,662,Brass Timbres,67,0.10120845921450151
9,662,Chromatic Percussion,37,0.055891238670694864
9,662,Ensemble Timbres,49,0.07401812688821752
9,662,Ethnic Timbres,61,0.09214501510574018
9,662,Guitar Timbres,54,0.08157099697885196
9,662,Organ Timbres,39,0.05891238670694864
9,662,Piano Timbres,69,0.1042296072507553
9,662,Pipe Timbres,45,0.06797583081570997
9,662,Reed Timbres,44,0.06646525679758308
9,662,String Timbres,46,0.06948640483383686
9,662,Synth Lead,55,0.08308157099697885
9,662,Synth Pad,51,0.0770392749244713
10,662,Bass Timbres,62,0.09365558912386707
10,662,Brass Timbres,45,0.06797583081570997
10,662,Chromatic Percussion,47,0.07099697885196375
10,662,Ensemble Timbres,55,0.08308157099697885
10,662,Ethnic Timbres,61,0.09214501510574018
10,662,Guitar Timbres,57,0.08610271903323263
10,662,Organ Timbres,31,0.04682779456193353
10,662,Piano Timbres,54,0.08157099697885196
10,662,Pipe Timbres,36,0.054380664652567974
10,662,Reed Timbres,59,0.0891238670694864
10,662,String Timbres,55,0.08308157099697885
10,662,Synth Lead,45,0.06797583081570997
10,662,Synth Pad,55,0.08308157099697885
11,662,Bass Timbres,64,0.09667673716012085
11,662,Brass Timbres,57,0.08610271903323263
11,662,Chromatic Percussion,41,0.061933534743202415
11,662,Ensemble Timbres,37,0.055891238670694864
11,662,Ethnic Timbres,75,0.11329305135951662
11,662,Guitar Timbres,47,0.07099697885196375
11,662,Organ Timbres,35,0.052870090634441085
11,662,Piano Timbres,44,0.06646525679758308
11,662,Pipe Timbres,33,0.04984894259818731
11,662,Reed Timbres,63,0.09516616314199396
11,662,String Timbres,56,0.08459214501510574
11,662,Synth Lead,48,0.07250755287009064
11,662,Synth Pad,62,0.09365558912386707
12,662,Bass Timbres,60,0.09063444108761329
12,662,Brass Timbres,59,0.0891238670694864
12,662,Chromatic Percussion,34,0.0513595166163142
12,662,Ensemble Timbres,38,0.05740181268882175
12,662,Ethnic Timbres,34,0.0513595166163142
12,662,Guitar Timbres,59,0.0891238670694864
