fold,fold_count,root_note_name,count,proportion
1,663,A,53,0.0799396681749623
1,663,A#,57,0.08597285067873303
1,663,B,53,0.0799396681749623
1,663,C,62,0.09351432880844646
1,663,C#,58,0.08748114630467572
1,663,D,59,0.0889894419306184
1,663,D#,60,0.09049773755656108
1,663,E,50,0.07541478129713425
1,663,F,52,0.0784313725490196
1,663,F#,54,0.08144796380090498
1,663,G,56,0.08446455505279035
1,663,G#,49,0.07390648567119155
2,663,A,49,0.07390648567119155
2,663,A#,49,0.07390648567119155
2,663,B,62,0.09351432880844646
2,663,C,58,0.08748114630467572
2,663,C#,66,0.0995475113122172
2,663,D,54,0.08144796380090498
2,663,D#,48,0.07239819004524888
2,663,E,66,0.0995475113122172
2,663,F,48,0.07239819004524888
2,663,F#,58,0.08748114630467572
2,663,G,60,0.09049773755656108
2,663,G#,45,0.06787330316742082
3,663,A,61,0.09200603318250378
3,663,A#,49,0.07390648567119155
3,663,B,56,0.08446455505279035
3,663,C,53,0.0799396681749623
3,663,C#,53,0.0799396681749623
3,663,D,61,0.09200603318250378
3,663,D#,60,0.09049773755656108
3,663,E,49,0.07390648567119155
3,663,F,60,0.09049773755656108
3,663,F#,53,0.0799396681749623
3,663,G,55,0.08295625942684766
3,663,G#,53,0.0799396681749623
4,663,A,50,0.07541478129713425
4,663,A#,58,0.08748114630467572
4,663,B,38,0.057315233785822026
4,663,C,57,0.08597285067873303
4,663,C#,57,0.08597285067873303
4,663,D,54,0.08144796380090498
4,663,D#,61,0.09200603318250378
4,663,E,58,0.08748114630467572
4,663,F,59,0.0889894419306184
4,663,F#,61,0.09200603318250378
4,663,G,50,0.07541478129713425
4,663,G#,60,0.09049773755656108
5,663,A,49,0.07390648567119155
5,663,A#,65,0.09803921568627451
5,663,B,58,0.08748114630467572
5,663,C,62,0.09351432880844646
5,663,C#,51,0.07692307692307693
5,663,D,41,0.06184012066365008
5,663,D#,51,0.07692307692307693
5,663,E,54,0.08144796380090498
5,663,F,49,0.07390648567119155
5,663,F#,58,0.08748114630467572
5,663,G,69,0.10407239819004525
5,663,G#,56,0.08446455505279035
6,663,A,61,0.09200603318250378
6,663,A#,44,0.06636500754147813
6,663,B,61,0.09200603318250378
6,663,C,56,0.08446455505279035
6,663,C#,56,0.08446455505279035
6,663,D,64,0.09653092006033183
6,663,D#,62,0.09351432880844646
6,663,E,53,0.0799396681749623
6,663,F,59,0.0889894419306184
6,663,F#,54,0.08144796380090498
6,663,G,52,0.0784313725490196
6,663,G#,41,0.06184012066365008
7,663,A,69,0.10407239819004525
7,663,A#,59,0.0889894419306184
7,663,B,54,0.08144796380090498
7,663,C,51,0.07692307692307693
7,663,C#,58,0.08748114630467572
7,663,D,45,0.06787330316742082
7,663,D#,61,0.09200603318250378
7,663,E,49,0.07390648567119155
7,663,F,64,0.09653092006033183
7,663,F#,47,0.07088989441930618
7,663,G,51,0.07692307692307693
7,663,G#,55,0.08295625942684766
8,663,A,49,0.07390648567119155
8,663,A#,57,0.08597285067873303
8,663,B,58,0.08748114630467572
8,663,C,51,0.07692307692307693
8,663,C#,56,0.08446455505279035
8,663,D,51,0.07692307692307693
8,663,D#,62,0.09351432880844646
8,663,E,49,0.07390648567119155
8,663,F,55,0.08295625942684766
8,663,F#,52,0.0784313725490196
8,663,G,64,0.09653092006033183
8,663,G#,59,0.0889894419306184
9,662,A,55,0.08308157099697885
9,662,A#,40,0.060422960725075525
9,662,B,63,0.09516616314199396
9,662,C,53,0.08006042296072508
9,662,C#,53,0.08006042296072508
9,662,D,60,0.09063444108761329
9,662,D#,60,0.09063444108761329
9,662,E,49,0.07401812688821752
9,662,F,63,0.09516616314199396
9,662,F#,58,0.08761329305135952
9,662,G,48,0.07250755287009064
9,662,G#,60,0.09063444108761329
10,662,A,67,0.10120845921450151
10,662,A#,62,0.09365558912386707
10,662,B,48,0.07250755287009064
10,662,C,61,0.09214501510574018
10,662,C#,59,0.0891238670694864
10,662,D,51,0.0770392749244713
10,662,D#,48,0.07250755287009064
10,662,E,43,0.0649546827794562
10,662,F,56,0.08459214501510574
10,662,F#,61,0.09214501510574018
10,662,G,49,0.07401812688821752
10,662,G#,57,0.08610271903323263
11,662,A,48,0.07250755287009064
11,662,A#,60,0.09063444108761329
11,662,B,53,0.08006042296072508
11,662,C,49,0.07401812688821752
11,662,C#,55,0.08308157099697885
11,662,D,55,0.08308157099697885
11,662,D#,52,0.07854984894259819
11,662,E,51,0.0770392749244713
11,662,F,56,0.08459214501510574
11,662,F#,53,0.08006042296072508
11,662,G,69,0.1042296072507553
11,662,G#,61,0.09214501510574018
12,662,A,65,0.09818731117824774
12,662,A#,49,0.07401812688821752
12,662,B,52,0.07854984894259819
12,662,C,54,0.08157099697885196
12,662,C#,60,0.09063444108761329
12,662,D,64,0.09667673716012085
12,662,D#,52,0.07854984894259819
12,662,E,50,0.0755287009063444
12,662,F,48,0.07250755287009064
12,662,F#,50,0.0755287009063444
12,662,G,61,0.09214501510574018
12,662,G#,57,0.08610271903323263
13,662,A,57,0.08610271903323263
13,662,A#,64,0.09667673716012085
13,662,B,56,0.08459214501510574
13,662,C,53,0.08006042296072508
13,662,C#,47,0.07099697885196375
13,662,D,56,0.08459214501510574
13,662,D#,65,0.09818731117824774
13,662,E,57,0.08610271903323263
13,662,F,62,0.09365558912386707
13,662,F#,47,0.07099697885196375
13,662,G,45,0.06797583081570997
13,662,G#,53,0.08006042296072508
14,662,A,53,0.08006042296072508
14,662,A#,47,0.07099697885196375
14,662,B,63,0.09516616314199396
14,662,C,52,0.07854984894259819
14,662,C#,68,0.1027190332326284
14,662,D,55,0.08308157099697885
14,662,D#,50,0.0755287009063444
14,662,E,59,0.0891238670694864
14,662,F,36,0.054380664652567974
14,662,F#,58,0.08761329305135952
14,662,G,55,0.08308157099697885
14,662,G#,66,0.09969788519637462
15,662,A,67,0.10120845921450151
15,662,A#,63,0.09516616314199396
15,662,B,42,0.0634441087613293
15,662,C,59,0.0891238670694864
15,662,C#,51,0.0770392749244713
15,662,D,59,0.0891238670694864
15,662,D#,49,0.07401812688821752
15,662,E,53,0.08006042296072508
15,662,F,63,0.09516616314199396
15,662,F#,54,0.08157099697885196
15,662,G,54,0.08157099697885196
15,662,G#,48,0.07250755287009064
16,662,A,45,0.06797583081570997
16,662,A#,64,0.09667673716012085
16,662,B,55,0.08308157099697885
16,662,C,46,0.06948640483383686
16,662,C#,63,0.09516616314199396
16,662,D,52,0.07854984894259819
16,662,D#,57,0.08610271903323263
16,662,E,54,0.08157099697885196
16,662,F,48,0.07250755287009064
16,662,F#,51,0.0770392749244713
16,662,G,50,0.0755287009063444
16,662,G#,77,0.1163141993957704
17,662,A,55,0.08308157099697885
17,662,A#,42,0.0634441087613293
17,662,B,68,0.1027190332326284
17,662,C,58,0.08761329305135952
17,662,C#,47,0.07099697885196375
17,662,D,55,0.08308157099697885
17,662,D#,47,0.07099697885196375
17,662,E,77,0.1163141993957704
17,662,F,60,0.09063444108761329
17,662,F#,48,0.07250755287009064
17,662,G,55,0.08308157099697885
17,662,G#,50,0.0755287009063444
18,662,A,55,0.08308157099697885
18,662,A#,55,0.08308157099697885
18,662,B,50,0.0755287009063444
18,662,C,60,0.09063444108761329
18,662,C#,45,0.06797583081570997
18,662,D,53,0.08006042296072508
18,662,D#,47,0.07099697885196375
18,662,E,59,0.0891238670694864
18,662,F,58,0.08761329305135952
18,662,F#,71,0.10725075528700906
18,662,G,59,0.0891238670694864
18,662,G#,50,0.0755287009063444
19,662,A,43,0.0649546827794562
19,662,A#,61,0.09214501510574018
19,662,B,51,0.0770392749244713
19,662,C,46,0.06948640483383686
19,662,C#,49,0.07401812688821752
19,662,D,53,0.08006042296072508
19,662,D#,59,0.0891238670694864
19,662,E,67,0.10120845921450151
19,662,F,62,0.09365558912386707
19,662,F#,62,0.09365558912386707
19,662,G,52,0.07854984894259819
19,662,G#,57,0.08610271903323263
20,662,A,53,0.08006042296072508
20,662,A#,59,0.0891238670694864
20,662,B,63,0.09516616314199396
20,662,C,63,0.09516616314199396
20,662,C#,52,0.07854984894259819
20,662,D,62,0.09365558912386707
20,662,D#,53,0.08006042296072508
20,662,E,57,0.08610271903323263
20,662,F,46,0.06948640483383686
20,662,F#,54,0.08157099697885196
20,662,G,50,0.0755287009063444
20,662,G#,50,0.0755287009063444
