fold,fold_count,root_note_pitch_class,count,proportion
1,663,0,62,0.09351432880844646
1,663,1,58,0.08748114630467572
1,663,2,59,0.0889894419306184
1,663,3,60,0.09049773755656108
1,663,4,50,0.07541478129713425
1,663,5,52,0.0784313725490196
1,663,6,54,0.08144796380090498
1,663,7,56,0.08446455505279035
1,663,8,49,0.07390648567119155
1,663,9,53,0.0799396681749623
1,663,10,57,0.08597285067873303
1,663,11,53,0.0799396681749623
2,663,0,58,0.08748114630467572
2,663,1,66,0.0995475113122172
2,663,2,54,0.08144796380090498
2,663,3,48,0.07239819004524888
2,663,4,66,0.0995475113122172
2,663,5,48,0.07239819004524888
2,663,6,58,0.08748114630467572
2,663,7,60,0.09049773755656108
2,663,8,45,0.06787330316742082
2,663,9,49,0.07390648567119155
2,663,10,49,0.07390648567119155
2,663,11,62,0.09351432880844646
3,663,0,53,0.0799396681749623
3,663,1,53,0.0799396681749623
3,663,2,61,0.09200603318250378
3,663,3,60,0.09049773755656108
3,663,4,49,0.07390648567119155
3,663,5,60,0.09049773755656108
3,663,6,53,0.0799396681749623
3,663,7,55,0.08295625942684766
3,663,8,53,0.0799396681749623
3,663,9,61,0.09200603318250378
3,663,10,49,0.07390648567119155
3,663,11,56,0.08446455505279035
4,663,0,57,0.08597285067873303
4,663,1,57,0.08597285067873303
4,663,2,54,0.08144796380090498
4,663,3,61,0.09200603318250378
4,663,4,58,0.08748114630467572
4,663,5,59,0.0889894419306184
4,663,6,61,0.09200603318250378
4,663,7,50,0.07541478129713425
4,663,8,60,0.09049773755656108
4,663,9,50,0.07541478129713425
4,663,10,58,0.08748114630467572
4,663,11,38,0.057315233785822026
5,663,0,62,0.09351432880844646
5,663,1,51,0.07692307692307693
5,663,2,41,0.06184012066365008
5,663,3,51,0.07692307692307693
5,663,4,54,0.08144796380090498
5,663,5,49,0.07390648567119155
5,663,6,58,0.08748114630467572
5,663,7,69,0.10407239819004525
5,663,8,56,0.08446455505279035
5,663,9,49,0.07390648567119155
5,663,10,65,0.09803921568627451
5,663,11,58,0.08748114630467572
6,663,0,56,0.08446455505279035
6,663,1,56,0.08446455505279035
6,663,2,64,0.09653092006033183
6,663,3,62,0.09351432880844646
6,663,4,53,0.0799396681749623
6,663,5,59,0.0889894419306184
6,663,6,54,0.08144796380090498
6,663,7,52,0.0784313725490196
6,663,8,41,0.06184012066365008
6,663,9,61,0.09200603318250378
6,663,10,44,0.06636500754147813
6,663,11,61,0.09200603318250378
7,663,0,51,0.07692307692307693
7,663,1,58,0.08748114630467572
7,663,2,45,0.06787330316742082
7,663,3,61,0.09200603318250378
7,663,4,49,0.07390648567119155
7,663,5,64,0.09653092006033183
7,663,6,47,0.07088989441930618
7,663,7,51,0.07692307692307693
7,663,8,55,0.08295625942684766
7,663,9,69,0.10407239819004525
7,663,10,59,0.0889894419306184
7,663,11,54,0.08144796380090498
8,663,0,51,0.07692307692307693
8,663,1,56,0.08446455505279035
8,663,2,51,0.07692307692307693
8,663,3,62,0.09351432880844646
8,663,4,49,0.07390648567119155
8,663,5,55,0.08295625942684766
8,663,6,52,0.0784313725490196
8,663,7,64,0.09653092006033183
8,663,8,59,0.0889894419306184
8,663,9,49,0.07390648567119155
8,663,10,57,0.08597285067873303
8,663,11,58,0.08748114630467572
9,662,0,53,0.08006042296072508
9,662,1,53,0.08006042296072508
9,662,2,60,0.09063444108761329
9,662,3,60,0.09063444108761329
9,662,4,49,0.07401812688821752
9,662,5,63,0.09516616314199396
9,662,6,58,0.08761329305135952
9,662,7,48,0.07250755287009064
9,662,8,60,0.09063444108761329
9,662,9,55,0.08308157099697885
9,662,10,40,0.060422960725075525
9,662,11,63,0.09516616314199396
10,662,0,61,0.09214501510574018
10,662,1,59,0.0891238670694864
10,662,2,51,0.0770392749244713
10,662,3,48,0.07250755287009064
10,662,4,43,0.0649546827794562
10,662,5,56,0.08459214501510574
10,662,6,61,0.09214501510574018
10,662,7,49,0.07401812688821752
10,662,8,57,0.08610271903323263
10,662,9,67,0.10120845921450151
10,662,10,62,0.09365558912386707
10,662,11,48,0.07250755287009064
11,662,0,49,0.07401812688821752
11,662,1,55,0.08308157099697885
11,662,2,55,0.08308157099697885
11,662,3,52,0.07854984894259819
11,662,4,51,0.0770392749244713
11,662,5,56,0.08459214501510574
11,662,6,53,0.08006042296072508
11,662,7,69,0.1042296072507553
11,662,8,61,0.09214501510574018
11,662,9,48,0.07250755287009064
11,662,10,60,0.09063444108761329
11,662,11,53,0.08006042296072508
12,662,0,54,0.08157099697885196
12,662,1,60,0.09063444108761329
12,662,2,64,0.09667673716012085
12,662,3,52,0.07854984894259819
12,662,4,50,0.0755287009063444
12,662,5,48,0.07250755287009064
12,662,6,50,0.0755287009063444
12,662,7,61,0.09214501510574018
12,662,8,57,0.08610271903323263
12,662,9,65,0.09818731117824774
12,662,10,49,0.07401812688821752
12,662,11,52,0.07854984894259819
13,662,0,53,0.08006042296072508
13,662,1,47,0.07099697885196375
13,662,2,56,0.08459214501510574
13,662,3,65,0.09818731117824774
13,662,4,57,0.08610271903323263
13,662,5,62,0.09365558912386707
13,662,6,47,0.07099697885196375
13,662,7,45,0.06797583081570997
13,662,8,53,0.08006042296072508
13,662,9,57,0.08610271903323263
13,662,10,64,0.09667673716012085
13,662,11,56,0.08459214501510574
14,662,0,52,0.07854984894259819
14,662,1,68,0.1027190332326284
14,662,2,55,0.08308157099697885
14,662,3,50,0.0755287009063444
14,662,4,59,0.0891238670694864
14,662,5,36,0.054380664652567974
14,662,6,58,0.08761329305135952
14,662,7,55,0.08308157099697885
14,662,8,66,0.09969788519637462
14,662,9,53,0.08006042296072508
14,662,10,47,0.07099697885196375
14,662,11,63,0.09516616314199396
15,662,0,59,0.0891238670694864
15,662,1,51,0.0770392749244713
15,662,2,59,0.0891238670694864
15,662,3,49,0.07401812688821752
15,662,4,53,0.08006042296072508
15,662,5,63,0.09516616314199396
15,662,6,54,0.08157099697885196
15,662,7,54,0.08157099697885196
15,662,8,48,0.07250755287009064
15,662,9,67,0.10120845921450151
15,662,10,63,0.09516616314199396
15,662,11,42,0.0634441087613293
16,662,0,46,0.06948640483383686
16,662,1,63,0.09516616314199396
16,662,2,52,0.07854984894259819
16,662,3,57,0.08610271903323263
16,662,4,54,0.08157099697885196
16,662,5,48,0.07250755287009064
16,662,6,51,0.0770392749244713
16,662,7,50,0.0755287009063444
16,662,8,77,0.1163141993957704
16,662,9,45,0.06797583081570997
16,662,10,64,0.09667673716012085
16,662,11,55,0.08308157099697885
17,662,0,58,0.08761329305135952
17,662,1,47,0.07099697885196375
17,662,2,55,0.08308157099697885
17,662,3,47,0.07099697885196375
17,662,4,77,0.1163141993957704
17,662,5,60,0.09063444108761329
17,662,6,48,0.07250755287009064
17,662,7,55,0.08308157099697885
17,662,8,50,0.0755287009063444
17,662,9,55,0.08308157099697885
17,662,10,42,0.0634441087613293
17,662,11,68,0.1027190332326284
18,662,0,60,0.09063444108761329
18,662,1,45,0.06797583081570997
18,662,2,53,0.08006042296072508
18,662,3,47,0.07099697885196375
18,662,4,59,0.0891238670694864
18,662,5,58,0.08761329305135952
18,662,6,71,0.10725075528700906
18,662,7,59,0.0891238670694864
18,662,8,50,0.0755287009063444
18,662,9,55,0.08308157099697885
18,662,10,55,0.08308157099697885
18,662,11,50,0.0755287009063444
19,662,0,46,0.06948640483383686
19,662,1,49,0.07401812688821752
19,662,2,53,0.08006042296072508
19,662,3,59,0.0891238670694864
19,662,4,67,0.10120845921450151
