set_type,set_type_count,root_note_pitch_class,count,proportion
test,1986,0,169,0.0850956696878147
test,1986,1,146,0.07351460221550855
test,1986,2,168,0.08459214501510574
test,1986,3,159,0.08006042296072508
test,1986,4,183,0.09214501510574018
test,1986,5,166,0.08358509566968782
test,1986,6,187,0.09415911379657603
test,1986,7,161,0.081067472306143
test,1986,8,157,0.07905337361530715
test,1986,9,151,0.07603222557905337
test,1986,10,175,0.08811681772406849
test,1986,11,164,0.08257804632426989
train,9276,0,772,0.08322552824493316
train,9276,1,797,0.08592065545493748
train,9276,2,770,0.08300991806813282
train,9276,3,792,0.08538163001293661
train,9276,4,737,0.07945235015092712
train,9276,5,767,0.0826865028029323
train,9276,6,764,0.08236308753773178
train,9276,7,784,0.08451918930573524
train,9276,8,772,0.08322552824493316
train,9276,9,786,0.08473479948253558
train,9276,10,760,0.08193186718413109
train,9276,11,775,0.08354894351013369
valid,1986,0,163,0.08207452165156093
valid,1986,1,161,0.081067472306143
valid,1986,2,166,0.08358509566968782
valid,1986,3,153,0.0770392749244713
valid,1986,4,184,0.09264853977844914
valid,1986,5,171,0.08610271903323263
valid,1986,6,153,0.0770392749244713
valid,1986,7,159,0.08006042296072508
valid,1986,8,175,0.08811681772406849
valid,1986,9,167,0.08408862034239678
valid,1986,10,169,0.0850956696878147
valid,1986,11,165,0.08308157099697885
