set_type,set_type_count,interval,count,proportion
test,5961,1,495,0.08303975842979365
test,5961,2,498,0.08354302969300452
test,5961,3,495,0.08303975842979365
test,5961,4,498,0.08354302969300452
test,5961,5,498,0.08354302969300452
test,5961,6,495,0.08303975842979365
test,5961,7,498,0.08354302969300452
test,5961,8,495,0.08303975842979365
test,5961,9,498,0.08354302969300452
test,5961,10,498,0.08354302969300452
test,5961,11,495,0.08303975842979365
test,5961,12,498,0.08354302969300452
train,27822,1,2322,0.08345913306016821
train,27822,2,2316,0.08324347638559414
train,27822,3,2320,0.08338724750197685
train,27822,4,2318,0.08331536194378548
train,27822,5,2316,0.08324347638559414
train,27822,6,2322,0.08345913306016821
train,27822,7,2316,0.08324347638559414
train,27822,8,2320,0.08338724750197685
train,27822,9,2318,0.08331536194378548
train,27822,10,2316,0.08324347638559414
train,27822,11,2322,0.08345913306016821
train,27822,12,2316,0.08324347638559414
valid,5961,1,495,0.08303975842979365
valid,5961,2,498,0.08354302969300452
valid,5961,3,497,0.08337527260526757
valid,5961,4,496,0.08320751551753061
valid,5961,5,498,0.08354302969300452
valid,5961,6,495,0.08303975842979365
valid,5961,7,498,0.08354302969300452
valid,5961,8,497,0.08337527260526757
valid,5961,9,496,0.08320751551753061
valid,5961,10,498,0.08354302969300452
valid,5961,11,495,0.08303975842979365
valid,5961,12,498,0.08354302969300452
