fold,fold_count,midi_category,count,proportion
1,1988,Bass Timbres,154,0.07746478873239437
1,1988,Brass Timbres,159,0.07997987927565393
1,1988,Chromatic Percussion,99,0.04979879275653924
1,1988,Ensemble Timbres,166,0.08350100603621731
1,1988,Ethnic Timbres,165,0.0829979879275654
1,1988,Guitar Timbres,154,0.07746478873239437
1,1988,Organ Timbres,110,0.05533199195171026
1,1988,Piano Timbres,166,0.08350100603621731
1,1988,Pipe Timbres,125,0.06287726358148894
1,1988,Reed Timbres,187,0.09406438631790745
1,1988,String Timbres,173,0.08702213279678069
1,1988,Synth Lead,151,0.07595573440643864
1,1988,Synth Pad,179,0.09004024144869216
2,1988,Bass Timbres,158,0.07947686116700202
2,1988,Brass Timbres,165,0.0829979879275654
2,1988,Chromatic Percussion,110,0.05533199195171026
2,1988,Ensemble Timbres,149,0.07494969818913481
2,1988,Ethnic Timbres,181,0.09104627766599599
2,1988,Guitar Timbres,136,0.06841046277665996
2,1988,Organ Timbres,117,0.058853118712273646
2,1988,Piano Timbres,187,0.09406438631790745
2,1988,Pipe Timbres,147,0.073943661971831
2,1988,Reed Timbres,187,0.09406438631790745
2,1988,String Timbres,137,0.06891348088531188
2,1988,Synth Lead,157,0.0789738430583501
2,1988,Synth Pad,157,0.0789738430583501
3,1988,Bass Timbres,170,0.08551307847082495
3,1988,Brass Timbres,165,0.0829979879275654
3,1988,Chromatic Percussion,124,0.06237424547283703
3,1988,Ensemble Timbres,144,0.07243460764587525
3,1988,Ethnic Timbres,171,0.08601609657947687
3,1988,Guitar Timbres,150,0.07545271629778673
3,1988,Organ Timbres,114,0.057344064386317915
3,1988,Piano Timbres,167,0.08400402414486922
3,1988,Pipe Timbres,141,0.07092555331991952
3,1988,Reed Timbres,175,0.08802816901408451
3,1988,String Timbres,135,0.06790744466800805
3,1988,Synth Lead,164,0.0824949698189135
3,1988,Synth Pad,168,0.08450704225352114
4,1988,Bass Timbres,157,0.0789738430583501
4,1988,Brass Timbres,171,0.08601609657947687
4,1988,Chromatic Percussion,107,0.05382293762575453
4,1988,Ensemble Timbres,162,0.08148893360160966
4,1988,Ethnic Timbres,175,0.08802816901408451
4,1988,Guitar Timbres,141,0.07092555331991952
4,1988,Organ Timbres,109,0.054828973843058355
4,1988,Piano Timbres,182,0.09154929577464789
4,1988,Pipe Timbres,106,0.05331991951710262
4,1988,Reed Timbres,182,0.09154929577464789
4,1988,String Timbres,138,0.0694164989939638
4,1988,Synth Lead,171,0.08601609657947687
4,1988,Synth Pad,187,0.09406438631790745
5,1987,Bass Timbres,158,0.07951685958731756
5,1987,Brass Timbres,176,0.08857574232511323
5,1987,Chromatic Percussion,102,0.051333668847508805
5,1987,Ensemble Timbres,154,0.07750377453447407
5,1987,Ethnic Timbres,187,0.09411172622043282
5,1987,Guitar Timbres,158,0.07951685958731756
5,1987,Organ Timbres,119,0.059889280322093605
5,1987,Piano Timbres,178,0.08958228485153498
5,1987,Pipe Timbres,133,0.06693507800704579
5,1987,Reed Timbres,169,0.08505284348263714
5,1987,String Timbres,155,0.07800704579768496
5,1987,Synth Lead,137,0.06894816305988928
5,1987,Synth Pad,161,0.08102667337695017
6,1987,Bass Timbres,183,0.09209864116758933
6,1987,Brass Timbres,171,0.08605938600905888
6,1987,Chromatic Percussion,97,0.04881731253145445
6,1987,Ensemble Timbres,149,0.07498741821841973
6,1987,Ethnic Timbres,178,0.08958228485153498
6,1987,Guitar Timbres,155,0.07800704579768496
6,1987,Organ Timbres,119,0.059889280322093605
6,1987,Piano Timbres,185,0.09310518369401106
6,1987,Pipe Timbres,119,0.059889280322093605
6,1987,Reed Timbres,171,0.08605938600905888
6,1987,String Timbres,162,0.08152994464016104
6,1987,Synth Lead,133,0.06693507800704579
6,1987,Synth Pad,165,0.08303975842979365
7,1987,Bass Timbres,149,0.07498741821841973
7,1987,Brass Timbres,191,0.0961248112732763
7,1987,Chromatic Percussion,113,0.05686965274282838
7,1987,Ensemble Timbres,147,0.07398087569199799
7,1987,Ethnic Timbres,178,0.08958228485153498
7,1987,Guitar Timbres,148,0.07448414695520886
7,1987,Organ Timbres,119,0.059889280322093605
7,1987,Piano Timbres,163,0.08203321590337191
7,1987,Pipe Timbres,146,0.07347760442878712
7,1987,Reed Timbres,166,0.08354302969300453
7,1987,String Timbres,146,0.07347760442878712
7,1987,Synth Lead,143,0.0719677906391545
7,1987,Synth Pad,178,0.08958228485153498
8,1987,Bass Timbres,147,0.07398087569199799
8,1987,Brass Timbres,172,0.08656265727226975
8,1987,Chromatic Percussion,97,0.04881731253145445
8,1987,Ensemble Timbres,129,0.06492199295420231
8,1987,Ethnic Timbres,183,0.09209864116758933
8,1987,Guitar Timbres,171,0.08605938600905888
8,1987,Organ Timbres,102,0.051333668847508805
8,1987,Piano Timbres,184,0.0926019124308002
8,1987,Pipe Timbres,136,0.06844489179667841
8,1987,Reed Timbres,187,0.09411172622043282
8,1987,String Timbres,150,0.0754906894816306
8,1987,Synth Lead,164,0.08253648716658278
8,1987,Synth Pad,165,0.08303975842979365
9,1987,Bass Timbres,147,0.07398087569199799
9,1987,Brass Timbres,197,0.09914443885254151
9,1987,Chromatic Percussion,119,0.059889280322093605
9,1987,Ensemble Timbres,139,0.06995470558631102
9,1987,Ethnic Timbres,180,0.09058882737795672
9,1987,Guitar Timbres,149,0.07498741821841973
9,1987,Organ Timbres,104,0.05234021137393055
9,1987,Piano Timbres,190,0.09562154001006543
9,1987,Pipe Timbres,139,0.06995470558631102
9,1987,Reed Timbres,150,0.0754906894816306
9,1987,String Timbres,147,0.07398087569199799
9,1987,Synth Lead,153,0.0770005032712632
9,1987,Synth Pad,173,0.08706592853548062
10,1987,Bass Timbres,163,0.08203321590337191
10,1987,Brass Timbres,159,0.08002013085052843
10,1987,Chromatic Percussion,128,0.06441872169099144
10,1987,Ensemble Timbres,156,0.07851031706089583
10,1987,Ethnic Timbres,172,0.08656265727226975
10,1987,Guitar Timbres,170,0.08555611474584801
10,1987,Organ Timbres,116,0.058379466532461
10,1987,Piano Timbres,168,0.08454957221942627
10,1987,Pipe Timbres,116,0.058379466532461
10,1987,Reed Timbres,170,0.08555611474584801
10,1987,String Timbres,164,0.08253648716658278
10,1987,Synth Lead,143,0.0719677906391545
10,1987,Synth Pad,162,0.08152994464016104
11,1987,Bass Timbres,186,0.09360845495722193
11,1987,Brass Timbres,191,0.0961248112732763
11,1987,Chromatic Percussion,117,0.058882737795671866
11,1987,Ensemble Timbres,148,0.07448414695520886
11,1987,Ethnic Timbres,193,0.09713135379969803
11,1987,Guitar Timbres,136,0.06844489179667841
11,1987,Organ Timbres,87,0.043784599899345744
11,1987,Piano Timbres,165,0.08303975842979365
11,1987,Pipe Timbres,108,0.05435329642677403
11,1987,Reed Timbres,166,0.08354302969300453
11,1987,String Timbres,159,0.08002013085052843
11,1987,Synth Lead,139,0.06995470558631102
11,1987,Synth Pad,192,0.09662808253648716
12,1987,Bass Timbres,185,0.09310518369401106
12,1987,Brass Timbres,154,0.07750377453447407
12,1987,Chromatic Percussion,110,0.055359838953195774
12,1987,Ensemble Timbres,127,0.06391545042778057
12,1987,Ethnic Timbres,147,0.07398087569199799
12,1987,Guitar Timbres,170,0.08555611474584801
12,1987,Organ Timbres,105,0.05284348263714142
12,1987,Piano Timbres,172,0.08656265727226975
12,1987,Pipe Timbres,130,0.06542526421741318
12,1987,Reed Timbres,184,0.0926019124308002
12,1987,String Timbres,150,0.0754906894816306
12,1987,Synth Lead,169,0.08505284348263714
12,1987,Synth Pad,184,0.0926019124308002
13,1987,Bass Timbres,187,0.09411172622043282
13,1987,Brass Timbres,174,0.08756919979869149
13,1987,Chromatic Percussion,112,0.05636638147961751
13,1987,Ensemble Timbres,143,0.0719677906391545
13,1987,Ethnic Timbres,141,0.07096124811273276
13,1987,Guitar Timbres,161,0.08102667337695017
13,1987,Organ Timbres,117,0.058882737795671866
13,1987,Piano Timbres,169,0.08505284348263714
13,1987,Pipe Timbres,157,0.0790135883241067
13,1987,Reed Timbres,159,0.08002013085052843
13,1987,String Timbres,160,0.0805234021137393
13,1987,Synth Lead,153,0.0770005032712632
13,1987,Synth Pad,154,0.07750377453447407
14,1987,Bass Timbres,169,0.08505284348263714
14,1987,Brass Timbres,187,0.09411172622043282
14,1987,Chromatic Percussion,111,0.05586311021640664
14,1987,Ensemble Timbres,140,0.07045797684952189
14,1987,Ethnic Timbres,183,0.09209864116758933
14,1987,Guitar Timbres,163,0.08203321590337191
14,1987,Organ Timbres,112,0.05636638147961751
14,1987,Piano Timbres,179,0.09008555611474585
14,1987,Pipe Timbres,121,0.06089582284851535
14,1987,Reed Timbres,164,0.08253648716658278
14,1987,String Timbres,166,0.08354302969300453
14,1987,Synth Lead,129,0.06492199295420231
14,1987,Synth Pad,163,0.08203321590337191
15,1987,Bass Timbres,194,0.0976346250629089
15,1987,Brass Timbres,182,0.09159536990437846
15,1987,Chromatic Percussion,86,0.043281328636134875
15,1987,Ensemble Timbres,156,0.07851031706089583
15,1987,Ethnic Timbres,189,0.09511826874685456
15,1987,Guitar Timbres,145,0.07297433316557625
15,1987,Organ Timbres,87,0.043784599899345744
15,1987,Piano Timbres,160,0.0805234021137393
15,1987,Pipe Timbres,124,0.06240563663814796
15,1987,Reed Timbres,171,0.08605938600905888
15,1987,String Timbres,150,0.0754906894816306
15,1987,Synth Lead,156,0.07851031706089583
15,1987,Synth Pad,187,0.09411172622043282
16,1987,Bass Timbres,195,0.09813789632611977
16,1987,Brass Timbres,177,0.08907901358832411
16,1987,Chromatic Percussion,86,0.043281328636134875
16,1987,Ensemble Timbres,164,0.08253648716658278
16,1987,Ethnic Timbres,176,0.08857574232511323
16,1987,Guitar Timbres,159,0.08002013085052843
16,1987,Organ Timbres,90,0.04529441368897836
16,1987,Piano Timbres,174,0.08756919979869149
16,1987,Pipe Timbres,130,0.06542526421741318
16,1987,Reed Timbres,181,0.09109209864116759
16,1987,String Timbres,139,0.06995470558631102
16,1987,Synth Lead,144,0.07247106190236538
16,1987,Synth Pad,172,0.08656265727226975
17,1987,Bass Timbres,164,0.08253648716658278
17,1987,Brass Timbres,163,0.08203321590337191
17,1987,Chromatic Percussion,127,0.06391545042778057
17,1987,Ensemble Timbres,160,0.0805234021137393
17,1987,Ethnic Timbres,183,0.09209864116758933
17,1987,Guitar Timbres,122,0.06139909411172622
17,1987,Organ Timbres,107,0.05385002516356316
17,1987,Piano Timbres,161,0.08102667337695017
17,1987,Pipe Timbres,129,0.06492199295420231
17,1987,Reed Timbres,193,0.09713135379969803
17,1987,String Timbres,145,0.07297433316557625
17,1987,Synth Lead,160,0.0805234021137393
17,1987,Synth Pad,173,0.08706592853548062
18,1987,Bass Timbres,203,0.10216406643180674
18,1987,Brass Timbres,174,0.08756919979869149
18,1987,Chromatic Percussion,98,0.04932058379466532
