fold,fold_count,midi_program_name,count,proportion
1,1988,Acoustic Bass,16,0.008048289738430584
1,1988,Acoustic Grand Piano,20,0.01006036217303823
1,1988,Acoustic Nylon Guitar,22,0.011066398390342054
1,1988,Acoustic Steel Guitar,16,0.008048289738430584
1,1988,Alto Sax,17,0.008551307847082495
1,1988,Bagpipe,17,0.008551307847082495
1,1988,Banjo,15,0.007545271629778673
1,1988,Baritone Sax,25,0.012575452716297788
1,1988,Bass Lead,27,0.01358148893360161
1,1988,Bassoon,18,0.009054325955734407
1,1988,Bottle Blow,22,0.011066398390342054
1,1988,Bowed Pad,28,0.014084507042253523
1,1988,Brass Section,15,0.007545271629778673
1,1988,Bright Acoustic Piano,24,0.012072434607645876
1,1988,Calliope Lead,22,0.011066398390342054
1,1988,Cello,36,0.018108651911468814
1,1988,Charang Lead,15,0.007545271629778673
1,1988,Chiff Lead,25,0.012575452716297788
1,1988,"Choir ""Aah""",22,0.011066398390342054
1,1988,"Choir ""Ooh""",20,0.01006036217303823
1,1988,Choir Pad,20,0.01006036217303823
1,1988,Chorused Piano,23,0.011569416498993965
1,1988,Church Organ,27,0.01358148893360161
1,1988,Clarinet,22,0.011066398390342054
1,1988,Clavinet,24,0.012072434607645876
1,1988,Contrabass,23,0.011569416498993965
1,1988,Distortion Guitar,21,0.010563380281690142
1,1988,Dulcimer,16,0.008048289738430584
1,1988,Electric Clean Guitar,23,0.011569416498993965
1,1988,Electric Grand Piano,15,0.007545271629778673
1,1988,Electric Jazz Guitar,26,0.013078470824949699
1,1988,Electric Muted Guitar,21,0.010563380281690142
1,1988,English Horn,24,0.012072434607645876
1,1988,Fiddle,27,0.01358148893360161
1,1988,Fingered Electric Bass,17,0.008551307847082495
1,1988,Flute,19,0.009557344064386318
1,1988,French Horn,26,0.013078470824949699
1,1988,Fretless Bass,24,0.012072434607645876
1,1988,Halo Pad,21,0.010563380281690142
1,1988,Hammond Organ,29,0.014587525150905434
1,1988,Harpsichord,20,0.01006036217303823
1,1988,Honky-tonk Piano,20,0.01006036217303823
1,1988,Kalimba,24,0.012072434607645876
1,1988,Koto,23,0.011569416498993965
1,1988,Marimba,17,0.008551307847082495
1,1988,Metallic Pad,17,0.008551307847082495
1,1988,Music Box,19,0.009557344064386318
1,1988,Muted Trumpet,21,0.010563380281690142
1,1988,New Age Pad,22,0.011066398390342054
1,1988,Oboe,22,0.011066398390342054
1,1988,Ocarina,21,0.010563380281690142
1,1988,Orchestral Harp,24,0.012072434607645876
1,1988,Overdriven Guitar,25,0.012575452716297788
1,1988,Pan Flute,25,0.012575452716297788
1,1988,Percussive Organ,15,0.007545271629778673
1,1988,Piccolo,26,0.013078470824949699
1,1988,Pizzicato Strings,21,0.010563380281690142
1,1988,Plucked Electric Bass,11,0.005533199195171027
1,1988,Polysynth Pad,19,0.009557344064386318
1,1988,Recorder,12,0.006036217303822938
1,1988,Reed Organ,23,0.011569416498993965
1,1988,Rhodes Piano,20,0.01006036217303823
1,1988,Rock Organ,16,0.008048289738430584
1,1988,Sawtooth Wave Lead,20,0.01006036217303823
1,1988,Shamisen,21,0.010563380281690142
1,1988,Shanai,17,0.008551307847082495
1,1988,Sitar,21,0.010563380281690142
1,1988,Slap Bass 1,19,0.009557344064386318
1,1988,Slap Bass 2,25,0.012575452716297788
1,1988,Soprano Sax,30,0.015090543259557346
1,1988,Square Wave Lead,23,0.011569416498993965
1,1988,String Ensemble 1,31,0.015593561368209257
1,1988,String Ensemble 2,18,0.009054325955734407
1,1988,Sweep Pad,28,0.014084507042253523
1,1988,Synth Bass 1,18,0.009054325955734407
1,1988,Synth Bass 2,24,0.012072434607645876
1,1988,Synth Brass 1,16,0.008048289738430584
1,1988,Synth Brass 2,19,0.009557344064386318
1,1988,Synth Strings 1,37,0.018611670020120725
1,1988,Synth Strings 2,17,0.008551307847082495
1,1988,Synth Voice,21,0.010563380281690142
1,1988,Tenor Sax,29,0.014587525150905434
1,1988,Tremolo Strings,22,0.011066398390342054
1,1988,Trombone,23,0.011569416498993965
1,1988,Trumpet,20,0.01006036217303823
1,1988,Tuba,19,0.009557344064386318
1,1988,Vibraphone,25,0.012575452716297788
1,1988,Viola,18,0.009054325955734407
1,1988,Violin,29,0.014587525150905434
1,1988,Voice Lead,19,0.009557344064386318
1,1988,Warm Pad,24,0.012072434607645876
1,1988,Xylophone,22,0.011066398390342054
2,1988,Acoustic Bass,22,0.011066398390342054
2,1988,Acoustic Grand Piano,19,0.009557344064386318
2,1988,Acoustic Nylon Guitar,25,0.012575452716297788
2,1988,Acoustic Steel Guitar,12,0.006036217303822938
2,1988,Alto Sax,18,0.009054325955734407
2,1988,Bagpipe,17,0.008551307847082495
2,1988,Banjo,23,0.011569416498993965
2,1988,Baritone Sax,25,0.012575452716297788
2,1988,Bass Lead,23,0.011569416498993965
2,1988,Bassoon,32,0.01609657947686117
2,1988,Bottle Blow,24,0.012072434607645876
2,1988,Bowed Pad,20,0.01006036217303823
2,1988,Brass Section,21,0.010563380281690142
2,1988,Bright Acoustic Piano,33,0.01659959758551308
2,1988,Calliope Lead,18,0.009054325955734407
2,1988,Cello,18,0.009054325955734407
2,1988,Charang Lead,20,0.01006036217303823
2,1988,Chiff Lead,21,0.010563380281690142
2,1988,"Choir ""Aah""",17,0.008551307847082495
2,1988,"Choir ""Ooh""",26,0.013078470824949699
2,1988,Choir Pad,18,0.009054325955734407
2,1988,Chorused Piano,21,0.010563380281690142
2,1988,Church Organ,18,0.009054325955734407
2,1988,Clarinet,21,0.010563380281690142
2,1988,Clavinet,21,0.010563380281690142
2,1988,Contrabass,19,0.009557344064386318
2,1988,Distortion Guitar,21,0.010563380281690142
2,1988,Dulcimer,16,0.008048289738430584
2,1988,Electric Clean Guitar,25,0.012575452716297788
2,1988,Electric Grand Piano,24,0.012072434607645876
2,1988,Electric Jazz Guitar,20,0.01006036217303823
2,1988,Electric Muted Guitar,24,0.012072434607645876
2,1988,English Horn,18,0.009054325955734407
2,1988,Fiddle,22,0.011066398390342054
2,1988,Fingered Electric Bass,20,0.01006036217303823
2,1988,Flute,24,0.012072434607645876
2,1988,French Horn,24,0.012072434607645876
2,1988,Fretless Bass,23,0.011569416498993965
2,1988,Halo Pad,16,0.008048289738430584
2,1988,Hammond Organ,23,0.011569416498993965
2,1988,Harpsichord,18,0.009054325955734407
2,1988,Honky-tonk Piano,28,0.014084507042253523
2,1988,Kalimba,21,0.010563380281690142
2,1988,Koto,23,0.011569416498993965
2,1988,Marimba,24,0.012072434607645876
2,1988,Metallic Pad,21,0.010563380281690142
2,1988,Music Box,28,0.014084507042253523
2,1988,Muted Trumpet,21,0.010563380281690142
2,1988,New Age Pad,17,0.008551307847082495
2,1988,Oboe,19,0.009557344064386318
2,1988,Ocarina,25,0.012575452716297788
2,1988,Orchestral Harp,14,0.007042253521126762
2,1988,Overdriven Guitar,9,0.004527162977867203
2,1988,Pan Flute,24,0.012072434607645876
2,1988,Percussive Organ,25,0.012575452716297788
2,1988,Piccolo,26,0.013078470824949699
2,1988,Pizzicato Strings,21,0.010563380281690142
2,1988,Plucked Electric Bass,19,0.009557344064386318
2,1988,Polysynth Pad,19,0.009557344064386318
2,1988,Recorder,24,0.012072434607645876
2,1988,Reed Organ,29,0.014587525150905434
2,1988,Rhodes Piano,23,0.011569416498993965
2,1988,Rock Organ,22,0.011066398390342054
2,1988,Sawtooth Wave Lead,28,0.014084507042253523
2,1988,Shamisen,23,0.011569416498993965
2,1988,Shanai,31,0.015593561368209257
2,1988,Sitar,21,0.010563380281690142
2,1988,Slap Bass 1,15,0.007545271629778673
2,1988,Slap Bass 2,21,0.010563380281690142
2,1988,Soprano Sax,25,0.012575452716297788
2,1988,Square Wave Lead,18,0.009054325955734407
2,1988,String Ensemble 1,19,0.009557344064386318
2,1988,String Ensemble 2,20,0.01006036217303823
2,1988,Sweep Pad,26,0.013078470824949699
2,1988,Synth Bass 1,20,0.01006036217303823
2,1988,Synth Bass 2,18,0.009054325955734407
2,1988,Synth Brass 1,24,0.012072434607645876
2,1988,Synth Brass 2,13,0.006539235412474849
2,1988,Synth Strings 1,26,0.013078470824949699
2,1988,Synth Strings 2,18,0.009054325955734407
2,1988,Synth Voice,23,0.011569416498993965
2,1988,Tenor Sax,29,0.014587525150905434
2,1988,Tremolo Strings,27,0.01358148893360161
2,1988,Trombone,20,0.01006036217303823
2,1988,Trumpet,20,0.01006036217303823
2,1988,Tuba,22,0.011066398390342054
2,1988,Vibraphone,17,0.008551307847082495
2,1988,Viola,22,0.011066398390342054
2,1988,Violin,16,0.008048289738430584
2,1988,Voice Lead,29,0.014587525150905434
2,1988,Warm Pad,20,0.01006036217303823
2,1988,Xylophone,25,0.012575452716297788
3,1988,Acoustic Bass,22,0.011066398390342054
3,1988,Acoustic Grand Piano,20,0.01006036217303823
3,1988,Acoustic Nylon Guitar,20,0.01006036217303823
3,1988,Acoustic Steel Guitar,20,0.01006036217303823
3,1988,Alto Sax,17,0.008551307847082495
3,1988,Bagpipe,22,0.011066398390342054
3,1988,Banjo,23,0.011569416498993965
3,1988,Baritone Sax,27,0.01358148893360161
3,1988,Bass Lead,26,0.013078470824949699
3,1988,Bassoon,29,0.014587525150905434
3,1988,Bottle Blow,24,0.012072434607645876
3,1988,Bowed Pad,23,0.011569416498993965
3,1988,Brass Section,27,0.01358148893360161
3,1988,Bright Acoustic Piano,16,0.008048289738430584
3,1988,Calliope Lead,23,0.011569416498993965
3,1988,Cello,18,0.009054325955734407
3,1988,Charang Lead,27,0.01358148893360161
3,1988,Chiff Lead,24,0.012072434607645876
