fold,fold_count,root_note_pitch_class,count,proportion
1,1988,0,174,0.0875251509054326
1,1988,1,170,0.08551307847082495
1,1988,2,173,0.08702213279678069
1,1988,3,167,0.08400402414486922
1,1988,4,149,0.07494969818913481
1,1988,5,165,0.0829979879275654
1,1988,6,162,0.08148893360160966
1,1988,7,170,0.08551307847082495
1,1988,8,152,0.07645875251509054
1,1988,9,173,0.08702213279678069
1,1988,10,183,0.0920523138832998
1,1988,11,150,0.07545271629778673
2,1988,0,182,0.09154929577464789
2,1988,1,177,0.08903420523138834
2,1988,2,159,0.07997987927565393
2,1988,3,169,0.08501006036217304
2,1988,4,179,0.09004024144869216
2,1988,5,145,0.07293762575452717
2,1988,6,164,0.0824949698189135
2,1988,7,180,0.09054325955734407
2,1988,8,152,0.07645875251509054
2,1988,9,154,0.07746478873239437
2,1988,10,159,0.07997987927565393
2,1988,11,168,0.08450704225352114
3,1988,0,158,0.07947686116700202
3,1988,1,160,0.08048289738430583
3,1988,2,154,0.07746478873239437
3,1988,3,179,0.09004024144869216
3,1988,4,159,0.07997987927565393
3,1988,5,157,0.0789738430583501
3,1988,6,175,0.08802816901408451
3,1988,7,177,0.08903420523138834
3,1988,8,155,0.07796780684104629
3,1988,9,164,0.0824949698189135
3,1988,10,189,0.09507042253521128
3,1988,11,161,0.08098591549295775
4,1988,0,183,0.0920523138832998
4,1988,1,145,0.07293762575452717
4,1988,2,155,0.07796780684104629
4,1988,3,165,0.0829979879275654
4,1988,4,158,0.07947686116700202
4,1988,5,171,0.08601609657947687
4,1988,6,181,0.09104627766599599
4,1988,7,161,0.08098591549295775
4,1988,8,185,0.09305835010060363
4,1988,9,151,0.07595573440643864
4,1988,10,169,0.08501006036217304
4,1988,11,164,0.0824949698189135
5,1987,0,192,0.09662808253648716
5,1987,1,164,0.08253648716658278
5,1987,2,153,0.0770005032712632
5,1987,3,124,0.06240563663814796
5,1987,4,164,0.08253648716658278
5,1987,5,161,0.08102667337695017
5,1987,6,168,0.08454957221942627
5,1987,7,189,0.09511826874685456
5,1987,8,182,0.09159536990437846
5,1987,9,162,0.08152994464016104
5,1987,10,164,0.08253648716658278
5,1987,11,164,0.08253648716658278
6,1987,0,164,0.08253648716658278
6,1987,1,172,0.08656265727226975
6,1987,2,152,0.07649723200805233
6,1987,3,173,0.08706592853548062
6,1987,4,170,0.08555611474584801
6,1987,5,166,0.08354302969300453
6,1987,6,171,0.08605938600905888
6,1987,7,144,0.07247106190236538
6,1987,8,178,0.08958228485153498
6,1987,9,177,0.08907901358832411
6,1987,10,155,0.07800704579768496
6,1987,11,165,0.08303975842979365
7,1987,0,160,0.0805234021137393
7,1987,1,171,0.08605938600905888
7,1987,2,155,0.07800704579768496
7,1987,3,156,0.07851031706089583
7,1987,4,160,0.0805234021137393
7,1987,5,180,0.09058882737795672
7,1987,6,152,0.07649723200805233
7,1987,7,162,0.08152994464016104
7,1987,8,157,0.0790135883241067
7,1987,9,182,0.09159536990437846
7,1987,10,165,0.08303975842979365
7,1987,11,187,0.09411172622043282
8,1987,0,152,0.07649723200805233
8,1987,1,178,0.08958228485153498
8,1987,2,171,0.08605938600905888
8,1987,3,178,0.08958228485153498
8,1987,4,162,0.08152994464016104
8,1987,5,163,0.08203321590337191
8,1987,6,144,0.07247106190236538
8,1987,7,182,0.09159536990437846
8,1987,8,160,0.0805234021137393
8,1987,9,151,0.07599396074484147
8,1987,10,173,0.08706592853548062
8,1987,11,173,0.08706592853548062
9,1987,0,162,0.08152994464016104
9,1987,1,163,0.08203321590337191
9,1987,2,162,0.08152994464016104
9,1987,3,172,0.08656265727226975
9,1987,4,157,0.0790135883241067
9,1987,5,180,0.09058882737795672
9,1987,6,179,0.09008555611474585
9,1987,7,155,0.07800704579768496
9,1987,8,173,0.08706592853548062
9,1987,9,179,0.09008555611474585
9,1987,10,129,0.06492199295420231
9,1987,11,176,0.08857574232511323
10,1987,0,171,0.08605938600905888
10,1987,1,165,0.08303975842979365
10,1987,2,173,0.08706592853548062
10,1987,3,164,0.08253648716658278
10,1987,4,149,0.07498741821841973
10,1987,5,169,0.08505284348263714
10,1987,6,162,0.08152994464016104
10,1987,7,148,0.07448414695520886
10,1987,8,162,0.08152994464016104
10,1987,9,177,0.08907901358832411
10,1987,10,166,0.08354302969300453
10,1987,11,181,0.09109209864116759
11,1987,0,150,0.0754906894816306
11,1987,1,163,0.08203321590337191
11,1987,2,170,0.08555611474584801
11,1987,3,165,0.08303975842979365
11,1987,4,175,0.08807247106190236
11,1987,5,158,0.07951685958731756
11,1987,6,163,0.08203321590337191
11,1987,7,171,0.08605938600905888
11,1987,8,159,0.08002013085052843
11,1987,9,163,0.08203321590337191
11,1987,10,182,0.09159536990437846
11,1987,11,168,0.08454957221942627
12,1987,0,170,0.08555611474584801
12,1987,1,172,0.08656265727226975
12,1987,2,183,0.09209864116758933
12,1987,3,134,0.06743834927025667
12,1987,4,164,0.08253648716658278
12,1987,5,161,0.08102667337695017
12,1987,6,169,0.08505284348263714
12,1987,7,180,0.09058882737795672
12,1987,8,168,0.08454957221942627
12,1987,9,172,0.08656265727226975
12,1987,10,158,0.07951685958731756
12,1987,11,156,0.07851031706089583
13,1987,0,159,0.08002013085052843
13,1987,1,178,0.08958228485153498
13,1987,2,178,0.08958228485153498
13,1987,3,187,0.09411172622043282
13,1987,4,171,0.08605938600905888
13,1987,5,183,0.09209864116758933
13,1987,6,142,0.07146451937594363
13,1987,7,141,0.07096124811273276
13,1987,8,141,0.07096124811273276
13,1987,9,164,0.08253648716658278
13,1987,10,171,0.08605938600905888
13,1987,11,172,0.08656265727226975
14,1987,0,172,0.08656265727226975
14,1987,1,168,0.08454957221942627
14,1987,2,167,0.0840463009562154
14,1987,3,174,0.08756919979869149
14,1987,4,159,0.08002013085052843
14,1987,5,138,0.06945143432310015
14,1987,6,155,0.07800704579768496
14,1987,7,165,0.08303975842979365
14,1987,8,187,0.09411172622043282
14,1987,9,153,0.0770005032712632
14,1987,10,167,0.0840463009562154
14,1987,11,182,0.09159536990437846
15,1987,0,171,0.08605938600905888
15,1987,1,161,0.08102667337695017
15,1987,2,168,0.08454957221942627
15,1987,3,153,0.0770005032712632
15,1987,4,158,0.07951685958731756
15,1987,5,180,0.09058882737795672
15,1987,6,162,0.08152994464016104
15,1987,7,172,0.08656265727226975
15,1987,8,157,0.0790135883241067
15,1987,9,183,0.09209864116758933
15,1987,10,169,0.08505284348263714
15,1987,11,153,0.0770005032712632
16,1987,0,147,0.07398087569199799
16,1987,1,178,0.08958228485153498
16,1987,2,158,0.07951685958731756
16,1987,3,167,0.0840463009562154
16,1987,4,178,0.08958228485153498
16,1987,5,157,0.0790135883241067
16,1987,6,150,0.0754906894816306
16,1987,7,177,0.08907901358832411
16,1987,8,192,0.09662808253648716
16,1987,9,157,0.0790135883241067
16,1987,10,172,0.08656265727226975
16,1987,11,154,0.07750377453447407
17,1987,0,154,0.07750377453447407
17,1987,1,165,0.08303975842979365
17,1987,2,160,0.0805234021137393
17,1987,3,174,0.08756919979869149
17,1987,4,175,0.08807247106190236
17,1987,5,189,0.09511826874685456
17,1987,6,170,0.08555611474584801
17,1987,7,148,0.07448414695520886
