fold,fold_count,midi_category,count,proportion
1,497,Bass Timbres,47,0.09456740442655936
1,497,Brass Timbres,43,0.08651911468812878
1,497,Chromatic Percussion,26,0.052313883299798795
1,497,Ensemble Timbres,43,0.08651911468812878
1,497,Ethnic Timbres,37,0.0744466800804829
1,497,Guitar Timbres,39,0.07847082494969819
1,497,Organ Timbres,30,0.06036217303822938
1,497,Piano Timbres,38,0.07645875251509054
1,497,Pipe Timbres,34,0.06841046277665996
1,497,Reed Timbres,42,0.08450704225352114
1,497,String Timbres,45,0.09054325955734407
1,497,Synth Lead,27,0.05432595573440644
1,497,Synth Pad,46,0.09255533199195172
2,497,Bass Timbres,40,0.08048289738430583
2,497,Brass Timbres,44,0.08853118712273643
2,497,Chromatic Percussion,28,0.05633802816901409
2,497,Ensemble Timbres,28,0.05633802816901409
2,497,Ethnic Timbres,45,0.09054325955734407
2,497,Guitar Timbres,49,0.09859154929577466
2,497,Organ Timbres,23,0.04627766599597586
2,497,Piano Timbres,42,0.08450704225352114
2,497,Pipe Timbres,24,0.048289738430583505
2,497,Reed Timbres,50,0.1006036217303823
2,497,String Timbres,34,0.06841046277665996
2,497,Synth Lead,39,0.07847082494969819
2,497,Synth Pad,51,0.10261569416498995
3,497,Bass Timbres,51,0.10261569416498995
3,497,Brass Timbres,48,0.09657947686116701
3,497,Chromatic Percussion,28,0.05633802816901409
3,497,Ensemble Timbres,38,0.07645875251509054
3,497,Ethnic Timbres,32,0.06438631790744467
3,497,Guitar Timbres,32,0.06438631790744467
3,497,Organ Timbres,24,0.048289738430583505
3,497,Piano Timbres,49,0.09859154929577466
3,497,Pipe Timbres,32,0.06438631790744467
3,497,Reed Timbres,46,0.09255533199195172
3,497,String Timbres,42,0.08450704225352114
3,497,Synth Lead,34,0.06841046277665996
3,497,Synth Pad,41,0.0824949698189135
4,497,Bass Timbres,45,0.09054325955734407
4,497,Brass Timbres,49,0.09859154929577466
4,497,Chromatic Percussion,24,0.048289738430583505
4,497,Ensemble Timbres,42,0.08450704225352114
4,497,Ethnic Timbres,40,0.08048289738430583
4,497,Guitar Timbres,34,0.06841046277665996
4,497,Organ Timbres,22,0.044265593561368215
4,497,Piano Timbres,35,0.07042253521126761
4,497,Pipe Timbres,34,0.06841046277665996
4,497,Reed Timbres,47,0.09456740442655936
4,497,String Timbres,35,0.07042253521126761
4,497,Synth Lead,43,0.08651911468812878
4,497,Synth Pad,47,0.09456740442655936
5,497,Bass Timbres,37,0.0744466800804829
5,497,Brass Timbres,40,0.08048289738430583
5,497,Chromatic Percussion,25,0.05030181086519115
5,497,Ensemble Timbres,41,0.0824949698189135
5,497,Ethnic Timbres,41,0.0824949698189135
5,497,Guitar Timbres,40,0.08048289738430583
5,497,Organ Timbres,27,0.05432595573440644
5,497,Piano Timbres,44,0.08853118712273643
5,497,Pipe Timbres,33,0.06639839034205232
5,497,Reed Timbres,39,0.07847082494969819
5,497,String Timbres,44,0.08853118712273643
5,497,Synth Lead,34,0.06841046277665996
5,497,Synth Pad,52,0.10462776659959759
6,497,Bass Timbres,29,0.05835010060362174
6,497,Brass Timbres,39,0.07847082494969819
6,497,Chromatic Percussion,29,0.05835010060362174
6,497,Ensemble Timbres,44,0.08853118712273643
6,497,Ethnic Timbres,35,0.07042253521126761
6,497,Guitar Timbres,38,0.07645875251509054
6,497,Organ Timbres,32,0.06438631790744467
6,497,Piano Timbres,39,0.07847082494969819
6,497,Pipe Timbres,48,0.09657947686116701
6,497,Reed Timbres,50,0.1006036217303823
6,497,String Timbres,37,0.0744466800804829
6,497,Synth Lead,36,0.07243460764587525
6,497,Synth Pad,41,0.0824949698189135
7,497,Bass Timbres,41,0.0824949698189135
7,497,Brass Timbres,42,0.08450704225352114
7,497,Chromatic Percussion,21,0.04225352112676057
7,497,Ensemble Timbres,44,0.08853118712273643
7,497,Ethnic Timbres,55,0.11066398390342053
7,497,Guitar Timbres,40,0.08048289738430583
7,497,Organ Timbres,24,0.048289738430583505
7,497,Piano Timbres,41,0.0824949698189135
7,497,Pipe Timbres,43,0.08651911468812878
7,497,Reed Timbres,42,0.08450704225352114
7,497,String Timbres,34,0.06841046277665996
7,497,Synth Lead,35,0.07042253521126761
7,497,Synth Pad,35,0.07042253521126761
8,497,Bass Timbres,51,0.10261569416498995
8,497,Brass Timbres,45,0.09054325955734407
8,497,Chromatic Percussion,23,0.04627766599597586
8,497,Ensemble Timbres,36,0.07243460764587525
8,497,Ethnic Timbres,60,0.12072434607645877
8,497,Guitar Timbres,34,0.06841046277665996
8,497,Organ Timbres,34,0.06841046277665996
8,497,Piano Timbres,44,0.08853118712273643
8,497,Pipe Timbres,30,0.06036217303822938
8,497,Reed Timbres,40,0.08048289738430583
8,497,String Timbres,25,0.05030181086519115
8,497,Synth Lead,30,0.06036217303822938
8,497,Synth Pad,45,0.09054325955734407
9,497,Bass Timbres,36,0.07243460764587525
9,497,Brass Timbres,47,0.09456740442655936
9,497,Chromatic Percussion,35,0.07042253521126761
9,497,Ensemble Timbres,31,0.06237424547283703
9,497,Ethnic Timbres,39,0.07847082494969819
9,497,Guitar Timbres,44,0.08853118712273643
9,497,Organ Timbres,23,0.04627766599597586
9,497,Piano Timbres,48,0.09657947686116701
9,497,Pipe Timbres,29,0.05835010060362174
9,497,Reed Timbres,44,0.08853118712273643
9,497,String Timbres,27,0.05432595573440644
9,497,Synth Lead,45,0.09054325955734407
9,497,Synth Pad,49,0.09859154929577466
10,497,Bass Timbres,47,0.09456740442655936
10,497,Brass Timbres,39,0.07847082494969819
10,497,Chromatic Percussion,32,0.06438631790744467
10,497,Ensemble Timbres,39,0.07847082494969819
10,497,Ethnic Timbres,41,0.0824949698189135
10,497,Guitar Timbres,35,0.07042253521126761
10,497,Organ Timbres,28,0.05633802816901409
10,497,Piano Timbres,46,0.09255533199195172
10,497,Pipe Timbres,28,0.05633802816901409
10,497,Reed Timbres,39,0.07847082494969819
10,497,String Timbres,36,0.07243460764587525
10,497,Synth Lead,34,0.06841046277665996
10,497,Synth Pad,53,0.10663983903420524
11,497,Bass Timbres,42,0.08450704225352114
11,497,Brass Timbres,52,0.10462776659959759
11,497,Chromatic Percussion,21,0.04225352112676057
11,497,Ensemble Timbres,44,0.08853118712273643
11,497,Ethnic Timbres,37,0.0744466800804829
11,497,Guitar Timbres,43,0.08651911468812878
11,497,Organ Timbres,36,0.07243460764587525
11,497,Piano Timbres,39,0.07847082494969819
11,497,Pipe Timbres,30,0.06036217303822938
11,497,Reed Timbres,40,0.08048289738430583
11,497,String Timbres,37,0.0744466800804829
11,497,Synth Lead,39,0.07847082494969819
11,497,Synth Pad,37,0.0744466800804829
12,497,Bass Timbres,44,0.08853118712273643
12,497,Brass Timbres,46,0.09255533199195172
12,497,Chromatic Percussion,21,0.04225352112676057
12,497,Ensemble Timbres,35,0.07042253521126761
12,497,Ethnic Timbres,41,0.0824949698189135
12,497,Guitar Timbres,39,0.07847082494969819
12,497,Organ Timbres,23,0.04627766599597586
12,497,Piano Timbres,53,0.10663983903420524
12,497,Pipe Timbres,32,0.06438631790744467
12,497,Reed Timbres,55,0.11066398390342053
12,497,String Timbres,44,0.08853118712273643
12,497,Synth Lead,30,0.06036217303822938
12,497,Synth Pad,34,0.06841046277665996
13,497,Bass Timbres,43,0.08651911468812878
13,497,Brass Timbres,47,0.09456740442655936
13,497,Chromatic Percussion,36,0.07243460764587525
13,497,Ensemble Timbres,34,0.06841046277665996
13,497,Ethnic Timbres,45,0.09054325955734407
13,497,Guitar Timbres,41,0.0824949698189135
13,497,Organ Timbres,33,0.06639839034205232
13,497,Piano Timbres,45,0.09054325955734407
13,497,Pipe Timbres,31,0.06237424547283703
13,497,Reed Timbres,38,0.07645875251509054
13,497,String Timbres,24,0.048289738430583505
13,497,Synth Lead,42,0.08450704225352114
13,497,Synth Pad,38,0.07645875251509054
14,497,Bass Timbres,39,0.07847082494969819
14,497,Brass Timbres,33,0.06639839034205232
14,497,Chromatic Percussion,26,0.052313883299798795
14,497,Ensemble Timbres,41,0.0824949698189135
14,497,Ethnic Timbres,43,0.08651911468812878
14,497,Guitar Timbres,41,0.0824949698189135
14,497,Organ Timbres,33,0.06639839034205232
14,497,Piano Timbres,40,0.08048289738430583
14,497,Pipe Timbres,31,0.06237424547283703
14,497,Reed Timbres,45,0.09054325955734407
14,497,String Timbres,42,0.08450704225352114
14,497,Synth Lead,40,0.08048289738430583
14,497,Synth Pad,43,0.08651911468812878
15,497,Bass Timbres,47,0.09456740442655936
15,497,Brass Timbres,39,0.07847082494969819
15,497,Chromatic Percussion,27,0.05432595573440644
15,497,Ensemble Timbres,37,0.0744466800804829
15,497,Ethnic Timbres,44,0.08853118712273643
15,497,Guitar Timbres,42,0.08450704225352114
15,497,Organ Timbres,25,0.05030181086519115
15,497,Piano Timbres,41,0.0824949698189135
15,497,Pipe Timbres,39,0.07847082494969819
15,497,Reed Timbres,44,0.08853118712273643
15,497,String Timbres,34,0.06841046277665996
15,497,Synth Lead,39,0.07847082494969819
15,497,Synth Pad,39,0.07847082494969819
16,497,Bass Timbres,43,0.08651911468812878
16,497,Brass Timbres,47,0.09456740442655936
16,497,Chromatic Percussion,38,0.07645875251509054
16,497,Ensemble Timbres,36,0.07243460764587525
16,497,Ethnic Timbres,39,0.07847082494969819
16,497,Guitar Timbres,35,0.07042253521126761
16,497,Organ Timbres,23,0.04627766599597586
16,497,Piano Timbres,47,0.09456740442655936
16,497,Pipe Timbres,33,0.06639839034205232
16,497,Reed Timbres,38,0.07645875251509054
16,497,String Timbres,44,0.08853118712273643
16,497,Synth Lead,32,0.06438631790744467
16,497,Synth Pad,42,0.08450704225352114
17,496,Bass Timbres,38,0.07661290322580645
17,496,Brass Timbres,40,0.08064516129032258
17,496,Chromatic Percussion,21,0.04233870967741935
17,496,Ensemble Timbres,41,0.08266129032258064
17,496,Ethnic Timbres,48,0.0967741935483871
17,496,Guitar Timbres,32,0.06451612903225806
17,496,Organ Timbres,28,0.056451612903225805
17,496,Piano Timbres,44,0.08870967741935484
17,496,Pipe Timbres,32,0.06451612903225806
17,496,Reed Timbres,35,0.07056451612903225
17,496,String Timbres,50,0.10080645161290322
17,496,Synth Lead,39,0.07862903225806452
17,496,Synth Pad,48,0.0967741935483871
18,496,Bass Timbres,42,0.0846774193548387
18,496,Brass Timbres,42,0.0846774193548387
18,496,Chromatic Percussion,25,0.05040322580645161
18,496,Ensemble Timbres,41,0.08266129032258064
18,496,Ethnic Timbres,46,0.09274193548387097
18,496,Guitar Timbres,28,0.056451612903225805
18,496,Organ Timbres,22,0.04435483870967742
18,496,Piano Timbres,38,0.07661290322580645
18,496,Pipe Timbres,24,0.04838709677419355
18,496,Reed Timbres,50,0.10080645161290322
18,496,String Timbres,46,0.09274193548387097
18,496,Synth Lead,54,0.10887096774193548
18,496,Synth Pad,38,0.07661290322580645
19,496,Bass Timbres,50,0.10080645161290322
19,496,Brass Timbres,41,0.08266129032258064
19,496,Chromatic Percussion,29,0.05846774193548387
19,496,Ensemble Timbres,35,0.07056451612903225
19,496,Ethnic Timbres,42,0.0846774193548387
19,496,Guitar Timbres,40,0.08064516129032258
19,496,Organ Timbres,22,0.04435483870967742
19,496,Piano Timbres,46,0.09274193548387097
19,496,Pipe Timbres,36,0.07258064516129031
19,496,Reed Timbres,31,0.0625
19,496,String Timbres,43,0.08669354838709677
19,496,Synth Lead,40,0.08064516129032258
19,496,Synth Pad,41,0.08266129032258064
20,496,Bass Timbres,52,0.10483870967741934
20,496,Brass Timbres,41,0.08266129032258064
20,496,Chromatic Percussion,25,0.05040322580645161
20,496,Ensemble Timbres,26,0.05241935483870967
20,496,Ethnic Timbres,54,0.10887096774193548
20,496,Guitar Timbres,30,0.06048387096774194
20,496,Organ Timbres,28,0.056451612903225805
20,496,Piano Timbres,45,0.0907258064516129
20,496,Pipe Timbres,25,0.05040322580645161
20,496,Reed Timbres,49,0.09879032258064516
20,496,String Timbres,33,0.06653225806451613
20,496,Synth Lead,44,0.08870967741935484
20,496,Synth Pad,44,0.08870967741935484
