set_type,set_type_count,midi_category,count,proportion
test,1488,Bass Timbres,144,0.09677419354838711
test,1488,Brass Timbres,124,0.08333333333333334
test,1488,Chromatic Percussion,79,0.05309139784946237
test,1488,Ensemble Timbres,102,0.0685483870967742
test,1488,Ethnic Timbres,142,0.09543010752688173
test,1488,Guitar Timbres,98,0.06586021505376345
test,1488,Organ Timbres,72,0.048387096774193554
test,1488,Piano Timbres,129,0.08669354838709678
test,1488,Pipe Timbres,85,0.0571236559139785
test,1488,Reed Timbres,130,0.08736559139784947
test,1488,String Timbres,122,0.08198924731182797
test,1488,Synth Lead,138,0.09274193548387097
test,1488,Synth Pad,123,0.08266129032258066
train,6958,Bass Timbres,592,0.08508192009198046
train,6958,Brass Timbres,614,0.08824374820350675
train,6958,Chromatic Percussion,375,0.05389479735556194
train,6958,Ensemble Timbres,540,0.07760850819200919
train,6958,Ethnic Timbres,591,0.08493820063236562
train,6958,Guitar Timbres,549,0.07890198332854267
train,6958,Organ Timbres,392,0.05633802816901408
train,6958,Piano Timbres,603,0.0866628341477436
train,6958,Pipe Timbres,459,0.06596723196320782
train,6958,Reed Timbres,617,0.08867490658235125
train,6958,String Timbres,506,0.0727220465651049
train,6958,Synth Lead,508,0.07300948548433457
train,6958,Synth Pad,612,0.08795630928427708
valid,1490,Bass Timbres,128,0.08590604026845637
valid,1490,Brass Timbres,126,0.08456375838926174
valid,1490,Chromatic Percussion,86,0.05771812080536912
valid,1490,Ensemble Timbres,114,0.07651006711409396
valid,1490,Ethnic Timbres,131,0.08791946308724832
valid,1490,Guitar Timbres,109,0.07315436241610739
valid,1490,Organ Timbres,76,0.05100671140939597
valid,1490,Piano Timbres,132,0.08859060402684563
valid,1490,Pipe Timbres,104,0.0697986577181208
valid,1490,Reed Timbres,117,0.0785234899328859
valid,1490,String Timbres,128,0.08590604026845637
valid,1490,Synth Lead,110,0.07382550335570469
valid,1490,Synth Pad,129,0.08657718120805369
