fold,fold_count,midi_program_name,count,proportion
1,497,Acoustic Bass,5,0.01006036217303823
1,497,Acoustic Grand Piano,3,0.006036217303822938
1,497,Acoustic Nylon Guitar,5,0.01006036217303823
1,497,Acoustic Steel Guitar,8,0.01609657947686117
1,497,Alto Sax,4,0.008048289738430584
1,497,Bagpipe,4,0.008048289738430584
1,497,Banjo,3,0.006036217303822938
1,497,Baritone Sax,5,0.01006036217303823
1,497,Bass Lead,4,0.008048289738430584
1,497,Bassoon,4,0.008048289738430584
1,497,Bottle Blow,6,0.012072434607645876
1,497,Bowed Pad,7,0.014084507042253523
1,497,Brass Section,5,0.01006036217303823
1,497,Bright Acoustic Piano,3,0.006036217303822938
1,497,Calliope Lead,4,0.008048289738430584
1,497,Cello,6,0.012072434607645876
1,497,Charang Lead,3,0.006036217303822938
1,497,Chiff Lead,3,0.006036217303822938
1,497,"Choir ""Aah""",5,0.01006036217303823
1,497,"Choir ""Ooh""",7,0.014084507042253523
1,497,Choir Pad,4,0.008048289738430584
1,497,Chorused Piano,7,0.014084507042253523
1,497,Church Organ,8,0.01609657947686117
1,497,Clarinet,6,0.012072434607645876
1,497,Clavinet,4,0.008048289738430584
1,497,Contrabass,8,0.01609657947686117
1,497,Distortion Guitar,5,0.01006036217303823
1,497,Dulcimer,6,0.012072434607645876
1,497,Electric Clean Guitar,4,0.008048289738430584
1,497,Electric Grand Piano,6,0.012072434607645876
1,497,Electric Jazz Guitar,6,0.012072434607645876
1,497,Electric Muted Guitar,8,0.01609657947686117
1,497,English Horn,6,0.012072434607645876
1,497,Fiddle,5,0.01006036217303823
1,497,Fingered Electric Bass,8,0.01609657947686117
1,497,Flute,6,0.012072434607645876
1,497,French Horn,5,0.01006036217303823
1,497,Fretless Bass,5,0.01006036217303823
1,497,Halo Pad,11,0.022132796780684107
1,497,Hammond Organ,6,0.012072434607645876
1,497,Harpsichord,6,0.012072434607645876
1,497,Honky-tonk Piano,7,0.014084507042253523
1,497,Kalimba,3,0.006036217303822938
1,497,Koto,3,0.006036217303822938
1,497,Marimba,4,0.008048289738430584
1,497,Metallic Pad,4,0.008048289738430584
1,497,Music Box,2,0.004024144869215292
1,497,Muted Trumpet,5,0.01006036217303823
1,497,New Age Pad,4,0.008048289738430584
1,497,Oboe,7,0.014084507042253523
1,497,Ocarina,10,0.02012072434607646
1,497,Orchestral Harp,8,0.01609657947686117
1,497,Overdriven Guitar,3,0.006036217303822938
1,497,Pan Flute,4,0.008048289738430584
1,497,Percussive Organ,4,0.008048289738430584
1,497,Piccolo,6,0.012072434607645876
1,497,Pizzicato Strings,5,0.01006036217303823
1,497,Plucked Electric Bass,7,0.014084507042253523
1,497,Polysynth Pad,7,0.014084507042253523
1,497,Recorder,2,0.004024144869215292
1,497,Reed Organ,6,0.012072434607645876
1,497,Rhodes Piano,2,0.004024144869215292
1,497,Rock Organ,6,0.012072434607645876
1,497,Sawtooth Wave Lead,5,0.01006036217303823
1,497,Shamisen,8,0.01609657947686117
1,497,Shanai,5,0.01006036217303823
1,497,Sitar,6,0.012072434607645876
1,497,Slap Bass 1,6,0.012072434607645876
1,497,Slap Bass 2,6,0.012072434607645876
1,497,Soprano Sax,5,0.01006036217303823
1,497,Square Wave Lead,2,0.004024144869215292
1,497,String Ensemble 1,3,0.006036217303822938
1,497,String Ensemble 2,9,0.018108651911468814
1,497,Sweep Pad,6,0.012072434607645876
1,497,Synth Bass 1,6,0.012072434607645876
1,497,Synth Bass 2,4,0.008048289738430584
1,497,Synth Brass 1,6,0.012072434607645876
1,497,Synth Brass 2,8,0.01609657947686117
1,497,Synth Strings 1,7,0.014084507042253523
1,497,Synth Strings 2,5,0.01006036217303823
1,497,Synth Voice,7,0.014084507042253523
1,497,Tenor Sax,5,0.01006036217303823
1,497,Tremolo Strings,5,0.01006036217303823
1,497,Trombone,4,0.008048289738430584
1,497,Trumpet,4,0.008048289738430584
1,497,Tuba,6,0.012072434607645876
1,497,Vibraphone,7,0.014084507042253523
1,497,Viola,6,0.012072434607645876
1,497,Violin,7,0.014084507042253523
1,497,Voice Lead,6,0.012072434607645876
1,497,Warm Pad,3,0.006036217303822938
1,497,Xylophone,7,0.014084507042253523
2,497,Acoustic Bass,5,0.01006036217303823
2,497,Acoustic Grand Piano,8,0.01609657947686117
