fold,fold_count,midi_category,count,proportion
1,773,Bass Timbres,72,0.09314359637774904
1,773,Brass Timbres,70,0.0905562742561449
1,773,Chromatic Percussion,45,0.05821474773609315
1,773,Ensemble Timbres,58,0.07503234152652005
1,773,Ethnic Timbres,56,0.07244501940491592
1,773,Guitar Timbres,58,0.07503234152652005
1,773,Organ Timbres,48,0.06209573091849936
1,773,Piano Timbres,68,0.08796895213454076
1,773,Pipe Timbres,61,0.07891332470892627
1,773,Reed Timbres,54,0.06985769728331177
1,773,String Timbres,57,0.07373868046571799
1,773,Synth Lead,57,0.07373868046571799
1,773,Synth Pad,69,0.08926261319534283
2,773,Bass Timbres,75,0.09702457956015524
2,773,Brass Timbres,66,0.08538163001293662
2,773,Chromatic Percussion,46,0.059508408796895215
2,773,Ensemble Timbres,57,0.07373868046571799
2,773,Ethnic Timbres,67,0.08667529107373868
2,773,Guitar Timbres,60,0.0776196636481242
2,773,Organ Timbres,43,0.05562742561448901
2,773,Piano Timbres,59,0.07632600258732213
2,773,Pipe Timbres,57,0.07373868046571799
2,773,Reed Timbres,73,0.09443725743855111
2,773,String Timbres,53,0.06856403622250971
2,773,Synth Lead,45,0.05821474773609315
2,773,Synth Pad,72,0.09314359637774904
3,773,Bass Timbres,86,0.11125485122897802
3,773,Brass Timbres,60,0.0776196636481242
3,773,Chromatic Percussion,36,0.04657179818887452
3,773,Ensemble Timbres,55,0.07115135834411385
3,773,Ethnic Timbres,61,0.07891332470892627
3,773,Guitar Timbres,52,0.06727037516170764
3,773,Organ Timbres,42,0.054333764553686936
3,773,Piano Timbres,72,0.09314359637774904
3,773,Pipe Timbres,49,0.06338939197930143
3,773,Reed Timbres,77,0.09961190168175939
3,773,String Timbres,56,0.07244501940491592
3,773,Synth Lead,65,0.08408796895213455
3,773,Synth Pad,62,0.08020698576972833
4,773,Bass Timbres,64,0.08279430789133248
4,773,Brass Timbres,58,0.07503234152652005
4,773,Chromatic Percussion,44,0.056921086675291076
4,773,Ensemble Timbres,64,0.08279430789133248
4,773,Ethnic Timbres,68,0.08796895213454076
4,773,Guitar Timbres,73,0.09443725743855111
4,773,Organ Timbres,42,0.054333764553686936
4,773,Piano Timbres,77,0.09961190168175939
4,773,Pipe Timbres,43,0.05562742561448901
4,773,Reed Timbres,70,0.0905562742561449
4,773,String Timbres,57,0.07373868046571799
4,773,Synth Lead,56,0.07244501940491592
4,773,Synth Pad,57,0.07373868046571799
5,773,Bass Timbres,70,0.0905562742561449
5,773,Brass Timbres,57,0.07373868046571799
5,773,Chromatic Percussion,41,0.05304010349288487
5,773,Ensemble Timbres,52,0.06727037516170764
5,773,Ethnic Timbres,73,0.09443725743855111
5,773,Guitar Timbres,54,0.06985769728331177
5,773,Organ Timbres,50,0.0646830530401035
5,773,Piano Timbres,53,0.06856403622250971
5,773,Pipe Timbres,48,0.06209573091849936
5,773,Reed Timbres,66,0.08538163001293662
5,773,String Timbres,59,0.07632600258732213
5,773,Synth Lead,69,0.08926261319534283
5,773,Synth Pad,81,0.10478654592496767
6,773,Bass Timbres,71,0.09184993531694696
6,773,Brass Timbres,74,0.09573091849935318
6,773,Chromatic Percussion,35,0.04527813712807245
6,773,Ensemble Timbres,68,0.08796895213454076
6,773,Ethnic Timbres,63,0.0815006468305304
6,773,Guitar Timbres,59,0.07632600258732213
6,773,Organ Timbres,51,0.06597671410090557
6,773,Piano Timbres,64,0.08279430789133248
6,773,Pipe Timbres,54,0.06985769728331177
6,773,Reed Timbres,60,0.0776196636481242
6,773,String Timbres,69,0.08926261319534283
6,773,Synth Lead,60,0.0776196636481242
6,773,Synth Pad,45,0.05821474773609315
7,773,Bass Timbres,62,0.08020698576972833
7,773,Brass Timbres,64,0.08279430789133248
7,773,Chromatic Percussion,37,0.04786545924967659
7,773,Ensemble Timbres,60,0.0776196636481242
7,773,Ethnic Timbres,69,0.08926261319534283
7,773,Guitar Timbres,69,0.08926261319534283
7,773,Organ Timbres,50,0.0646830530401035
7,773,Piano Timbres,71,0.09184993531694696
7,773,Pipe Timbres,57,0.07373868046571799
7,773,Reed Timbres,63,0.0815006468305304
7,773,String Timbres,57,0.07373868046571799
7,773,Synth Lead,52,0.06727037516170764
7,773,Synth Pad,62,0.08020698576972833
8,773,Bass Timbres,65,0.08408796895213455
8,773,Brass Timbres,68,0.08796895213454076
8,773,Chromatic Percussion,56,0.07244501940491592
8,773,Ensemble Timbres,62,0.08020698576972833
8,773,Ethnic Timbres,71,0.09184993531694696
8,773,Guitar Timbres,57,0.07373868046571799
8,773,Organ Timbres,46,0.059508408796895215
8,773,Piano Timbres,50,0.0646830530401035
8,773,Pipe Timbres,43,0.05562742561448901
8,773,Reed Timbres,76,0.09831824062095731
8,773,String Timbres,55,0.07115135834411385
8,773,Synth Lead,64,0.08279430789133248
8,773,Synth Pad,60,0.0776196636481242
9,773,Bass Timbres,60,0.0776196636481242
9,773,Brass Timbres,63,0.0815006468305304
9,773,Chromatic Percussion,42,0.054333764553686936
9,773,Ensemble Timbres,61,0.07891332470892627
9,773,Ethnic Timbres,69,0.08926261319534283
9,773,Guitar Timbres,50,0.0646830530401035
9,773,Organ Timbres,46,0.059508408796895215
9,773,Piano Timbres,75,0.09702457956015524
9,773,Pipe Timbres,46,0.059508408796895215
9,773,Reed Timbres,71,0.09184993531694696
