fold,fold_count,midi_program_name,count,proportion
1,773,Acoustic Bass,7,0.00905562742561449
1,773,Acoustic Grand Piano,6,0.00776196636481242
1,773,Acoustic Nylon Guitar,11,0.014230271668822769
1,773,Acoustic Steel Guitar,7,0.00905562742561449
1,773,Alto Sax,6,0.00776196636481242
1,773,Bagpipe,6,0.00776196636481242
1,773,Banjo,8,0.01034928848641656
1,773,Baritone Sax,7,0.00905562742561449
1,773,Bass Lead,10,0.0129366106080207
1,773,Bassoon,9,0.01164294954721863
1,773,Bottle Blow,14,0.01811125485122898
1,773,Bowed Pad,7,0.00905562742561449
1,773,Brass Section,10,0.0129366106080207
1,773,Bright Acoustic Piano,6,0.00776196636481242
1,773,Calliope Lead,15,0.01940491591203105
1,773,Cello,13,0.01681759379042691
1,773,Charang Lead,6,0.00776196636481242
1,773,Chiff Lead,4,0.00517464424320828
1,773,"Choir ""Aah""",5,0.00646830530401035
1,773,"Choir ""Ooh""",8,0.01034928848641656
1,773,Choir Pad,8,0.01034928848641656
1,773,Chorused Piano,6,0.00776196636481242
1,773,Church Organ,10,0.0129366106080207
1,773,Clarinet,7,0.00905562742561449
1,773,Clavinet,14,0.01811125485122898
1,773,Contrabass,15,0.01940491591203105
1,773,Distortion Guitar,12,0.01552393272962484
1,773,Dulcimer,12,0.01552393272962484
1,773,Electric Clean Guitar,12,0.01552393272962484
1,773,Electric Grand Piano,10,0.0129366106080207
1,773,Electric Jazz Guitar,7,0.00905562742561449
1,773,Electric Muted Guitar,4,0.00517464424320828
1,773,English Horn,8,0.01034928848641656
1,773,Fiddle,9,0.01164294954721863
1,773,Fingered Electric Bass,11,0.014230271668822769
1,773,Flute,8,0.01034928848641656
1,773,French Horn,11,0.014230271668822769
1,773,Fretless Bass,7,0.00905562742561449
1,773,Halo Pad,7,0.00905562742561449
1,773,Hammond Organ,10,0.0129366106080207
1,773,Harpsichord,10,0.0129366106080207
1,773,Honky-tonk Piano,10,0.0129366106080207
1,773,Kalimba,9,0.01164294954721863
1,773,Koto,3,0.00388098318240621
1,773,Marimba,6,0.00776196636481242
1,773,Metallic Pad,15,0.01940491591203105
1,773,Music Box,10,0.0129366106080207
1,773,Muted Trumpet,7,0.00905562742561449
1,773,New Age Pad,3,0.00388098318240621
1,773,Oboe,5,0.00646830530401035
1,773,Ocarina,8,0.01034928848641656
1,773,Orchestral Harp,3,0.00388098318240621
1,773,Overdriven Guitar,5,0.00646830530401035
1,773,Pan Flute,8,0.01034928848641656
1,773,Percussive Organ,8,0.01034928848641656
1,773,Piccolo,12,0.01552393272962484
1,773,Pizzicato Strings,3,0.00388098318240621
1,773,Plucked Electric Bass,8,0.01034928848641656
1,773,Polysynth Pad,8,0.01034928848641656
1,773,Recorder,11,0.014230271668822769
1,773,Reed Organ,6,0.00776196636481242
1,773,Rhodes Piano,6,0.00776196636481242
1,773,Rock Organ,14,0.01811125485122898
1,773,Sawtooth Wave Lead,12,0.01552393272962484
1,773,Shamisen,8,0.01034928848641656
1,773,Shanai,6,0.00776196636481242
1,773,Sitar,7,0.00905562742561449
1,773,Slap Bass 1,10,0.0129366106080207
1,773,Slap Bass 2,9,0.01164294954721863
1,773,Soprano Sax,6,0.00776196636481242
1,773,Square Wave Lead,4,0.00517464424320828
1,773,String Ensemble 1,9,0.01164294954721863
1,773,String Ensemble 2,11,0.014230271668822769
1,773,Sweep Pad,11,0.014230271668822769
1,773,Synth Bass 1,11,0.014230271668822769
1,773,Synth Bass 2,9,0.01164294954721863
1,773,Synth Brass 1,12,0.01552393272962484
