fold,fold_count,mode_idx,count,proportion
1,773,0,111,0.14359637774902975
1,773,1,110,0.1423027166882277
1,773,2,111,0.14359637774902975
1,773,3,110,0.1423027166882277
1,773,4,110,0.1423027166882277
1,773,5,111,0.14359637774902975
1,773,6,110,0.1423027166882277
2,773,0,111,0.14359637774902975
2,773,1,110,0.1423027166882277
2,773,2,111,0.14359637774902975
2,773,3,110,0.1423027166882277
2,773,4,110,0.1423027166882277
2,773,5,111,0.14359637774902975
2,773,6,110,0.1423027166882277
3,773,0,111,0.14359637774902975
3,773,1,110,0.1423027166882277
3,773,2,111,0.14359637774902975
3,773,3,110,0.1423027166882277
3,773,4,110,0.1423027166882277
3,773,5,111,0.14359637774902975
3,773,6,110,0.1423027166882277
4,773,0,111,0.14359637774902975
4,773,1,110,0.1423027166882277
4,773,2,111,0.14359637774902975
4,773,3,110,0.1423027166882277
4,773,4,110,0.1423027166882277
4,773,5,111,0.14359637774902975
4,773,6,110,0.1423027166882277
5,773,0,111,0.14359637774902975
5,773,1,110,0.1423027166882277
5,773,2,110,0.1423027166882277
5,773,3,111,0.14359637774902975
5,773,4,110,0.1423027166882277
5,773,5,111,0.14359637774902975
5,773,6,110,0.1423027166882277
6,773,0,111,0.14359637774902975
6,773,1,110,0.1423027166882277
6,773,2,110,0.1423027166882277
6,773,3,111,0.14359637774902975
6,773,4,110,0.1423027166882277
6,773,5,111,0.14359637774902975
6,773,6,110,0.1423027166882277
7,773,0,111,0.14359637774902975
7,773,1,110,0.1423027166882277
7,773,2,110,0.1423027166882277
7,773,3,111,0.14359637774902975
7,773,4,110,0.1423027166882277
7,773,5,111,0.14359637774902975
7,773,6,110,0.1423027166882277
8,773,0,111,0.14359637774902975
8,773,1,110,0.1423027166882277
8,773,2,110,0.1423027166882277
8,773,3,111,0.14359637774902975
8,773,4,110,0.1423027166882277
8,773,5,111,0.14359637774902975
8,773,6,110,0.1423027166882277
9,773,0,110,0.1423027166882277
9,773,1,111,0.14359637774902975
9,773,2,110,0.1423027166882277
9,773,3,111,0.14359637774902975
9,773,4,110,0.1423027166882277
9,773,5,110,0.1423027166882277
9,773,6,111,0.14359637774902975
10,773,0,110,0.1423027166882277
10,773,1,111,0.14359637774902975
10,773,2,110,0.1423027166882277
10,773,3,111,0.14359637774902975
10,773,4,110,0.1423027166882277
10,773,5,110,0.1423027166882277
10,773,6,111,0.14359637774902975
11,773,0,110,0.1423027166882277
11,773,1,111,0.14359637774902975
11,773,2,110,0.1423027166882277
11,773,3,111,0.14359637774902975
11,773,4,110,0.1423027166882277
11,773,5,110,0.1423027166882277
11,773,6,111,0.14359637774902975
12,773,0,110,0.1423027166882277
12,773,1,111,0.14359637774902975
12,773,2,110,0.1423027166882277
12,773,3,111,0.14359637774902975
12,773,4,110,0.1423027166882277
12,773,5,110,0.1423027166882277
12,773,6,111,0.14359637774902975
13,773,0,110,0.1423027166882277
13,773,1,111,0.14359637774902975
13,773,2,110,0.1423027166882277
13,773,3,110,0.1423027166882277
13,773,4,111,0.14359637774902975
13,773,5,110,0.1423027166882277
13,773,6,111,0.14359637774902975
14,773,0,110,0.1423027166882277
14,773,1,111,0.14359637774902975
14,773,2,110,0.1423027166882277
14,773,3,110,0.1423027166882277
14,773,4,111,0.14359637774902975
14,773,5,110,0.1423027166882277
14,773,6,111,0.14359637774902975
15,773,0,110,0.1423027166882277
15,773,1,111,0.14359637774902975
15,773,2,110,0.1423027166882277
15,773,3,110,0.1423027166882277
15,773,4,111,0.14359637774902975
15,773,5,110,0.1423027166882277
15,773,6,111,0.14359637774902975
16,773,0,110,0.1423027166882277
16,773,1,111,0.14359637774902975
16,773,2,110,0.1423027166882277
16,773,3,110,0.1423027166882277
16,773,4,111,0.14359637774902975
16,773,5,110,0.1423027166882277
16,773,6,111,0.14359637774902975
17,772,0,110,0.14248704663212436
17,772,1,110,0.14248704663212436
17,772,2,111,0.14378238341968913
17,772,3,110,0.14248704663212436
17,772,4,111,0.14378238341968913
17,772,5,110,0.14248704663212436
17,772,6,110,0.14248704663212436
18,772,0,110,0.14248704663212436
18,772,1,110,0.14248704663212436
18,772,2,111,0.14378238341968913
18,772,3,110,0.14248704663212436
18,772,4,111,0.14378238341968913
18,772,5,110,0.14248704663212436
18,772,6,110,0.14248704663212436
19,772,0,110,0.14248704663212436
19,772,1,110,0.14248704663212436
19,772,2,111,0.14378238341968913
19,772,3,110,0.14248704663212436
19,772,4,111,0.14378238341968913
19,772,5,110,0.14248704663212436
19,772,6,110,0.14248704663212436
20,772,0,110,0.14248704663212436
20,772,1,110,0.14248704663212436
20,772,2,111,0.14378238341968913
20,772,3,110,0.14248704663212436
20,772,4,111,0.14378238341968913
20,772,5,110,0.14248704663212436
20,772,6,110,0.14248704663212436
