fold,fold_count,play_style,count,proportion
1,773,0,396,0.5122897800776197
1,773,1,377,0.4877102199223804
2,773,0,380,0.4915912031047866
2,773,1,393,0.5084087968952135
3,773,0,365,0.4721862871927555
3,773,1,408,0.5278137128072445
4,773,0,395,0.5109961190168176
4,773,1,378,0.4890038809831824
5,773,0,401,0.51875808538163
5,773,1,372,0.48124191461837
6,773,0,385,0.4980595084087969
6,773,1,388,0.5019404915912031
7,773,0,396,0.5122897800776197
7,773,1,377,0.4877102199223804
8,773,0,397,0.5135834411384218
8,773,1,376,0.4864165588615783
9,773,0,385,0.4980595084087969
9,773,1,388,0.5019404915912031
10,773,0,379,0.4902975420439845
10,773,1,394,0.5097024579560155
11,773,0,384,0.4967658473479949
11,773,1,389,0.5032341526520052
12,773,0,414,0.535575679172057
12,773,1,359,0.4644243208279431
13,773,0,369,0.4773609314359638
13,773,1,404,0.5226390685640363
14,773,0,381,0.49288486416558863
14,773,1,392,0.5071151358344115
15,773,0,411,0.5316946959896508
15,773,1,362,0.4683053040103493
16,773,0,382,0.4941785252263907
16,773,1,391,0.5058214747736094
17,772,0,368,0.4766839378238342
17,772,1,404,0.5233160621761658
18,772,0,383,0.49611398963730574
18,772,1,389,0.5038860103626943
19,772,0,375,0.48575129533678757
19,772,1,397,0.5142487046632125
20,772,0,382,0.49481865284974097
20,772,1,390,0.5051813471502591
