fold,fold_count,key_note_name,count,proportion
1,1049,A,80,0.07626310772163966
1,1049,A#,92,0.0877025738798856
1,1049,B,84,0.08007626310772163
1,1049,C,88,0.08388941849380362
1,1049,C#,96,0.09151572926596759
1,1049,D,98,0.09342230695900858
1,1049,D#,88,0.08388941849380362
1,1049,E,77,0.07340324118207817
1,1049,F,106,0.10104861773117255
1,1049,F#,88,0.08388941849380362
1,1049,G,75,0.07149666348903717
1,1049,G#,77,0.07340324118207817
2,1049,A,91,0.08674928503336511
2,1049,A#,76,0.07244995233555768
2,1049,B,89,0.08484270734032412
2,1049,C,90,0.08579599618684461
2,1049,C#,86,0.08198284080076262
2,1049,D,88,0.08388941849380362
2,1049,D#,94,0.08960915157292659
2,1049,E,91,0.08674928503336511
2,1049,F,79,0.07530981887511916
2,1049,F#,94,0.08960915157292659
2,1049,G,78,0.07435653002859867
2,1049,G#,93,0.0886558627264061
3,1049,A,91,0.08674928503336511
3,1049,A#,88,0.08388941849380362
3,1049,B,91,0.08674928503336511
3,1049,C,70,0.0667302192564347
3,1049,C#,80,0.07626310772163966
3,1049,D,86,0.08198284080076262
3,1049,D#,85,0.08102955195424213
3,1049,E,97,0.09246901811248807
3,1049,F,77,0.07340324118207817
3,1049,F#,99,0.09437559580552907
3,1049,G,90,0.08579599618684461
3,1049,G#,95,0.0905624404194471
4,1049,A,87,0.08293612964728313
4,1049,A#,77,0.07340324118207817
4,1049,B,90,0.08579599618684461
4,1049,C,87,0.08293612964728313
4,1049,C#,86,0.08198284080076262
4,1049,D,78,0.07435653002859867
4,1049,D#,98,0.09342230695900858
4,1049,E,100,0.09532888465204957
4,1049,F,91,0.08674928503336511
4,1049,F#,85,0.08102955195424213
4,1049,G,75,0.07149666348903717
4,1049,G#,95,0.0905624404194471
5,1049,A,96,0.09151572926596759
5,1049,A#,80,0.07626310772163966
5,1049,B,84,0.08007626310772163
5,1049,C,74,0.07054337464251668
5,1049,C#,88,0.08388941849380362
5,1049,D,86,0.08198284080076262
5,1049,D#,74,0.07054337464251668
5,1049,E,100,0.09532888465204957
5,1049,F,86,0.08198284080076262
5,1049,F#,101,0.09628217349857006
5,1049,G,78,0.07435653002859867
5,1049,G#,102,0.09723546234509056
6,1049,A,92,0.0877025738798856
6,1049,A#,94,0.08960915157292659
6,1049,B,78,0.07435653002859867
6,1049,C,97,0.09246901811248807
6,1049,C#,89,0.08484270734032412
6,1049,D,95,0.0905624404194471
6,1049,D#,92,0.0877025738798856
6,1049,E,92,0.0877025738798856
6,1049,F,86,0.08198284080076262
6,1049,F#,72,0.06863679694947569
6,1049,G,72,0.06863679694947569
6,1049,G#,90,0.08579599618684461
7,1049,A,100,0.09532888465204957
7,1049,A#,89,0.08484270734032412
7,1049,B,89,0.08484270734032412
7,1049,C,88,0.08388941849380362
7,1049,C#,82,0.07816968541468064
7,1049,D,79,0.07530981887511916
7,1049,D#,74,0.07054337464251668
7,1049,E,94,0.08960915157292659
7,1049,F,75,0.07149666348903717
7,1049,F#,106,0.10104861773117255
7,1049,G,87,0.08293612964728313
7,1049,G#,86,0.08198284080076262
8,1049,A,107,0.10200190657769304
8,1049,A#,82,0.07816968541468064
8,1049,B,70,0.0667302192564347
8,1049,C,84,0.08007626310772163
8,1049,C#,98,0.09342230695900858
8,1049,D,92,0.0877025738798856
8,1049,D#,87,0.08293612964728313
8,1049,E,88,0.08388941849380362
8,1049,F,86,0.08198284080076262
8,1049,F#,83,0.07912297426120114
8,1049,G,96,0.09151572926596759
8,1049,G#,76,0.07244995233555768
9,1049,A,75,0.07149666348903717
9,1049,A#,101,0.09628217349857006
9,1049,B,84,0.08007626310772163
9,1049,C,96,0.09151572926596759
9,1049,C#,86,0.08198284080076262
9,1049,D,79,0.07530981887511916
9,1049,D#,81,0.07721639656816015
9,1049,E,85,0.08102955195424213
9,1049,F,89,0.08484270734032412
9,1049,F#,85,0.08102955195424213
9,1049,G,109,0.10390848427073403
9,1049,G#,79,0.07530981887511916
10,1049,A,85,0.08102955195424213
10,1049,A#,91,0.08674928503336511
10,1049,B,87,0.08293612964728313
10,1049,C,75,0.07149666348903717
10,1049,C#,99,0.09437559580552907
10,1049,D,96,0.09151572926596759
10,1049,D#,89,0.08484270734032412
10,1049,E,69,0.0657769304099142
10,1049,F,90,0.08579599618684461
10,1049,F#,96,0.09151572926596759
