set_type,set_type_count,orig_prog,count,proportion
test,3144,maj-1451,165,0.052480916030534355
test,3144,maj-1465,165,0.052480916030534355
test,3144,maj-1564,165,0.052480916030534355
test,3144,maj-1645,165,0.052480916030534355
test,3144,maj-2516,168,0.0534351145038168
test,3144,maj-4156,165,0.052480916030534355
test,3144,maj-4536,165,0.052480916030534355
test,3144,maj-5415,165,0.052480916030534355
test,3144,maj-5641,165,0.052480916030534355
test,3144,maj-6415,168,0.0534351145038168
test,3144,min-1251,165,0.052480916030534355
test,3144,min-1341,165,0.052480916030534355
test,3144,min-1451,165,0.052480916030534355
test,3144,min-1637,165,0.052480916030534355
test,3144,min-1671,168,0.0534351145038168
test,3144,min-1673,165,0.052480916030534355
test,3144,min-1764,165,0.052480916030534355
test,3144,min-4711,165,0.052480916030534355
test,3144,min-7671,165,0.052480916030534355
train,14686,maj-1451,774,0.052703254800490255
train,14686,maj-1465,774,0.052703254800490255
train,14686,maj-1564,774,0.052703254800490255
train,14686,maj-1645,772,0.05256707067955876
train,14686,maj-2516,770,0.05243088655862726
train,14686,maj-4156,774,0.052703254800490255
train,14686,maj-4536,774,0.052703254800490255
train,14686,maj-5415,774,0.052703254800490255
train,14686,maj-5641,772,0.05256707067955876
train,14686,maj-6415,770,0.05243088655862726
train,14686,min-1251,774,0.052703254800490255
train,14686,min-1341,774,0.052703254800490255
train,14686,min-1451,774,0.052703254800490255
train,14686,min-1637,772,0.05256707067955876
train,14686,min-1671,770,0.05243088655862726
train,14686,min-1673,774,0.052703254800490255
train,14686,min-1764,774,0.052703254800490255
train,14686,min-4711,774,0.052703254800490255
train,14686,min-7671,772,0.05256707067955876
valid,3146,maj-1451,165,0.05244755244755245
valid,3146,maj-1465,165,0.05244755244755245
valid,3146,maj-1564,165,0.05244755244755245
valid,3146,maj-1645,167,0.05308328035600763
valid,3146,maj-2516,166,0.05276541640178004
valid,3146,maj-4156,165,0.05244755244755245
valid,3146,maj-4536,165,0.05244755244755245
valid,3146,maj-5415,165,0.05244755244755245
valid,3146,maj-5641,167,0.05308328035600763
valid,3146,maj-6415,166,0.05276541640178004
valid,3146,min-1251,165,0.05244755244755245
valid,3146,min-1341,165,0.05244755244755245
valid,3146,min-1451,165,0.05244755244755245
valid,3146,min-1637,167,0.05308328035600763
valid,3146,min-1671,166,0.05276541640178004
valid,3146,min-1673,165,0.05244755244755245
valid,3146,min-1764,165,0.05244755244755245
valid,3146,min-4711,165,0.05244755244755245
valid,3146,min-7671,167,0.05308328035600763
