fold,fold_count,name,count,proportion
1,60,12_8_120_bpm_synth_drum_reverb_level_0_offset_8,1,0.016666666666666666
1,60,12_8_120_bpm_synth_drum_reverb_level_1_offset_2,1,0.016666666666666666
1,60,12_8_120_bpm_synth_drum_reverb_level_1_offset_4,1,0.016666666666666666
1,60,12_8_120_bpm_taiko_reverb_level_1_offset_8,1,0.016666666666666666
1,60,12_8_120_bpm_woodblock_dark_reverb_level_2_offset_2,1,0.016666666666666666
1,60,12_8_120_bpm_woodblock_light_reverb_level_1_offset_1,1,0.016666666666666666
1,60,12_8_120_bpm_woodblock_light_reverb_level_1_offset_7,1,0.016666666666666666
1,60,2_2_120_bpm_default_reverb_level_0_offset_6,1,0.016666666666666666
1,60,2_2_120_bpm_default_reverb_level_1_offset_2,1,0.016666666666666666
1,60,2_2_120_bpm_default_reverb_level_2_offset_2,1,0.016666666666666666
1,60,2_2_120_bpm_synth_drum_reverb_level_2_offset_3,1,0.016666666666666666
1,60,2_2_120_bpm_woodblock_dark_reverb_level_2_offset_8,1,0.016666666666666666
1,60,2_2_120_bpm_woodblock_light_reverb_level_2_offset_5,1,0.016666666666666666
1,60,2_2_120_bpm_woodblock_light_reverb_level_2_offset_7,1,0.016666666666666666
1,60,2_2_120_bpm_woodblock_light_reverb_level_2_offset_9,1,0.016666666666666666
1,60,2_4_120_bpm_synth_drum_reverb_level_1_offset_5,1,0.016666666666666666
1,60,2_4_120_bpm_taiko_reverb_level_1_offset_3,1,0.016666666666666666
1,60,2_4_120_bpm_taiko_reverb_level_1_offset_6,1,0.016666666666666666
1,60,2_4_120_bpm_woodblock_dark_reverb_level_1_offset_4,1,0.016666666666666666
1,60,2_4_120_bpm_woodblock_light_reverb_level_1_offset_2,1,0.016666666666666666
1,60,2_4_120_bpm_woodblock_light_reverb_level_2_offset_2,1,0.016666666666666666
1,60,2_4_120_bpm_woodblock_light_reverb_level_2_offset_6,1,0.016666666666666666
1,60,3_4_120_bpm_default_reverb_level_0_offset_2,1,0.016666666666666666
1,60,3_4_120_bpm_default_reverb_level_2_offset_7,1,0.016666666666666666
1,60,3_4_120_bpm_synth_drum_reverb_level_0_offset_7,1,0.016666666666666666
1,60,3_4_120_bpm_synth_drum_reverb_level_2_offset_9,1,0.016666666666666666
1,60,3_4_120_bpm_taiko_reverb_level_2_offset_6,1,0.016666666666666666
1,60,3_4_120_bpm_woodblock_dark_reverb_level_0_offset_2,1,0.016666666666666666
1,60,3_4_120_bpm_woodblock_dark_reverb_level_2_offset_3,1,0.016666666666666666
1,60,3_4_120_bpm_woodblock_light_reverb_level_2_offset_5,1,0.016666666666666666
1,60,3_8_120_bpm_default_reverb_level_2_offset_4,1,0.016666666666666666
1,60,3_8_120_bpm_default_reverb_level_2_offset_6,1,0.016666666666666666
1,60,3_8_120_bpm_default_reverb_level_2_offset_7,1,0.016666666666666666
1,60,3_8_120_bpm_synth_drum_reverb_level_1_offset_2,1,0.016666666666666666
1,60,3_8_120_bpm_synth_drum_reverb_level_2_offset_1,1,0.016666666666666666
1,60,3_8_120_bpm_synth_drum_reverb_level_2_offset_4,1,0.016666666666666666
1,60,3_8_120_bpm_woodblock_dark_reverb_level_0_offset_3,1,0.016666666666666666
1,60,4_4_120_bpm_default_reverb_level_1_offset_3,1,0.016666666666666666
1,60,4_4_120_bpm_synth_drum_reverb_level_1_offset_4,1,0.016666666666666666
