fold,fold_count,reverb_level,count,proportion
1,60,0,14,0.23333333333333334
1,60,1,19,0.31666666666666665
1,60,2,27,0.45
2,60,0,21,0.35
2,60,1,19,0.31666666666666665
2,60,2,20,0.3333333333333333
3,60,0,18,0.3
3,60,1,17,0.2833333333333333
3,60,2,25,0.4166666666666667
4,60,0,23,0.3833333333333333
4,60,1,18,0.3
4,60,2,19,0.31666666666666665
5,60,0,21,0.35
5,60,1,19,0.31666666666666665
5,60,2,20,0.3333333333333333
6,60,0,14,0.23333333333333334
6,60,1,20,0.3333333333333333
6,60,2,26,0.43333333333333335
7,60,0,24,0.4
7,60,1,14,0.23333333333333334
7,60,2,22,0.36666666666666664
8,60,0,19,0.31666666666666665
8,60,1,23,0.3833333333333333
8,60,2,18,0.3
9,60,0,23,0.3833333333333333
9,60,1,16,0.26666666666666666
9,60,2,21,0.35
10,60,0,26,0.43333333333333335
10,60,1,16,0.26666666666666666
10,60,2,18,0.3
11,60,0,20,0.3333333333333333
11,60,1,21,0.35
11,60,2,19,0.31666666666666665
12,60,0,19,0.31666666666666665
12,60,1,19,0.31666666666666665
12,60,2,22,0.36666666666666664
13,60,0,14,0.23333333333333334
13,60,1,26,0.43333333333333335
13,60,2,20,0.3333333333333333
14,60,0,24,0.4
14,60,1,17,0.2833333333333333
14,60,2,19,0.31666666666666665
15,60,0,17,0.2833333333333333
15,60,1,22,0.36666666666666664
15,60,2,21,0.35
16,60,0,19,0.31666666666666665
16,60,1,24,0.4
16,60,2,17,0.2833333333333333
17,60,0,21,0.35
17,60,1,26,0.43333333333333335
17,60,2,13,0.21666666666666667
18,60,0,26,0.43333333333333335
18,60,1,21,0.35
18,60,2,13,0.21666666666666667
19,60,0,21,0.35
19,60,1,21,0.35
19,60,2,18,0.3
20,60,0,16,0.26666666666666666
20,60,1,22,0.36666666666666664
20,60,2,22,0.36666666666666664
