set_type,set_type_count,time_signature_beats,count,proportion
test,180,2,45,0.25
test,180,3,45,0.25
test,180,4,21,0.11666666666666667
test,180,6,24,0.13333333333333333
test,180,9,21,0.11666666666666667
test,180,12,24,0.13333333333333333
train,840,2,210,0.25
train,840,3,210,0.25
train,840,4,108,0.1285714285714286
train,840,6,102,0.12142857142857144
train,840,9,108,0.1285714285714286
train,840,12,102,0.12142857142857144
valid,180,2,45,0.25
valid,180,3,45,0.25
valid,180,4,21,0.11666666666666667
valid,180,6,24,0.13333333333333333
valid,180,9,21,0.11666666666666667
valid,180,12,24,0.13333333333333333
