name,bpm,rvb,offset,num_samp,sr
Agogo_MelodicTom-bpm_120-rvb_2-offms_120-2a9,120,2,120,181912,44100
Agogo_Woodblock-bpm_60-rvb_0-offms_1067-7a8,60,0,1067,223895,44100
Woodblock_MelodicTom-bpm_120-rvb_1-offms_1067-6a7,120,1,1067,223675,44100
TaikoDrum_DSnareDrum1-bpm_60-rvb_1-offms_204-2a9,60,1,204,185837,44100
MelodicTom_DSnareDrum1-bpm_180-rvb_2-offms_204-7a10,180,2,204,185543,44100
MelodicTom_DSnareDrum1-bpm_180-rvb_0-offms_0-4a5,180,0,0,176546,44100
Agogo_TaikoDrum-bpm_120-rvb_2-offms_1067-2a9,120,2,1067,223675,44100
DSnareDrum1_Agogo-bpm_60-rvb_1-offms_1067-8a11,60,1,1067,223895,44100
MelodicTom_Agogo-bpm_120-rvb_2-offms_700-3a4,120,2,700,207490,44100
Agogo_Woodblock-bpm_180-rvb_0-offms_700-7a8,180,0,700,207416,44100
Agogo_Woodblock-bpm_60-rvb_1-offms_1067-9a10,60,1,1067,223895,44100
MelodicTom_Woodblock-bpm_60-rvb_0-offms_120-5a12,60,0,120,182132,44100
MelodicTom_Woodblock-bpm_120-rvb_2-offms_0-9a10,120,2,0,176620,44100
Woodblock_DSnareDrum1-bpm_60-rvb_2-offms_700-5a6,60,2,700,207711,44100
Agogo_Woodblock-bpm_120-rvb_2-offms_700-3a8,120,2,700,207490,44100
Woodblock_MelodicTom-bpm_120-rvb_0-offms_700-8a11,120,0,700,207490,44100
Agogo_TaikoDrum-bpm_180-rvb_0-offms_700-9a10,180,0,700,207416,44100
TaikoDrum_MelodicTom-bpm_60-rvb_1-offms_120-4a7,60,1,120,182133,44100
DSnareDrum1_Agogo-bpm_60-rvb_0-offms_700-3a10,60,0,700,207711,44100
TaikoDrum_Woodblock-bpm_60-rvb_2-offms_0-5a7,60,2,0,176841,44100
Agogo_TaikoDrum-bpm_60-rvb_1-offms_120-8a11,60,1,120,182132,44100
Woodblock_MelodicTom-bpm_60-rvb_1-offms_120-7a10,60,1,120,182133,44100
DSnareDrum1_Agogo-bpm_60-rvb_2-offms_204-3a4,60,2,204,185837,44100
Agogo_TaikoDrum-bpm_180-rvb_2-offms_120-2a11,180,2,120,181838,44100
DSnareDrum1_TaikoDrum-bpm_120-rvb_1-offms_204-5a7,120,1,204,185616,44100
TaikoDrum_Agogo-bpm_60-rvb_1-offms_204-3a10,60,1,204,185837,44100
Agogo_TaikoDrum-bpm_180-rvb_1-offms_0-7a9,180,1,0,176546,44100
DSnareDrum1_Agogo-bpm_120-rvb_2-offms_0-4a5,120,2,0,176620,44100
Woodblock_MelodicTom-bpm_120-rvb_0-offms_204-5a12,120,0,204,185616,44100
DSnareDrum1_TaikoDrum-bpm_60-rvb_0-offms_120-5a6,60,0,120,182132,44100
Woodblock_TaikoDrum-bpm_120-rvb_1-offms_204-7a8,120,1,204,185616,44100
Woodblock_TaikoDrum-bpm_120-rvb_1-offms_1067-2a3,120,1,1067,223675,44100
DSnareDrum1_MelodicTom-bpm_180-rvb_1-offms_700-5a7,180,1,700,207416,44100
Woodblock_Agogo-bpm_60-rvb_0-offms_204-2a3,60,0,204,185837,44100
Woodblock_TaikoDrum-bpm_180-rvb_2-offms_204-2a7,180,2,204,185543,44100
Agogo_Woodblock-bpm_60-rvb_2-offms_1067-9a11,60,2,1067,223895,44100
TaikoDrum_MelodicTom-bpm_60-rvb_1-offms_204-9a10,60,1,204,185837,44100
Woodblock_Agogo-bpm_60-rvb_1-offms_700-2a9,60,1,700,207711,44100
DSnareDrum1_MelodicTom-bpm_120-rvb_1-offms_1067-9a11,120,1,1067,223675,44100
TaikoDrum_MelodicTom-bpm_60-rvb_0-offms_1067-5a8,60,0,1067,223895,44100
MelodicTom_TaikoDrum-bpm_180-rvb_1-offms_1067-4a5,180,1,1067,223601,44100
Woodblock_Agogo-bpm_60-rvb_1-offms_700-2a7,60,1,700,207711,44100
Woodblock_DSnareDrum1-bpm_120-rvb_2-offms_0-6a7,120,2,0,176620,44100
TaikoDrum_Agogo-bpm_180-rvb_0-offms_1067-3a10,180,0,1067,223601,44100
Agogo_DSnareDrum1-bpm_180-rvb_1-offms_0-3a8,180,1,0,176546,44100
Agogo_MelodicTom-bpm_180-rvb_1-offms_0-4a11,180,1,0,176546,44100
Agogo_DSnareDrum1-bpm_60-rvb_1-offms_1067-5a7,60,1,1067,223895,44100
Agogo_TaikoDrum-bpm_60-rvb_1-offms_0-3a10,60,1,0,176841,44100
MelodicTom_Agogo-bpm_120-rvb_1-offms_700-2a3,120,1,700,207490,44100
DSnareDrum1_TaikoDrum-bpm_180-rvb_1-offms_204-2a11,180,1,204,185543,44100
DSnareDrum1_TaikoDrum-bpm_120-rvb_1-offms_204-2a7,120,1,204,185616,44100
Agogo_DSnareDrum1-bpm_120-rvb_1-offms_1067-5a11,120,1,1067,223675,44100
Woodblock_DSnareDrum1-bpm_60-rvb_0-offms_120-2a3,60,0,120,182133,44100
Agogo_Woodblock-bpm_60-rvb_0-offms_0-3a8,60,0,0,176841,44100
Woodblock_TaikoDrum-bpm_120-rvb_0-offms_700-5a12,120,0,700,207490,44100
DSnareDrum1_Woodblock-bpm_180-rvb_1-offms_0-3a5,180,1,0,176546,44100
Woodblock_DSnareDrum1-bpm_120-rvb_2-offms_0-7a11,120,2,0,176620,44100
Agogo_TaikoDrum-bpm_120-rvb_2-offms_0-10a11,120,2,0,176620,44100
Agogo_MelodicTom-bpm_60-rvb_2-offms_1067-7a8,60,2,1067,223895,44100
Agogo_DSnareDrum1-bpm_60-rvb_0-offms_1067-2a11,60,0,1067,223895,44100
MelodicTom_Agogo-bpm_120-rvb_0-offms_0-7a9,120,0,0,176620,44100
TaikoDrum_DSnareDrum1-bpm_180-rvb_1-offms_204-2a9,180,1,204,185543,44100
DSnareDrum1_TaikoDrum-bpm_120-rvb_0-offms_1067-5a12,120,0,1067,223675,44100
DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_700-5a7,60,1,700,207711,44100
TaikoDrum_Agogo-bpm_60-rvb_1-offms_0-4a5,60,1,0,176841,44100
Agogo_MelodicTom-bpm_120-rvb_1-offms_204-11a12,120,1,204,185616,44100
Agogo_DSnareDrum1-bpm_120-rvb_1-offms_700-8a9,120,1,700,207490,44100
MelodicTom_Woodblock-bpm_180-rvb_0-offms_1067-2a11,180,0,1067,223601,44100
DSnareDrum1_TaikoDrum-bpm_60-rvb_1-offms_1067-5a11,60,1,1067,223895,44100
TaikoDrum_Agogo-bpm_120-rvb_1-offms_1067-7a10,120,1,1067,223675,44100
Woodblock_TaikoDrum-bpm_60-rvb_0-offms_0-5a8,60,0,0,176841,44100
DSnareDrum1_MelodicTom-bpm_120-rvb_0-offms_0-8a11,120,0,0,176620,44100
DSnareDrum1_Agogo-bpm_120-rvb_1-offms_120-3a10,120,1,120,181912,44100
Agogo_DSnareDrum1-bpm_60-rvb_2-offms_1067-3a11,60,2,1067,223895,44100
MelodicTom_DSnareDrum1-bpm_120-rvb_0-offms_1067-11a12,120,0,1067,223675,44100
DSnareDrum1_Woodblock-bpm_120-rvb_1-offms_120-5a11,120,1,120,181912,44100
Woodblock_TaikoDrum-bpm_180-rvb_2-offms_0-10a11,180,2,0,176546,44100
Agogo_DSnareDrum1-bpm_60-rvb_1-offms_700-3a8,60,1,700,207711,44100
Woodblock_MelodicTom-bpm_180-rvb_2-offms_0-9a10,180,2,0,176546,44100
TaikoDrum_Agogo-bpm_180-rvb_1-offms_700-5a9,180,1,700,207416,44100
Agogo_MelodicTom-bpm_180-rvb_1-offms_1067-3a8,180,1,1067,223601,44100
DSnareDrum1_Agogo-bpm_180-rvb_0-offms_0-3a7,180,0,0,176546,44100
MelodicTom_DSnareDrum1-bpm_60-rvb_0-offms_700-3a5,60,0,700,207711,44100
Woodblock_Agogo-bpm_60-rvb_2-offms_700-3a11,60,2,700,207711,44100
Woodblock_MelodicTom-bpm_180-rvb_2-offms_0-8a11,180,2,0,176546,44100
Agogo_MelodicTom-bpm_120-rvb_0-offms_204-9a11,120,0,204,185616,44100
MelodicTom_Agogo-bpm_180-rvb_0-offms_700-2a11,180,0,700,207416,44100
DSnareDrum1_TaikoDrum-bpm_60-rvb_0-offms_120-11a12,60,0,120,182133,44100
MelodicTom_Agogo-bpm_60-rvb_2-offms_120-7a8,60,2,120,182133,44100
TaikoDrum_Woodblock-bpm_120-rvb_0-offms_0-4a7,120,0,0,176620,44100
MelodicTom_Woodblock-bpm_180-rvb_0-offms_700-5a9,180,0,700,207416,44100
Woodblock_TaikoDrum-bpm_60-rvb_0-offms_120-5a11,60,0,120,182132,44100
DSnareDrum1_Woodblock-bpm_120-rvb_1-offms_700-8a11,120,1,700,207490,44100
MelodicTom_Agogo-bpm_120-rvb_0-offms_120-7a10,120,0,120,181912,44100
Woodblock_Agogo-bpm_60-rvb_1-offms_120-3a7,60,1,120,182133,44100
TaikoDrum_DSnareDrum1-bpm_180-rvb_0-offms_1067-4a11,180,0,1067,223601,44100
Agogo_DSnareDrum1-bpm_180-rvb_0-offms_120-7a8,180,0,120,181838,44100
TaikoDrum_MelodicTom-bpm_180-rvb_0-offms_120-2a5,180,0,120,181838,44100
Woodblock_DSnareDrum1-bpm_60-rvb_1-offms_120-3a7,60,1,120,182133,44100
MelodicTom_DSnareDrum1-bpm_180-rvb_2-offms_204-3a11,180,2,204,185543,44100
Agogo_MelodicTom-bpm_120-rvb_2-offms_1067-4a11,120,2,1067,223675,44100
TaikoDrum_MelodicTom-bpm_120-rvb_0-offms_204-8a11,120,0,204,185616,44100
DSnareDrum1_MelodicTom-bpm_60-rvb_2-offms_700-9a11,60,2,700,207710,44100
MelodicTom_DSnareDrum1-bpm_180-rvb_0-offms_0-2a11,180,0,0,176546,44100
TaikoDrum_DSnareDrum1-bpm_180-rvb_0-offms_1067-3a10,180,0,1067,223601,44100
DSnareDrum1_Woodblock-bpm_60-rvb_1-offms_1067-6a7,60,1,1067,223895,44100
TaikoDrum_Agogo-bpm_180-rvb_1-offms_120-4a5,180,1,120,181838,44100
Woodblock_DSnareDrum1-bpm_120-rvb_2-offms_204-3a7,120,2,204,185616,44100
Woodblock_DSnareDrum1-bpm_60-rvb_0-offms_700-4a7,60,0,700,207711,44100
DSnareDrum1_TaikoDrum-bpm_180-rvb_0-offms_0-9a11,180,0,0,176546,44100
Woodblock_MelodicTom-bpm_60-rvb_0-offms_120-3a7,60,0,120,182133,44100
DSnareDrum1_Woodblock-bpm_120-rvb_1-offms_204-3a10,120,1,204,185616,44100
DSnareDrum1_MelodicTom-bpm_120-rvb_1-offms_120-8a11,120,1,120,181912,44100
TaikoDrum_Woodblock-bpm_180-rvb_0-offms_1067-2a3,180,0,1067,223601,44100
MelodicTom_TaikoDrum-bpm_120-rvb_2-offms_0-5a11,120,2,0,176620,44100
TaikoDrum_MelodicTom-bpm_180-rvb_1-offms_204-5a6,180,1,204,185543,44100
MelodicTom_TaikoDrum-bpm_60-rvb_2-offms_700-3a11,60,2,700,207711,44100
TaikoDrum_DSnareDrum1-bpm_60-rvb_1-offms_204-4a11,60,1,204,185837,44100
DSnareDrum1_Woodblock-bpm_120-rvb_2-offms_204-3a10,120,2,204,185616,44100
TaikoDrum_DSnareDrum1-bpm_120-rvb_0-offms_120-10a11,120,0,120,181912,44100
DSnareDrum1_TaikoDrum-bpm_180-rvb_1-offms_120-7a9,180,1,120,181838,44100
TaikoDrum_DSnareDrum1-bpm_120-rvb_2-offms_120-8a9,120,2,120,181912,44100
