cluster,max_label,max_proportion
0,2a5,0.06225681
1,9a11,0.05610561
2,2a7,0.1
3,5a11,0.049079753
4,4a5,0.058252428
5,5a11,0.046511628
6,3a5,0.13333334
7,2a3,0.08196721
8,3a4,0.06944445
9,8a11,0.06329114
10,3a4,0.10752688
11,2a3,0.13846155
12,4a9,0.06521739
13,10a11,0.06521739
14,2a5,0.1
15,2a3,1.0
16,3a4,0.06521739
17,2a3,0.5
18,4a7,0.05357143
19,2a3,0.11363637
20,5a11,0.045454547
21,7a9,0.050955415
22,3a8,0.071428575
23,4a5,0.064935066
24,4a9,0.06896552
25,7a9,0.04511278
26,2a7,0.11764706
27,4a9,0.069767445
28,11a12,0.05263158
29,4a7,0.09375
30,2a5,0.16666667
31,3a4,0.05882353
32,2a3,0.27586207
33,2a5,0.2
34,2a5,0.09756097
35,3a4,0.23809524
36,2a7,0.05970149
37,3a7,0.1
38,2a3,0.5555556
39,2a3,0.6
40,2a7,0.1904762
41,2a3,1.0
42,6a11,0.054054055
43,4a7,0.10526316
44,2a5,0.0882353
45,4a5,0.12
46,4a5,0.0625
47,4a5,0.08571429
48,4a7,0.06481481
49,9a10,0.069767445
50,2a3,1.0
51,2a3,0.42857143
52,5a11,0.05882353
53,3a4,0.1
54,2a3,0.5714286
55,2a7,0.22222222
56,2a5,0.375
57,3a7,0.4
58,3a5,0.1904762
59,2a7,0.4
60,2a7,0.33333334
61,3a7,0.083333336
62,2a7,0.2857143
63,2a5,0.33333334
64,4a7,0.06451613
65,5a8,0.054347824
66,10a11,0.13333334
67,7a9,0.055555556
68,2a7,1.0
69,11a12,0.13793103
