cluster,max_label,max_proportion
0,4a5,0.06363636
1,6a11,0.046979867
2,2a3,0.33684212
3,3a4,0.10185185
4,7a12,0.04733728
5,10a11,0.06818182
6,2a3,0.13793103
7,10a11,0.12
8,5a8,0.06779661
9,5a7,0.1
10,4a9,0.04901961
11,10a11,0.060747664
12,2a3,0.18644068
13,2a5,0.08260869
14,4a9,0.1
15,3a4,0.14285715
16,4a5,0.053140096
17,3a5,0.07692308
18,6a7,0.05882353
19,7a8,0.06557377
20,2a5,0.08955224
21,2a7,0.077922076
22,5a11,0.07017544
23,7a8,0.07608695
24,6a11,0.060606062
25,4a5,0.07692308
26,8a11,0.05263158
27,7a9,0.056338027
28,2a3,0.09259259
29,8a9,0.1
30,4a5,0.06382979
31,5a8,0.14285715
32,9a10,0.074074075
33,4a9,0.064935066
34,3a5,0.067567565
35,3a5,0.057971016
36,9a10,0.22222222
37,2a5,0.072289154
38,11a12,0.05882353
39,9a10,0.06153846
40,3a4,0.083333336
41,2a7,0.33333334
42,7a9,0.083333336
43,7a8,0.06896552
44,3a4,0.069767445
45,2a3,0.27142859
46,9a10,0.18181819
47,7a8,0.08571429
48,5a11,0.057142857
49,5a11,0.08695652
50,4a5,0.06603774
51,3a8,0.13636364
52,2a7,0.13333334
53,11a12,0.12244898
54,3a7,0.06185567
55,4a9,0.22222222
