cluster,max_label,max_proportion
0,11a12,0.0877193
1,10a11,0.042071197
2,5a6,0.056603774
3,2a3,0.20408164
4,2a7,0.054545455
5,2a5,0.05882353
6,2a3,0.11904762
7,11a12,0.41666666
8,9a10,0.05907173
9,9a10,0.27272728
10,7a9,0.05357143
11,2a3,0.20689656
12,8a11,0.25
13,2a5,0.09756097
14,11a12,0.10526316
15,6a7,0.045454547
16,7a11,0.07514451
17,6a7,0.051948052
18,2a5,0.07042254
19,2a5,0.054054055
20,2a3,0.23684211
21,6a7,0.05357143
22,5a9,0.17021276
23,4a9,0.046511628
24,2a3,0.1891892
25,9a10,0.14285715
26,5a6,0.047808766
27,5a8,0.04
28,2a5,0.14285715
29,2a3,0.6666667
30,2a3,0.06741573
31,2a3,0.11956522
32,2a5,0.104166664
33,6a11,0.25
34,11a12,0.12
35,2a5,0.05882353
36,2a3,0.3181818
37,8a11,0.16666667
38,2a5,0.18181819
39,9a11,0.055045873
40,2a3,1.0
41,3a4,0.125
42,11a12,0.06167401
43,7a11,0.05263158
44,8a11,0.115384616
45,2a5,0.07692308
46,2a3,0.26666668
47,2a3,0.29411766
48,2a7,1.0
49,9a10,0.10526316
50,11a12,0.18604651
51,4a9,0.14285715
52,2a3,0.5
53,2a5,0.14285715
54,3a4,0.08108108
55,7a11,0.07692308
