cluster,max_label,max_proportion
0,9a10,0.049586777
1,3a5,0.057971016
2,10a11,0.09836066
3,11a12,0.05225225
4,2a5,0.10344828
5,5a11,0.048780486
6,2a3,0.25
7,2a3,0.2631579
8,10a11,0.051948052
9,2a7,0.07194245
10,7a9,0.05882353
11,7a8,0.05970149
12,2a3,0.2037037
13,4a5,0.06363636
14,4a7,0.048309177
15,2a3,0.2
16,4a5,0.078431375
17,3a4,0.05528846
18,2a7,0.073529415
19,4a5,0.10526316
20,9a11,0.057971016
21,3a4,0.13043478
22,2a5,0.17391305
23,5a11,0.051948052
24,2a7,0.0882353
25,2a5,0.058441557
26,11a12,0.083333336
27,7a9,0.05479452
28,2a5,0.0882353
29,8a9,0.057142857
30,2a5,0.10714286
31,2a7,1.0
32,2a3,0.3181818
33,2a7,0.067669176
34,2a3,0.5
35,5a11,0.055555556
36,10a11,0.06037736
37,4a9,0.06666667
38,2a5,0.1015625
39,3a4,0.1509434
40,3a5,0.07692308
41,2a3,0.4
