cluster,max_label,max_proportion
0,3a4,0.05882353
1,4a5,0.08
2,3a8,0.1
3,2a3,0.20454545
4,4a9,0.046153847
5,7a9,0.07619048
6,2a3,0.18181819
7,3a4,0.078947365
8,2a5,0.15625
9,2a3,0.14583333
10,11a12,0.060465116
11,7a8,0.05970149
12,5a11,0.125
13,4a9,0.05970149
14,8a9,0.08510638
15,5a11,0.05970149
16,10a11,0.05925926
17,8a9,0.08695652
18,7a11,0.06542056
19,3a8,0.05479452
20,3a4,0.072463766
21,7a8,0.06382979
22,4a7,0.06521739
23,5a11,0.04819277
24,11a12,0.18181819
25,5a11,0.125
26,2a7,0.05970149
27,5a6,0.07692308
28,7a10,0.05263158
29,2a7,0.07936508
30,7a11,0.11764706
31,2a5,0.075
32,3a7,0.12
33,5a11,0.078947365
34,10a11,0.16216215
35,3a5,0.071428575
36,9a10,0.06896552
37,2a5,0.14285715
38,2a3,0.6666667
39,8a11,0.05483871
40,11a12,0.05882353
41,5a11,0.16666667
42,8a9,0.08108108
43,2a3,0.5
44,2a5,0.058479533
45,2a7,0.125
46,9a10,1.0
47,4a7,0.102564104
48,4a7,0.05882353
49,7a8,0.125
50,2a3,0.75
51,3a8,0.06
52,3a8,0.08108108
53,2a5,0.22222222
54,4a5,0.083333336
55,2a7,0.25
56,11a12,0.13333334
57,2a5,0.22222222
58,2a5,0.07462686
59,5a11,0.0625
60,10a11,0.25
61,2a3,0.09677419
62,2a3,0.5
63,2a7,0.42857143
64,2a3,0.24242425
65,3a4,0.16666667
66,2a7,0.11111111
67,2a3,0.11363637
68,5a6,0.05970149
69,2a3,0.10344828
70,2a3,0.5714286
71,3a4,0.078947365
72,2a7,0.2
73,7a10,0.060606062
74,2a7,0.15789473
75,9a10,0.09090909
76,2a7,0.13793103
77,11a12,0.060606062
78,3a8,0.09375
79,9a11,0.15789473
80,2a3,0.115384616
81,2a3,0.3181818
82,8a11,0.07692308
83,4a9,0.125
