cluster,max_label,max_proportion
0,2a5,0.057291668
1,9a10,0.05235602
2,9a11,0.07619048
3,2a3,0.16071428
4,11a12,0.060606062
5,3a4,0.13445379
6,5a6,0.08064516
7,7a8,0.06490872
8,9a11,0.076233186
9,4a5,0.05374593
10,9a11,0.06308411
11,11a12,0.089171976
12,7a10,0.06481481
13,2a7,0.071428575
14,4a9,0.06451613
15,2a7,0.05839416
16,10a11,0.1375
17,7a12,0.09929078
18,2a5,0.13157895
19,11a12,0.0787037
20,2a7,0.061452515
21,5a8,0.06896552
22,2a7,0.08695652
23,2a3,0.46153846
24,11a12,0.104166664
25,2a3,0.19354838
26,2a3,0.41304347
27,4a5,0.060606062
