cluster,max_label,max_proportion
0,5a6,0.07272727
1,3a8,0.06451613
2,7a12,0.050314464
3,4a5,0.10185185
4,5a6,0.073529415
5,7a8,0.1
6,5a9,0.07936508
7,2a5,0.175
8,9a11,0.08
9,5a7,0.06666667
10,5a11,0.054545455
11,3a8,0.057971016
12,5a6,0.06779661
13,10a11,0.10714286
14,2a7,0.121212125
15,9a11,0.09375
16,5a11,0.08219178
17,4a5,0.121212125
18,2a7,0.115384616
19,11a12,0.09638554
20,7a9,0.05263158
21,7a9,0.1
22,4a7,0.06557377
23,11a12,0.13793103
24,2a7,0.15
25,2a7,0.103896104
26,7a12,0.08695652
27,3a4,0.06593407
28,8a11,0.106796116
29,9a11,0.07317073
30,2a5,0.10958904
31,7a11,0.084745765
32,8a11,0.10526316
33,4a5,0.114285715
34,10a11,0.074074075
35,4a7,0.057971016
36,2a3,0.41095892
37,10a11,0.1097561
38,4a7,0.11111111
39,2a5,0.1
40,2a3,0.19607843
41,4a9,0.05755396
42,8a9,0.07339449
43,4a7,0.08571429
44,4a9,0.06849315
45,3a4,0.072463766
46,7a9,0.0882353
47,7a11,0.08510638
48,5a8,0.0952381
49,4a7,0.071428575
50,11a12,0.101265825
51,3a8,0.074074075
52,7a10,0.13636364
53,9a10,0.0952381
54,2a3,0.115384616
55,6a11,0.08695652
56,4a7,0.09090909
57,2a3,0.29032257
58,6a11,0.06666667
59,7a9,0.0952381
60,2a7,0.15
61,2a7,0.06666667
62,7a8,0.16666667
63,9a10,0.12820514
64,5a11,0.10344828
65,3a4,0.19444445
66,9a10,0.15384616
67,5a6,0.16666667
68,3a7,0.21428572
69,9a10,0.12903225
70,2a3,0.4
71,5a11,0.115384616
72,6a7,0.09090909
73,2a5,0.11764706
74,11a12,0.15
75,3a4,0.08571429
76,3a8,0.08108108
77,4a7,0.125
78,5a11,0.06666667
79,3a8,0.10344828
80,5a6,0.09677419
81,3a5,0.10169491
82,3a8,0.11363637
83,7a8,0.06666667
84,2a3,0.115384616
85,7a12,0.14285715
86,2a7,0.11111111
87,5a6,0.093023255
88,5a11,0.06896552
89,6a7,0.06930693
90,9a10,0.13333334
91,11a12,0.1904762
92,7a11,0.1764706
93,9a10,0.065789476
94,6a11,0.083333336
95,5a7,0.114285715
96,9a11,0.112676054
97,2a5,0.23529412
98,4a9,0.06666667
99,11a12,0.16666667
100,2a3,0.1891892
101,7a11,0.10714286
102,5a11,0.2
103,2a7,0.375
104,4a9,0.10344828
105,7a12,0.1
106,6a11,0.074074075
107,6a11,0.2
108,7a9,0.08
109,2a7,0.18181819
110,4a9,0.15384616
111,8a9,0.09090909
