cluster,max_label,max_proportion
0,2a7,0.10638298
1,3a4,0.0754717
2,2a7,0.056603774
3,11a12,0.06334842
4,3a7,0.09090909
5,8a9,0.069767445
6,2a3,0.13333334
7,3a8,0.06557377
8,8a11,0.086021505
9,11a12,0.060085837
10,8a9,0.0952381
11,4a7,0.08108108
12,2a5,0.06349207
13,5a8,0.07042254
14,2a5,0.07692308
15,2a5,0.08510638
16,11a12,0.10810811
17,3a8,0.1724138
18,3a4,0.13043478
19,11a12,0.0952381
20,3a4,0.1923077
21,2a3,0.29545453
22,2a7,0.12
23,2a3,0.42857143
24,9a10,0.05882353
25,2a7,0.15151516
26,7a9,0.10638298
27,7a10,0.058139537
28,10a11,0.15
29,8a9,0.065789476
30,3a5,0.16666667
31,2a3,0.2173913
32,7a12,0.077922076
33,2a7,0.12
34,4a7,0.125
35,4a9,0.13333334
36,2a5,0.11111111
37,2a3,0.36363637
38,10a11,0.16666667
39,4a7,0.083333336
40,10a11,0.09090909
41,3a4,0.14814815
42,8a9,0.11764706
43,7a11,0.12
44,4a7,0.083333336
45,2a3,0.11764706
46,3a8,0.07777778
47,5a11,0.071428575
48,8a9,0.11494253
49,7a8,0.083333336
50,7a8,0.10714286
51,3a8,0.11764706
52,9a10,0.074074075
53,4a9,0.1
54,5a11,0.07692308
55,4a5,0.08108108
56,4a7,0.125
57,2a3,0.33333334
58,10a11,0.05839416
59,5a11,0.09375
60,9a10,0.104166664
61,3a8,0.06666667
62,2a5,0.18181819
63,11a12,0.23076923
64,11a12,0.11320755
65,4a9,0.07317073
66,2a3,0.4
67,2a7,0.075
68,5a11,0.09090909
69,5a6,0.1
70,4a7,0.11111111
71,5a11,0.083333336
72,4a5,0.13793103
73,8a11,0.06451613
74,4a9,0.074074075
75,3a4,0.067669176
76,2a3,0.8
77,9a11,0.10909091
78,11a12,0.11111111
79,4a5,0.23529412
80,4a7,0.09090909
81,3a5,0.21428572
82,3a4,0.26666668
83,5a11,0.121212125
84,4a9,0.13157895
85,2a3,0.3125
86,10a11,0.10344828
87,11a12,0.091836736
88,2a7,0.13157895
89,2a7,0.1
90,2a3,0.5294118
91,4a5,0.09090909
92,6a7,0.07692308
93,11a12,0.06557377
94,3a7,0.11111111
95,2a7,0.06896552
96,7a10,0.08888889
97,5a7,0.114285715
98,3a5,0.06382979
99,4a5,0.083333336
100,2a3,0.75
101,5a11,0.09090909
102,7a12,0.11764706
103,3a4,0.5
104,11a12,0.17142858
105,2a7,0.12903225
106,4a5,0.25
107,5a11,0.09090909
108,2a5,0.2
109,3a4,0.14285715
110,5a11,0.14285715
111,7a8,0.08064516
