cluster,max_label,max_proportion
0,2a7,0.086021505
1,4a9,0.08888889
2,8a11,0.10526316
3,5a6,0.058333334
4,11a12,0.062176164
5,3a8,0.06944445
6,8a11,0.06315789
7,7a9,0.058536585
8,2a3,0.1724138
9,8a11,0.07368421
10,3a5,0.08108108
11,3a8,0.06315789
12,2a5,0.094339624
13,3a4,0.06382979
14,8a11,0.11627907
15,2a5,0.125
16,2a3,0.1590909
17,2a5,0.102564104
18,4a9,0.09090909
19,5a9,0.054945055
20,2a7,0.06451613
21,8a11,0.16666667
22,2a3,0.22857143
23,9a10,0.118644066
24,2a3,0.25
25,3a8,0.05421687
26,7a9,0.05691057
27,11a12,0.14
28,7a12,0.33333334
29,9a11,0.073033705
30,3a8,0.057471264
31,11a12,0.08928572
32,11a12,0.09009009
33,8a11,0.2857143
34,2a3,0.29166666
35,3a8,0.06557377
36,11a12,0.41666666
37,3a7,0.051282052
38,2a3,0.2
39,2a3,0.2
40,7a10,0.055900622
41,2a3,0.16666667
42,2a5,0.13043478
43,2a7,0.125
44,2a5,0.12195122
45,2a3,0.36842105
46,2a5,0.09615385
47,2a3,0.1875
48,2a7,0.071428575
49,7a8,0.08108108
50,4a5,0.16
51,7a8,0.05263158
52,7a12,0.045454547
53,2a3,0.25
54,2a5,0.10869565
55,4a5,0.115384616
56,5a6,0.056034483
57,2a7,0.0952381
58,5a11,0.055555556
59,7a8,0.06779661
60,2a3,0.21428572
61,2a3,0.08510638
62,2a7,0.08695652
63,2a5,0.10526316
64,2a3,0.1904762
65,3a4,0.11111111
66,2a7,0.07692308
67,2a3,0.175
68,2a3,0.5
69,8a11,0.0952381
