cluster,max_label,max_proportion
0,7a12,0.052238807
1,6a11,0.06329114
2,11a12,0.097222224
3,4a5,0.078431375
4,7a8,0.08108108
5,2a7,0.1
6,2a7,0.060869563
7,3a4,0.13846155
8,2a5,0.14166667
9,11a12,0.06896552
10,7a12,0.07017544
11,11a12,0.08695652
12,2a5,0.055555556
13,2a3,0.08130081
14,3a8,0.06122449
15,4a7,0.06306306
16,2a5,0.11666667
17,9a11,0.06557377
18,11a12,0.06666667
19,3a4,0.06153846
20,5a6,0.1
21,7a8,0.07619048
22,9a11,0.08695652
23,2a7,0.2857143
24,9a10,0.07692308
25,2a7,0.06896552
26,2a7,0.057971016
27,7a8,0.053521127
28,3a4,0.08928572
29,2a5,0.0867347
30,2a5,0.08
31,2a3,0.32
32,2a7,0.07692308
33,4a5,0.07272727
34,10a11,0.15
35,2a3,0.27272728
36,4a9,0.15384616
37,4a9,0.08
38,9a11,0.08053691
39,7a10,0.093023255
40,6a7,0.09859155
41,4a5,0.072463766
42,2a3,0.32142857
43,2a3,0.5
44,9a10,0.046511628
45,2a5,0.14285715
46,7a8,0.057142857
47,2a3,0.4375
48,4a5,0.1764706
49,4a9,0.0882353
50,2a3,0.08196721
51,4a5,0.12195122
52,2a7,0.06849315
53,3a7,0.13157895
54,3a8,0.083333336
55,10a11,0.16216215
