cluster,max_label,max_proportion
0,minor7,0.13125695
1,majorminor7,0.1417004
2,augminor7,0.15037593
3,augminor7,0.13529412
4,fulldim7,0.14057508
5,major7,0.14807813
6,minormajor7,0.13527398
7,major7,0.125
8,minormajor7,0.1374637
9,minor7,0.12664908
10,major7,0.12532637
11,major7,0.130854
12,fulldim7,0.14203455
13,augminor7,0.14313534
14,majorminor7,0.13242894
15,fulldim7,0.13157895
16,minormajor7,0.13759214
17,augmajor7,0.13910356
18,halfdim7,0.13672261
19,fulldim7,0.15337424
20,halfdim7,0.13333334
21,fulldim7,0.14202899
22,minormajor7,0.1341108
23,minor7,0.13067213
24,fulldim7,0.16134752
25,minor7,0.13230036
26,augmajor7,0.13979417
27,fulldim7,0.13894826
