cluster,max_label,max_proportion
0,fulldim7,0.13170731
1,major7,0.125
2,augminor7,0.13144208
3,halfdim7,0.13636364
4,fulldim7,0.13769363
5,fulldim7,0.14013453
6,augmajor7,0.13
7,major7,0.1289742
8,majorminor7,0.13037036
9,fulldim7,0.13186249
10,major7,0.13340838
11,major7,0.1450512
12,minor7,0.12696941
13,minor7,0.12556928
14,fulldim7,0.13636364
15,major7,0.12732096
16,augminor7,0.1353755
17,augmajor7,0.13461539
18,fulldim7,0.132043
19,augmajor7,0.13291797
20,augmajor7,0.1350729
21,augmajor7,0.13442624
22,major7,0.12654321
23,minor7,0.13043478
24,majorminor7,0.12941177
25,augmajor7,0.12979351
26,halfdim7,0.13065326
27,fulldim7,0.13715711
28,minormajor7,0.1280048
29,augminor7,0.12727273
30,augminor7,0.13553432
31,fulldim7,0.12880324
