cluster,max_label,max_proportion
0,minormajor7,0.25691938
1,minor7,0.18330733
2,fulldim7,0.49707603
3,majorminor7,0.15426695
4,fulldim7,0.40589416
5,minor7,0.17015263
6,augminor7,0.12565105
7,fulldim7,0.39045554
8,fulldim7,0.36530077
9,augmajor7,0.17284769
10,augmajor7,0.21708542
11,fulldim7,0.40888888
12,augmajor7,0.22178218
13,augmajor7,0.2298784
14,minormajor7,0.19381313
15,fulldim7,0.33430514
16,minormajor7,0.20345189
17,major7,0.1904762
18,minor7,0.26170212
19,major7,0.20174927
20,augmajor7,0.23803191
21,minor7,0.16325088
22,fulldim7,0.43017545
23,minormajor7,0.19953188
