cluster,max_label,max_proportion
0,fulldim7,0.39481997
1,augminor7,0.13201821
2,minor7,0.14522293
3,fulldim7,0.48310292
4,majorminor7,0.15083025
5,minormajor7,0.13493976
6,fulldim7,0.13226205
7,augmajor7,0.20142785
8,minormajor7,0.15458359
9,minormajor7,0.22466107
10,major7,0.14878893
11,minor7,0.1357377
12,minor7,0.14644499
13,major7,0.12565444
14,augmajor7,0.14871795
15,halfdim7,0.12893617
16,augmajor7,0.21580064
17,minormajor7,0.1292517
18,fulldim7,0.13863865
19,halfdim7,0.12745099
20,fulldim7,0.37142858
21,minor7,0.14001986
22,major7,0.125
23,augmajor7,0.23464659
